symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/2/2002,0.3952,0.3901,0.3926,1905,3012,4917,38054,38553,
AA,4/2/2002,0.3261,0.3302,0.3282,5427,184,5611,59519,48725,
AAI,4/2/2002,0.7926,0.7926,0.7926,15,0,15,5716,511,
AAPL,4/2/2002,0.4003,0.4313,0.4158,543,703,1246,137266,86293,
ABC,4/2/2002,0.2732,0.2762,0.2747,37,126,163,8816,4805,
ABF,4/2/2002,0.5416,0.5443,0.5430,46,568,614,6881,12027,
ABGX,4/2/2002,0.7669,0.7730,0.7700,161,227,388,9441,7519,
ABI,4/2/2002,0.5207,0.4824,0.5016,230,10,240,4956,5404,
ABK,4/2/2002,0.3128,0.3119,0.3124,116,22,138,1098,2738,
ABMD,4/2/2002,0.7262,0.7273,0.7268,25,0,25,3772,1007,
ABN,4/2/2002,0.2967,0.2915,0.2941,0,0,0,761,2185,
ABS,4/2/2002,0.2324,0.2517,0.2420,161,19,180,8885,4933,
ABT,4/2/2002,0.3072,0.3081,0.3076,674,560,1234,100745,59426,
ABV,4/2/2002,0.3696,0.3288,0.3492,0,0,0,2,4,
ABX,4/2/2002,0.4417,0.4236,0.4326,4332,1968,6300,79685,33321,
ABY,4/2/2002,0.4860,0.4860,0.4860,0,0,0,587,406,
AC,4/2/2002,0.2330,0.3074,0.2702,17,9,26,6678,4816,
ACAI,4/2/2002,0.6356,0.6117,0.6236,15,0,15,284,313,
ACAM,4/2/2002,0.5574,0.5436,0.5505,5,11,16,155,124,
ACAS,4/2/2002,0.2463,0.2531,0.2497,7,2,9,2107,729,
ACDO,4/2/2002,0.4099,0.3918,0.4008,66,8,74,3120,1955,
ACE,4/2/2002,0.4024,0.3460,0.3742,75,154,229,5142,5231,
ACF,4/2/2002,0.5657,0.5728,0.5692,2539,1993,4532,38918,37051,
ACI,4/2/2002,0.3130,0.3892,0.3511,168,66,234,1467,683,
ACLA,4/2/2002,0.0000,0.0000,0.0000,0,20,20,370,113,
ACLS,4/2/2002,0.6541,0.5715,0.6128,0,0,0,3316,1939,
ACN,4/2/2002,0.4665,0.4942,0.4804,39,0,39,6991,8694,
ACPW,4/2/2002,0.7703,0.7703,0.7703,0,0,0,1925,2378,
ACRI,4/2/2002,0.6060,0.5651,0.5856,0,10,10,1542,539,
ACRT,4/2/2002,0.8253,0.9189,0.8721,13,20,33,3422,1024,
ACS,4/2/2002,0.3545,0.3155,0.3350,100,7,107,21448,31411,
ACTL,4/2/2002,0.4136,0.3806,0.3971,20,0,20,436,1186,
ACTR,4/2/2002,0.0000,0.0000,0.0000,0,0,0,1239,162,
ACTU,4/2/2002,0.6598,0.7758,0.7178,0,0,0,714,787,
ACXM,4/2/2002,0.5379,0.4655,0.5017,5,2,7,1425,3328,
ADBE,4/2/2002,0.4706,0.4630,0.4668,1175,664,1839,45417,25307,
ADCT,4/2/2002,1.0147,1.0227,1.0187,93,0,93,78391,90597,
ADEX,4/2/2002,0.6291,0.5659,0.5975,0,0,0,127,105,
ADI,4/2/2002,0.4854,0.4236,0.4545,460,585,1045,40750,22531,
ADIC,4/2/2002,0.5912,0.5668,0.5790,18,8,26,2951,1284,
ADLAC,4/2/2002,1.4396,1.3858,1.4127,5171,8005,13176,48202,54382,
ADLR,4/2/2002,0.8702,0.7650,0.8176,100,10,110,3614,584,
ADM,4/2/2002,0.2449,0.2241,0.2345,26,14,40,5026,1959,
ADP,4/2/2002,0.2480,0.2353,0.2416,105,10,115,21165,10824,
ADPT,4/2/2002,0.5952,0.5700,0.5826,109,105,214,9424,4273,
ADRX,4/2/2002,0.7739,0.7336,0.7538,1209,102,1311,48579,33511,
ADSK,4/2/2002,0.4799,0.3965,0.4382,129,0,129,4455,1039,
ADTK,4/2/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,4/2/2002,0.4881,0.4245,0.4563,13,0,13,2263,296,
ADVNA,4/2/2002,0.2938,0.3168,0.3053,2,0,2,465,79,
ADVNB,4/2/2002,0.3644,0.3704,0.3674,45,0,45,589,110,
ADVP,4/2/2002,0.4825,0.3908,0.4366,65,258,323,9208,4722,
ADVS,4/2/2002,0.5256,0.4843,0.5050,467,289,756,2882,2128,
AEE,4/2/2002,0.1709,0.1924,0.1816,10,0,10,790,312,
AEG,4/2/2002,0.2702,0.3657,0.3180,20,0,20,2330,792,
AEIS,4/2/2002,0.6075,0.5635,0.5855,30,10,40,2376,2518,
AEM,4/2/2002,0.5416,0.4652,0.5034,509,499,1008,12393,4603,
AEOS,4/2/2002,0.5439,0.5202,0.5320,260,286,546,7758,5398,
AEP,4/2/2002,0.1772,0.2223,0.1997,0,3,3,3789,2631,
AES,4/2/2002,0.8897,0.8533,0.8715,652,434,1086,124244,81863,
AET,4/2/2002,0.4043,0.3800,0.3922,534,77,611,50178,16583,
AETH,4/2/2002,0.8340,0.8340,0.8340,327,0,327,7708,3125,
AFC,4/2/2002,0.2621,0.2477,0.2549,0,0,0,685,404,
AFCI,4/2/2002,0.5087,0.4866,0.4976,180,180,360,17449,6680,
AFFX,4/2/2002,0.7204,0.6855,0.7030,242,860,1102,12806,5157,
AFG,4/2/2002,0.3286,0.3275,0.3280,0,0,0,226,230,
AFL,4/2/2002,0.2725,0.2750,0.2738,86,46,132,13801,4806,
AG,4/2/2002,0.3944,0.4302,0.4123,0,10,10,1924,797,
AGE,4/2/2002,0.2704,0.2829,0.2766,141,109,250,13252,5926,
AGEN,4/2/2002,0.5908,0.5474,0.5691,43,0,43,2864,586,
AGIL,4/2/2002,1.0680,1.2184,1.1432,16,5,21,2662,2347,
AGN,4/2/2002,0.3349,0.3205,0.3277,21,50,71,12503,3001,
AGU,4/2/2002,0.3005,0.2995,0.3000,20,0,20,90,6184,
AGY,4/2/2002,0.3951,0.3753,0.3852,69,26,95,2911,673,
AH,4/2/2002,0.3822,0.4088,0.3955,94,66,160,2944,987,
AHAA,4/2/2002,0.7545,0.8181,0.7863,9,12,21,2879,1944,
AHC,4/2/2002,0.2531,0.2403,0.2467,1379,326,1705,10228,9707,
AHG,4/2/2002,0.3728,0.3552,0.3640,0,0,0,1052,555,
AHO,4/2/2002,0.2120,0.2589,0.2354,2,0,2,594,1255,
AHR,4/2/2002,0.4901,0.4901,0.4901,0,0,0,801,172,
AIB,4/2/2002,0.3045,0.3050,0.3047,2,0,2,398,170,
AIG,4/2/2002,0.5259,0.3247,0.4253,2953,197,3150,118950,80140,
AIR,4/2/2002,0.4918,0.5465,0.5192,5,13,18,532,135,
