symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,2/22/2002,0.4487,0.4455,0.4471,972,104,1076,35833,23463,
AA,2/22/2002,0.3175,0.3193,0.3184,938,1429,2367,45731,32082,
AAI,2/22/2002,0.6905,0.6613,0.6759,2,40,42,5804,446,
AAPL,2/22/2002,0.5241,0.5378,0.5310,1644,1230,2874,124730,66072,
ABF,2/22/2002,0.4096,0.4162,0.4129,28,10,38,2114,1290,
ABGX,2/22/2002,0.8789,0.8617,0.8703,60,641,701,5200,5220,
ABI,2/22/2002,0.6126,0.6088,0.6107,62,12,74,19933,5902,
ABK,2/22/2002,0.2913,0.2852,0.2882,18,60,78,636,1458,
ABMD,2/22/2002,0.8844,0.8811,0.8828,360,109,469,3697,2542,
ABN,2/22/2002,0.3016,0.2474,0.2745,0,0,0,714,2182,
ABS,2/22/2002,0.3055,0.3006,0.3030,227,43,270,7537,9683,
ABT,2/22/2002,0.2095,0.1860,0.1977,481,772,1253,83868,39632,
ABX,2/22/2002,0.3990,0.4137,0.4064,486,39,525,62874,30790,
ABY,2/22/2002,0.3203,0.3203,0.3203,0,0,0,702,331,
AC,2/22/2002,0.3100,0.3060,0.3080,103,23,126,5836,5142,
ACAI,2/22/2002,0.5130,0.5476,0.5303,0,25,25,382,244,
ACAS,2/22/2002,0.3394,0.2584,0.2989,51,0,51,1420,736,
ACDO,2/22/2002,0.4565,0.4658,0.4612,38,2,40,1906,1224,
ACF,2/22/2002,0.9132,0.9013,0.9072,3063,87,3150,22665,29505,
ACI,2/22/2002,0.4300,0.4633,0.4466,203,0,203,1159,616,
ACLA,2/22/2002,0.9740,0.9821,0.9780,0,0,0,364,83,
ACLS,2/22/2002,0.7352,0.6536,0.6944,66,0,66,2057,1707,
ACPW,2/22/2002,0.0000,0.0000,0.0000,47,0,47,1727,2056,
ACRI,2/22/2002,0.8101,1.0113,0.9107,0,0,0,654,428,
ACS,2/22/2002,0.4590,0.4587,0.4588,442,863,1305,9764,7801,
ACTL,2/22/2002,0.4804,0.4545,0.4674,0,0,0,576,1408,
ACTR,2/22/2002,1.2723,1.2723,1.2723,0,0,0,1233,438,
ACTU,2/22/2002,0.7301,0.7301,0.7301,5,0,5,459,914,
ACXM,2/22/2002,0.6554,0.6566,0.6560,0,0,0,1307,3181,
ADBE,2/22/2002,0.5312,0.4894,0.5103,2945,2118,5063,36423,19193,
ADCT,2/22/2002,0.8625,0.8061,0.8343,877,100,977,72451,14519,
ADI,2/22/2002,0.6169,0.6357,0.6263,912,819,1731,54939,31586,
ADIC,2/22/2002,0.6552,0.6359,0.6456,81,21,102,4609,1724,
ADLAC,2/22/2002,0.8187,0.7937,0.8062,790,1251,2041,22133,14467,
ADM,2/22/2002,0.3042,0.2378,0.2710,470,11,481,6653,3579,
ADP,2/22/2002,0.2588,0.2520,0.2554,543,46,589,16304,7917,
ADPT,2/22/2002,0.6983,0.6194,0.6588,58,14,72,10412,2928,
ADRX,2/22/2002,0.8055,0.8420,0.8238,23024,13820,36844,37868,22281,
ADSK,2/22/2002,0.4668,0.4721,0.4694,359,105,464,2581,607,
ADTK,2/22/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,2/22/2002,0.5221,0.5100,0.5160,118,1,119,1584,236,
ADVNA,2/22/2002,0.4028,0.4023,0.4025,0,0,0,397,63,
ADVNB,2/22/2002,0.5563,0.5720,0.5641,0,0,0,168,110,
ADVP,2/22/2002,0.4165,0.4250,0.4208,192,74,266,15111,5077,
ADVS,2/22/2002,0.5650,0.5182,0.5416,2,180,182,738,467,
AEE,2/22/2002,0.1294,0.1504,0.1399,28,14,42,1237,544,
AEG,2/22/2002,0.3173,0.3219,0.3196,6,0,6,1952,779,
AEIS,2/22/2002,0.6932,0.6770,0.6851,22,5,27,1233,2054,
AEM,2/22/2002,0.5270,0.5269,0.5270,221,118,339,12341,4477,
AEOS,2/22/2002,0.5872,0.5841,0.5856,89,13,102,2879,4736,
AEP,2/22/2002,0.1566,0.1824,0.1695,34,3,37,2275,2096,
AES,2/22/2002,1.5131,1.5258,1.5194,4062,1041,5103,46871,36550,
AET,2/22/2002,0.4303,0.4216,0.4260,250,90,340,55835,44082,
AETH,2/22/2002,0.8565,0.8565,0.8565,5,10,15,6637,4190,
AFC,2/22/2002,0.3384,0.3185,0.3284,0,0,0,642,461,
AFCI,2/22/2002,0.6281,0.6238,0.6260,65,27,92,12729,7703,
AFFX,2/22/2002,0.8757,0.8818,0.8788,1299,97,1396,10781,4547,
AFG,2/22/2002,0.3169,0.3603,0.3386,7,0,7,933,218,
AFL,2/22/2002,0.3084,0.2948,0.3016,113,111,224,9464,6254,
AG,2/22/2002,0.4001,0.4519,0.4260,45,25,70,1605,530,
AGE,2/22/2002,0.3530,0.3563,0.3546,499,143,642,11113,5346,
AGIL,2/22/2002,0.9092,0.8368,0.8730,6,865,871,2413,1556,
AGN,2/22/2002,0.4083,0.3824,0.3954,146,632,778,10161,4414,
AGU,2/22/2002,0.3406,0.2970,0.3188,0,0,0,25,3154,
AGY,2/22/2002,0.4227,0.4233,0.4230,43,429,472,3665,3102,
AH,2/22/2002,0.4775,0.4956,0.4866,5,45,50,2766,1118,
AHAA,2/22/2002,0.9351,0.9679,0.9515,30,21,51,1457,2537,
AHC,2/22/2002,0.3202,0.3150,0.3176,3774,1231,5005,10486,6042,
AHG,2/22/2002,0.4889,0.4545,0.4717,24,0,24,1749,4282,
AHO,2/22/2002,0.3591,0.3314,0.3452,2,1280,1282,502,683,
AHP,2/22/2002,0.2208,0.2189,0.2198,431,271,702,64133,36856,
AHR,2/22/2002,0.3181,0.3181,0.3181,10,0,10,529,180,
AIG,2/22/2002,0.3502,0.3380,0.3441,7088,3609,10697,104663,75965,
AIR,2/22/2002,0.5686,0.6696,0.6191,20,0,20,371,130,
AJG,2/22/2002,0.2642,0.2528,0.2585,13,0,13,1098,783,
AKAM,2/22/2002,0.9053,0.6730,0.7892,127,0,127,21190,2192,
AKS,2/22/2002,0.5991,0.5291,0.5641,0,2,2,3571,4715,
AKSY,2/22/2002,1.0122,1.1514,1.0818,0,0,0,1217,86,
AKZOY,2/22/2002,0.2749,0.2381,0.2565,0,40,40,578,78,
AL,2/22/2002,0.3485,0.3195,0.3340,0,0,0,6074,784,
ALA,2/22/2002,0.6375,0.6293,0.6334,298,82,380,27962,17756,
ALEX,2/22/2002,0.3655,0.3411,0.3533,107,220,327,508,461,
ALGX,2/22/2002,1.5294,1.1964,1.3629,0,5,5,6700,4505,
ALK,2/22/2002,0.3801,0.3761,0.3781,9,0,9,4249,1355,
ALKS,2/22/2002,0.5597,0.5552,0.5574,0,0,0,1889,412,
ALL,2/22/2002,0.2577,0.2766,0.2672,340,133,473,59805,13082,
ALN,2/22/2002,0.9614,0.6729,0.8172,0,0,0,135,61,
ALO,2/22/2002,0.5851,0.5644,0.5748,0,205,205,3047,2603,
ALOY,2/22/2002,0.7323,0.7678,0.7500,370,5,375,1904,928,
ALSC,2/22/2002,0.5964,0.6162,0.6063,0,1,1,534,54,
ALTR,2/22/2002,0.7962,0.7580,0.7771,2044,3958,6002,37574,39202,
ALXN,2/22/2002,0.7658,0.6943,0.7301,22,30,52,1018,844,
AM,2/22/2002,0.5383,0.5061,0.5222,54,0,54,2360,2136,
AMAT,2/22/2002,0.6376,0.6311,0.6344,12741,14688,27429,210913,164918,
AMCC,2/22/2002,0.9551,0.9059,0.9305,2315,911,3226,38998,19815,
