symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,6/4/2002,0.5403,0.5349,0.5376,882,578,1460,31084,37125,
AA,6/4/2002,0.3327,0.2993,0.3160,2263,1200,3463,50894,35019,
AAI,6/4/2002,0.6832,0.6832,0.6832,42,0,42,5142,767,
AAPL,6/4/2002,0.5040,0.4428,0.4734,1202,4390,5592,113656,70730,
ABC,6/4/2002,0.2874,0.2828,0.2851,72,34,106,8674,4620,
ABF,6/4/2002,0.4190,0.4233,0.4212,0,99,99,5147,8331,
ABGX,6/4/2002,1.0047,0.8827,0.9437,183,37,220,9299,10252,
ABI,6/4/2002,0.5654,0.5710,0.5682,338,203,541,7874,6108,
ABK,6/4/2002,0.2353,0.2331,0.2342,14,170,184,752,2353,
ABMD,6/4/2002,1.1187,0.9206,1.0196,5,0,5,5384,1279,
ABN,6/4/2002,0.2554,0.2537,0.2546,0,0,0,106,83,
ABS,6/4/2002,0.3841,0.3484,0.3662,127,364,491,13598,10893,
ABT,6/4/2002,0.3885,0.3593,0.3739,7674,3309,10983,89697,60408,
ABV,6/4/2002,0.3245,0.3169,0.3207,0,0,0,27,4,
ABX,6/4/2002,0.4113,0.4427,0.4270,3102,665,3767,86678,36837,
ABY,6/4/2002,0.2469,0.2469,0.2469,0,0,0,640,127,
AC,6/4/2002,0.3872,0.3839,0.3856,480,168,648,5152,2419,
ACAI,6/4/2002,0.5460,0.5485,0.5472,0,0,0,250,99,
ACAM,6/4/2002,0.6646,0.6748,0.6697,0,0,0,151,54,
ACAS,6/4/2002,0.1795,0.2464,0.2130,7,22,29,1373,632,
ACDO,6/4/2002,0.5346,0.5338,0.5342,205,656,861,3722,2106,
ACE,6/4/2002,0.4097,0.4337,0.4217,437,66,503,6967,6773,
ACF,6/4/2002,0.6685,0.6568,0.6626,3826,1137,4963,37753,48243,
ACI,6/4/2002,0.3472,0.3555,0.3514,0,70,70,1127,1830,
ACLS,6/4/2002,0.6954,0.5334,0.6144,113,0,113,2068,1419,
ACN,6/4/2002,0.5324,0.4646,0.4985,268,1838,2106,22855,21112,
ACPW,6/4/2002,0.4483,0.4483,0.4483,10,0,10,999,1219,
ACRI,6/4/2002,0.6829,0.9160,0.7994,12,30,42,734,360,
ACRT,6/4/2002,1.1950,1.3309,1.2630,413,1654,2067,5155,5085,
ACS,6/4/2002,0.3828,0.3891,0.3860,1303,779,2082,13774,35558,
ACTL,6/4/2002,0.4312,0.4531,0.4422,0,0,0,1676,2243,
ACTU,6/4/2002,0.7924,0.7924,0.7924,0,0,0,190,58,
ACXM,6/4/2002,0.5479,0.5104,0.5292,32,0,32,1395,2541,
ADBE,6/4/2002,0.6113,0.6156,0.6135,1295,471,1766,46851,28723,
ADCT,6/4/2002,1.0899,1.0899,1.0899,379,123,502,52438,13291,
ADEX,6/4/2002,0.5886,0.8308,0.7097,0,0,0,160,105,
ADI,6/4/2002,0.6638,0.6280,0.6459,2196,586,2782,42884,30259,
ADIC,6/4/2002,0.6413,0.9782,0.8098,96,6,102,3018,1566,
ADLR,6/4/2002,0.6847,0.7385,0.7116,0,19,19,2958,598,
ADM,6/4/2002,0.3132,0.3912,0.3522,60,1,61,6082,2524,
ADP,6/4/2002,0.2757,0.2727,0.2742,224,39,263,16817,7318,
ADPT,6/4/2002,0.7368,0.6304,0.6836,105,10,115,12021,8671,
ADRX,6/4/2002,0.8733,0.8694,0.8714,3929,389,4318,100713,30007,
ADSK,6/4/2002,0.5835,0.5999,0.5917,43,13,56,4786,1466,
ADTK,6/4/2002,0.0000,0.0000,0.0000,0,0,0,80,14,
ADTN,6/4/2002,0.4232,0.4226,0.4229,4,10,14,2362,228,
ADVNA,6/4/2002,0.3444,0.3558,0.3501,85,0,85,379,100,
ADVNB,6/4/2002,0.3100,0.3875,0.3488,10,10,20,988,319,
ADVP,6/4/2002,0.6134,0.6235,0.6184,707,691,1398,15320,5562,
ADVS,6/4/2002,0.6212,0.6619,0.6416,78,115,193,4812,1880,
AEE,6/4/2002,0.1918,0.3123,0.2520,0,1,1,1573,711,
AEG,6/4/2002,0.2812,0.2710,0.2761,5,20,25,885,816,
AEIS,6/4/2002,0.6358,0.6841,0.6600,9,16,25,4231,2754,
AEM,6/4/2002,0.5661,0.4771,0.5216,727,128,855,14129,3352,
AEOS,6/4/2002,0.5406,0.5426,0.5416,215,67,282,3583,4487,
AEP,6/4/2002,0.2789,0.2572,0.2680,121,193,314,3173,5813,
AES,6/4/2002,1.1083,1.0573,1.0828,657,719,1376,116996,71840,
AET,6/4/2002,0.3761,0.3883,0.3822,69,69,138,48928,17381,
AETH,6/4/2002,1.2668,1.2668,1.2668,40,10,50,5609,1404,
AFC,6/4/2002,0.3331,0.3457,0.3394,562,20,582,765,581,
AFCI,6/4/2002,0.5784,0.6048,0.5916,51,20,71,12749,8260,
AFFX,6/4/2002,0.7646,0.8008,0.7827,416,43,459,8660,6589,
AFG,6/4/2002,0.2930,0.3162,0.3046,0,0,0,289,220,
AFL,6/4/2002,0.2993,0.3090,0.3042,80,6,86,7654,3258,
AG,6/4/2002,0.4179,0.4538,0.4358,5,129,134,2266,419,
AGE,6/4/2002,0.2823,0.3475,0.3149,116,40,156,8893,7051,
AGEN,6/4/2002,0.7462,0.6504,0.6983,72,20,92,1565,556,
AGIL,6/4/2002,1.0216,1.1349,1.0783,6,5,11,1722,2581,
AGN,6/4/2002,0.3481,0.3644,0.3562,856,44,900,11228,6262,
AGU,6/4/2002,0.2708,0.3121,0.2914,0,0,0,1001,5761,
AGY,6/4/2002,0.5352,0.5040,0.5196,129,160,289,1381,3461,
AH,6/4/2002,0.4529,0.4271,0.4400,110,40,150,2102,955,
AHAA,6/4/2002,1.0904,0.9194,1.0049,59,0,59,14192,1199,
AHC,6/4/2002,0.2645,0.2568,0.2606,56,77,133,11325,10505,
AHG,6/4/2002,0.3835,0.3958,0.3896,0,0,0,1036,797,
AHO,6/4/2002,0.2588,0.2664,0.2626,40,10,50,782,1389,
AHR,6/4/2002,0.0716,0.1321,0.1018,110,0,110,810,189,
AIB,6/4/2002,0.3013,0.2964,0.2988,0,0,0,333,173,
AIG,6/4/2002,0.3195,0.2995,0.3095,12863,11324,24187,138638,95658,
AIR,6/4/2002,0.4442,0.4126,0.4284,0,0,0,291,180,
