symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,2/13/2002,0.4691,0.4899,0.4795,214,191,405,34069,25708,
AA,2/13/2002,0.3258,0.3204,0.3231,2983,3646,6629,40224,28122,
AAI,2/13/2002,0.7495,0.7479,0.7487,187,0,187,5911,451,
AAPL,2/13/2002,0.4646,0.4693,0.4670,1129,164,1293,133861,69307,
ABF,2/13/2002,0.3840,0.3856,0.3848,155,0,155,6778,1675,
ABGX,2/13/2002,0.7542,0.7177,0.7360,1609,186,1795,5301,6715,
ABI,2/13/2002,0.5862,0.5972,0.5917,141,204,345,21791,6097,
ABK,2/13/2002,0.2978,0.3141,0.3060,35,24,59,1386,1098,
ABMD,2/13/2002,0.7055,0.7283,0.7169,87,14,101,3319,2400,
ABN,2/13/2002,0.2901,0.2726,0.2814,0,100,100,735,2098,
ABS,2/13/2002,0.3090,0.3073,0.3082,111,155,266,9956,8779,
ABT,2/13/2002,0.2041,0.2224,0.2132,1488,912,2400,86406,42495,
ABX,2/13/2002,0.4050,0.3979,0.4014,993,968,1961,66850,25957,
ABY,2/13/2002,0.3924,0.3925,0.3924,0,0,0,733,367,
AC,2/13/2002,0.3057,0.3014,0.3036,484,7,491,5604,5298,
ACAI,2/13/2002,0.5796,0.5847,0.5821,13,0,13,576,352,
ACAS,2/13/2002,0.2619,0.4114,0.3366,53,14,67,2043,1269,
ACDO,2/13/2002,0.5156,0.5151,0.5154,96,31,127,2079,1728,
ACF,2/13/2002,1.0659,1.0567,1.0613,1710,890,2600,35294,46027,
ACI,2/13/2002,0.3872,0.4648,0.4260,3,0,3,1109,608,
ACLA,2/13/2002,0.6140,0.5832,0.5986,0,0,0,344,103,
ACLS,2/13/2002,0.6495,0.7162,0.6828,42,47,89,3683,1780,
ACPW,2/13/2002,0.5345,0.7470,0.6407,5,0,5,1872,2656,
ACRI,2/13/2002,0.6811,0.8038,0.7425,0,10,10,1767,544,
ACS,2/13/2002,0.4460,0.4461,0.4460,746,88,834,10898,11673,
ACTL,2/13/2002,0.5157,0.5473,0.5315,0,0,0,416,1538,
ACTN,2/13/2002,0.6394,0.6206,0.6300,12,24,36,761,1331,
ACTR,2/13/2002,0.8916,0.7483,0.8200,0,0,0,1275,438,
