symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,6/10/2002,0.5469,0.5448,0.5458,1496,966,2462,32601,37339,
AA,6/10/2002,0.3350,0.3856,0.3603,476,1122,1598,53085,35881,
AAI,6/10/2002,0.8084,0.8084,0.8084,0,0,0,5134,967,
AAPL,6/10/2002,0.5520,0.5373,0.5447,1325,1498,2823,114278,73425,
ABC,6/10/2002,0.2591,0.2673,0.2632,624,465,1089,12609,4788,
ABF,6/10/2002,0.4028,0.4365,0.4196,7,13,20,5159,8318,
ABGX,6/10/2002,1.0702,0.9000,0.9851,26,11,37,9271,10107,
ABI,6/10/2002,0.5712,0.5885,0.5798,119,194,313,8062,5703,
ABK,6/10/2002,0.2250,0.2325,0.2288,21,197,218,749,2421,
ABMD,6/10/2002,1.0809,1.0441,1.0625,0,0,0,5379,1279,
ABN,6/10/2002,0.2444,0.2776,0.2610,0,0,0,106,83,
ABS,6/10/2002,0.3624,0.3444,0.3534,29,3,32,13706,11124,
ABT,6/10/2002,0.3876,0.3706,0.3791,3427,710,4137,93890,64306,
ABV,6/10/2002,0.3180,0.3016,0.3098,0,0,0,27,4,
ABX,6/10/2002,0.4729,0.4919,0.4824,4940,6864,11804,87605,37752,
ABY,6/10/2002,0.3470,0.3470,0.3470,0,0,0,640,127,
AC,6/10/2002,0.3972,0.3745,0.3859,39,15,54,5513,2421,
ACAI,6/10/2002,0.4999,0.5049,0.5024,25,20,45,250,99,
ACAM,6/10/2002,0.7147,0.6447,0.6797,0,0,0,151,54,
ACAS,6/10/2002,0.2459,0.2015,0.2237,93,168,261,1480,654,
ACDO,6/10/2002,0.5557,0.4970,0.5264,303,284,587,3854,2730,
ACE,6/10/2002,0.4252,0.4863,0.4558,1087,52,1139,6985,7046,
ACF,6/10/2002,0.8277,0.8637,0.8457,1837,2175,4012,41478,48833,
ACI,6/10/2002,0.4076,0.4075,0.4075,0,0,0,1147,1905,
ACLS,6/10/2002,0.6919,0.7087,0.7003,10,10,20,2160,1419,
ACN,6/10/2002,0.4917,0.5382,0.5150,2149,15,2164,22859,20610,
