symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/9/2002,0.5830,0.5740,0.5785,395,1547,1942,41782,46662,
AA,5/9/2002,0.3563,0.3204,0.3384,445,28,473,73132,35003,
AAI,5/9/2002,0.7395,0.7395,0.7395,0,0,0,4990,318,
AAPL,5/9/2002,0.4756,0.4165,0.4460,553,433,986,114689,68744,
ABC,5/9/2002,0.3265,0.3085,0.3175,391,514,905,11756,5819,
ABF,5/9/2002,0.5230,0.5842,0.5536,396,47,443,8029,10583,
ABGX,5/9/2002,0.8817,0.9459,0.9138,57,33,90,10486,10119,
ABI,5/9/2002,0.5904,0.6245,0.6074,113,4,117,7027,4095,
ABK,5/9/2002,0.2532,0.2488,0.2510,11,0,11,1255,3070,
ABMD,5/9/2002,0.8393,1.0204,0.9298,166,1,167,5045,1496,
ABN,5/9/2002,0.2816,0.2478,0.2647,0,0,0,104,143,
ABS,5/9/2002,0.3116,0.3180,0.3148,131,2743,2874,10571,6374,
ABT,5/9/2002,0.2882,0.3347,0.3114,1181,842,2023,105567,62375,
ABV,5/9/2002,0.3149,0.3132,0.3140,0,0,0,27,4,
ABX,5/9/2002,0.3572,0.4278,0.3925,3464,1846,5310,78907,34641,
ABY,5/9/2002,0.4423,0.4423,0.4423,25,0,25,637,128,
AC,5/9/2002,0.2482,0.2343,0.2412,54,0,54,3108,1704,
ACAI,5/9/2002,0.5587,0.5751,0.5669,10,0,10,437,375,
ACAM,5/9/2002,0.9052,0.9828,0.9440,0,0,0,151,73,
ACAS,5/9/2002,0.2547,0.2735,0.2641,37,0,37,2113,1066,
ACDO,5/9/2002,0.5006,0.4933,0.4970,644,135,779,3335,3086,
ACE,5/9/2002,0.4970,0.4549,0.4760,410,3110,3520,10290,10062,
ACF,5/9/2002,0.7007,0.7158,0.7083,624,395,1019,44259,56908,
ACI,5/9/2002,0.4065,0.4119,0.4092,0,0,0,825,716,
ACLA,5/9/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/9/2002,0.4763,0.5115,0.4939,94,16,110,2511,1763,
ACN,5/9/2002,0.6808,0.6996,0.6902,13,73,86,4211,12274,
ACPW,5/9/2002,0.5667,0.5667,0.5667,0,0,0,938,1745,
ACRI,5/9/2002,0.6285,0.7561,0.6923,3,0,3,1685,518,
ACRT,5/9/2002,0.9938,0.8950,0.9444,60,15,75,3986,2384,
