symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/11/2002,0.4577,0.4211,0.4394,901,2339,3240,47541,29070,
AA,3/11/2002,0.3233,0.3265,0.3249,653,282,935,64070,37486,
AAI,3/11/2002,0.6194,0.3925,0.5060,0,20,20,5892,456,
AAPL,3/11/2002,0.4176,0.4169,0.4172,1696,718,2414,138213,88289,
ABF,3/11/2002,0.3023,0.2947,0.2985,203,46,249,2438,1659,
ABGX,3/11/2002,0.7814,0.7538,0.7676,183,378,561,8959,8443,
ABI,3/11/2002,0.5295,0.5397,0.5346,88,64,152,20601,6342,
ABK,3/11/2002,0.3258,0.3427,0.3342,17,26,43,1063,2158,
ABMD,3/11/2002,0.8326,0.8021,0.8174,210,1,211,5316,1957,
ABN,3/11/2002,0.2101,0.2464,0.2282,0,40,40,729,2235,
ABS,3/11/2002,0.2634,0.2667,0.2650,181,115,296,11166,10561,
ABT,3/11/2002,0.2171,0.2439,0.2305,5758,1050,6808,86779,45472,
ABX,3/11/2002,0.4158,0.4470,0.4314,1165,241,1406,68133,34215,
ABY,3/11/2002,0.4152,0.4158,0.4155,10,0,10,496,371,
AC,3/11/2002,0.2625,0.2571,0.2598,86,0,86,6571,5134,
ACAI,3/11/2002,0.6405,0.6611,0.6508,0,0,0,447,176,
ACAS,3/11/2002,0.1481,0.3128,0.2304,41,60,101,2033,789,
ACDO,3/11/2002,0.5538,0.5091,0.5314,267,89,356,2268,1374,
ACF,3/11/2002,0.8150,0.8629,0.8390,5150,6280,11430,39280,39967,
ACI,3/11/2002,0.3943,0.3469,0.3706,263,3,266,1321,666,
ACLA,3/11/2002,0.6156,0.6898,0.6527,0,0,0,393,83,
ACLS,3/11/2002,0.6040,0.6139,0.6090,24,3,27,4472,2204,
ACPW,3/11/2002,0.5322,0.5368,0.5345,0,0,0,1767,2241,
ACRI,3/11/2002,0.8166,0.7530,0.7848,10,0,10,1056,450,
ACS,3/11/2002,0.3813,0.3347,0.3580,101,371,472,20666,33522,
ACTL,3/11/2002,0.4629,0.4110,0.4369,4,0,4,585,1530,
ACTR,3/11/2002,0.0000,0.0000,0.0000,0,5,5,1239,230,
ACTU,3/11/2002,0.3940,0.6106,0.5023,130,110,240,548,943,
ACXM,3/11/2002,0.6084,0.5915,0.6000,96,130,226,1609,3196,
ADBE,3/11/2002,0.4876,0.4924,0.4900,1045,621,1666,44958,29696,
ADCT,3/11/2002,0.9448,0.8396,0.8922,277,220,497,79294,90111,
ADEX,3/11/2002,0.5779,0.6016,0.5898,0,0,0,110,105,
ADI,3/11/2002,0.5338,0.5063,0.5200,1105,1322,2427,64280,34214,
ADIC,3/11/2002,0.5830,0.5574,0.5702,247,0,247,5430,1826,
ADLAC,3/11/2002,0.6178,0.6874,0.6526,37,1,38,23450,23572,
ADM,3/11/2002,0.2687,0.2718,0.2702,44,305,349,7482,3770,
ADP,3/11/2002,0.2414,0.2458,0.2436,556,906,1462,19259,8612,
ADPT,3/11/2002,0.5856,0.6494,0.6175,119,204,323,16750,5523,
ADRX,3/11/2002,0.8102,0.7879,0.7990,1318,957,2275,63611,33228,
ADSK,3/11/2002,0.3939,0.3923,0.3931,804,59,863,4572,1422,
ADTN,3/11/2002,0.4841,0.4394,0.4618,8,0,8,2179,304,
ADVNA,3/11/2002,0.4513,0.2601,0.3557,40,0,40,427,73,
ADVNB,3/11/2002,0.3730,0.4186,0.3958,100,0,100,224,110,
ADVP,3/11/2002,0.4392,0.4379,0.4386,219,259,478,16812,7695,
ADVS,3/11/2002,0.4578,0.4597,0.4588,201,143,344,2685,1681,
AEE,3/11/2002,0.2026,0.1976,0.2001,19,0,19,988,761,
AEG,3/11/2002,0.3641,0.3058,0.3349,2,2,4,1999,820,
AEIS,3/11/2002,0.6510,0.6701,0.6606,324,305,629,1877,2354,
AEM,3/11/2002,0.6077,0.5073,0.5575,48,45,93,13243,4364,
AEOS,3/11/2002,0.5105,0.4589,0.4847,49,23,72,4817,5389,
AEP,3/11/2002,0.1829,0.1489,0.1659,74,131,205,3247,2327,
AES,3/11/2002,1.0353,0.9701,1.0027,4363,663,5026,67050,45037,
AET,3/11/2002,0.4152,0.4162,0.4157,1615,74,1689,41246,23950,
AETH,3/11/2002,0.8657,0.8699,0.8678,1158,30,1188,8137,4354,
AFC,3/11/2002,0.3212,0.3086,0.3149,0,0,0,631,451,
AFCI,3/11/2002,0.4948,0.4768,0.4858,1375,105,1480,18484,8040,
AFFX,3/11/2002,0.7881,0.7994,0.7938,1230,223,1453,13286,6083,
AFG,3/11/2002,0.3493,0.3398,0.3446,0,0,0,853,223,
AFL,3/11/2002,0.3172,0.3133,0.3153,3133,124,3257,10102,5174,
AG,3/11/2002,0.4760,0.4255,0.4508,2,0,2,1879,704,
AGE,3/11/2002,0.3021,0.2919,0.2970,365,150,515,13247,5518,
AGIL,3/11/2002,0.8230,0.8704,0.8467,23,0,23,2855,2152,
AGN,3/11/2002,0.3205,0.3427,0.3316,95,34,129,14684,3276,
AGU,3/11/2002,0.2833,0.2875,0.2854,0,0,0,40,6184,
AGY,3/11/2002,0.4432,0.4014,0.4223,16,1,17,3791,2804,
AH,3/11/2002,0.4848,0.4568,0.4708,13,1,14,2920,1179,
AHAA,3/11/2002,0.8742,0.8178,0.8460,145,175,320,2331,3001,
AHC,3/11/2002,0.2693,0.2918,0.2805,481,470,951,15247,9107,
AHG,3/11/2002,0.4278,0.4155,0.4216,22,0,22,1795,4280,
AHO,3/11/2002,0.3263,0.3194,0.3228,1,0,1,716,2204,
AHR,3/11/2002,0.4235,0.4226,0.4230,16,10,26,769,203,
AIG,3/11/2002,0.2905,0.2847,0.2876,3128,12505,15633,118183,84301,
AIR,3/11/2002,0.7718,0.5806,0.6762,20,0,20,451,135,
AJG,3/11/2002,0.3416,0.3561,0.3488,10,25,35,1132,864,
AKAM,3/11/2002,0.9184,0.9591,0.9388,49,90,139,22409,2259,
AKS,3/11/2002,0.5430,0.4992,0.5211,0,3,3,3955,4727,
AKSY,3/11/2002,1.1523,1.2364,1.1944,135,10,145,1269,166,
AKZOY,3/11/2002,0.2189,0.1988,0.2088,0,0,0,629,78,
AL,3/11/2002,0.3028,0.2996,0.3012,13,40,53,7511,1475,
ALA,3/11/2002,0.5267,0.5060,0.5164,424,0,424,25068,17311,
ALEX,3/11/2002,0.3096,0.3415,0.3256,15,0,15,655,621,
ALGX,3/11/2002,1.4974,1.4250,1.4612,67,70,137,6935,4470,
ALK,3/11/2002,0.3706,0.3181,0.3444,29,0,29,4451,1628,
ALKS,3/11/2002,0.5374,0.5008,0.5191,50,15,65,1998,412,
ALL,3/11/2002,0.2429,0.2376,0.2402,356,410,766,73219,18242,
ALN,3/11/2002,0.9576,0.8247,0.8912,4,0,4,157,111,
ALO,3/11/2002,0.5950,0.5738,0.5844,318,206,524,4161,3911,
ALOY,3/11/2002,0.7391,0.8747,0.8069,19,51,70,2583,1340,
ALSC,3/11/2002,0.3644,0.4935,0.4290,0,0,0,695,105,
ALTR,3/11/2002,0.6921,0.6411,0.6666,372,520,892,51132,41520,
ALXN,3/11/2002,0.6507,0.6336,0.6422,142,90,232,1720,1304,
AM,3/11/2002,0.3925,0.4306,0.4116,147,10,157,2789,2994,
AMAT,3/11/2002,0.5320,0.5462,0.5391,10548,15753,26301,255501,215150,
AMCC,3/11/2002,0.8845,0.9058,0.8952,1255,361,1616,48770,19931,
AMD,3/11/2002,0.6292,0.6354,0.6323,3209,183,3392,189383,124473,
AMEV,3/11/2002,1.1098,0.8016,0.9557,0,0,0,917,33,
AMFI,3/11/2002,0.2125,0.2145,0.2135,0,0,0,261,102,
AMG,3/11/2002,0.3174,0.3113,0.3144,1,0,1,1543,838,
AMGN,3/11/2002,0.3330,0.3244,0.3287,4965,1489,6454,235186,133177,
AMKR,3/11/2002,0.5832,0.5410,0.5621,305,625,930,9483,7580,
AMLN,3/11/2002,0.5929,0.6071,0.6000,33,0,33,1759,741,
AMPL,3/11/2002,0.5617,0.5617,0.5617,0,0,0,609,140,
AMR,3/11/2002,0.4298,0.4194,0.4246,441,619,1060,15635,18176,
AMRI,3/11/2002,0.7830,0.8598,0.8214,373,129,502,2141,1643,
AMSC,3/11/2002,0.9202,0.8341,0.8772,50,0,50,674,1119,
AMSY,3/11/2002,0.4303,0.4389,0.4346,0,0,0,1081,74,
AMT,3/11/2002,1.1615,1.1432,1.1524,632,454,1086,29742,15721,
AMTD,3/11/2002,0.5936,0.5093,0.5514,219,20,239,10982,3842,
