symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/16/2002,0.4568,0.4325,0.4446,3134,10728,13862,43420,44071,
AA,4/16/2002,0.3354,0.3505,0.3429,2322,3776,6098,91937,50679,
AAI,4/16/2002,0.6772,0.7234,0.7003,15,0,15,5780,536,
AAPL,4/16/2002,0.4184,0.3762,0.3973,3554,2259,5813,139575,91242,
ABC,4/16/2002,0.3116,0.2882,0.2999,128,12,140,9304,5443,
ABF,4/16/2002,0.6396,0.6314,0.6355,972,5,977,7079,11703,
ABGX,4/16/2002,0.9236,0.8149,0.8692,85,1617,1702,11788,9812,
ABI,4/16/2002,0.5003,0.5021,0.5012,1815,33,1848,10139,5662,
ABK,4/16/2002,0.2921,0.2811,0.2866,71,130,201,1309,2990,
ABMD,4/16/2002,0.7902,0.7573,0.7737,3,10,13,4266,1050,
ABN,4/16/2002,0.2338,0.2795,0.2567,15,0,15,751,2185,
ABS,4/16/2002,0.2331,0.2009,0.2170,448,1202,1650,9156,5048,
ABT,4/16/2002,0.2381,0.2496,0.2438,1993,650,2643,103428,65148,
ABV,4/16/2002,0.3554,0.3592,0.3573,0,0,0,2,4,
ABX,4/16/2002,0.3615,0.3317,0.3466,929,392,1321,83831,35420,
ABY,4/16/2002,0.2136,0.2136,0.2136,0,0,0,641,409,
AC,4/16/2002,0.2532,0.2470,0.2501,116,8,124,6861,4864,
ACAI,4/16/2002,0.5785,0.5442,0.5614,0,0,0,305,353,
ACAM,4/16/2002,0.5430,0.5294,0.5362,1,0,1,161,109,
ACAS,4/16/2002,0.2301,0.2863,0.2582,0,5,5,2249,841,
ACDO,4/16/2002,0.4327,0.3907,0.4117,109,510,619,3547,2821,
ACE,4/16/2002,0.3295,0.3276,0.3286,55,17,72,8159,7736,
ACF,4/16/2002,0.6175,0.6254,0.6215,4076,3787,7863,43775,49146,
ACI,4/16/2002,0.4325,0.3757,0.4041,30,0,30,1447,1705,
ACLA,4/16/2002,0.2650,0.2650,0.2650,0,0,0,370,113,
ACLS,4/16/2002,0.6120,0.5613,0.5866,239,61,300,3267,2954,
ACN,4/16/2002,0.5688,0.5740,0.5714,112,2191,2303,8421,9829,
ACPW,4/16/2002,0.8188,0.8192,0.8190,44,0,44,1989,2450,
ACRI,4/16/2002,0.8153,0.6208,0.7181,10,0,10,1652,549,
ACRT,4/16/2002,0.9470,0.9630,0.9550,46,200,246,3685,1208,
ACS,4/16/2002,0.4042,0.3916,0.3979,2212,1162,3374,22416,37004,
ACTL,4/16/2002,0.4342,0.4034,0.4188,17,0,17,456,1236,
ACTR,4/16/2002,0.0000,0.0000,0.0000,0,0,0,1239,71,
ACTU,4/16/2002,0.8150,0.6193,0.7171,0,0,0,719,777,
ACXM,4/16/2002,0.5026,0.4903,0.4965,31,3,34,1749,3377,
ADBE,4/16/2002,0.4945,0.4900,0.4922,844,792,1636,47806,28772,
ADCT,4/16/2002,0.9760,0.9896,0.9828,471,50,521,68871,90461,
ADEX,4/16/2002,0.6100,0.5665,0.5882,0,0,0,127,105,
ADI,4/16/2002,0.4913,0.4840,0.4876,1710,812,2522,40908,23078,
ADIC,4/16/2002,0.6817,0.6166,0.6492,420,30,450,3197,1364,
ADLAC,4/16/2002,1.4120,1.4862,1.4491,2496,3250,5746,97910,84802,
ADLR,4/16/2002,0.7535,0.6450,0.6992,210,13,223,4021,637,
ADM,4/16/2002,0.3067,0.2620,0.2844,31,0,31,6680,2029,
ADP,4/16/2002,0.2866,0.2764,0.2815,582,1309,1891,20732,14269,
ADPT,4/16/2002,0.5848,0.5194,0.5521,1116,136,1252,10293,4948,
ADRX,4/16/2002,0.7727,0.7934,0.7830,2546,1248,3794,73436,36799,
ADSK,4/16/2002,0.5289,0.4838,0.5064,421,72,493,5215,1055,
ADTK,4/16/2002,0.0000,0.0000,0.0000,0,0,0,209,134,
ADTN,4/16/2002,0.4042,0.3922,0.3982,59,10,69,3154,620,
ADVNA,4/16/2002,0.2801,0.2803,0.2802,0,0,0,436,83,
ADVNB,4/16/2002,0.4681,0.3388,0.4034,11,41,52,994,319,
ADVP,4/16/2002,0.3489,0.4904,0.4196,440,267,707,9257,4717,
ADVS,4/16/2002,0.4313,0.5992,0.5152,45,319,364,4230,6273,
AEE,4/16/2002,0.1632,0.1751,0.1692,0,0,0,795,539,
AEG,4/16/2002,0.2404,0.3142,0.2773,3112,0,3112,2320,823,
AEIS,4/16/2002,0.5431,0.5920,0.5676,262,204,466,2370,4383,
AEM,4/16/2002,0.4214,0.5219,0.4716,386,263,649,13304,5392,
AEOS,4/16/2002,0.6391,0.5649,0.6020,206,124,330,8646,5482,
AEP,4/16/2002,0.1529,0.2763,0.2146,27,70,97,3905,2941,
AES,4/16/2002,1.0024,1.1793,1.0909,1408,377,1785,131641,83455,
AET,4/16/2002,0.3544,0.3461,0.3502,1278,80,1358,46769,18599,
AETH,4/16/2002,1.0109,1.1283,1.0696,370,30,400,8064,2946,
AFC,4/16/2002,0.2410,0.2321,0.2366,2,0,2,792,465,
AFCI,4/16/2002,0.4589,0.4634,0.4611,260,120,380,17544,7256,
AFFX,4/16/2002,0.7470,0.6702,0.7086,2109,437,2546,16665,7518,
AFG,4/16/2002,0.2701,0.2701,0.2701,17,0,17,235,230,
AFL,4/16/2002,0.2962,0.2417,0.2690,56,57,113,14372,4962,
AG,4/16/2002,0.3694,0.4417,0.4055,77,5,82,2040,717,
AGE,4/16/2002,0.3245,0.3213,0.3229,354,5,359,13647,6453,
AGEN,4/16/2002,0.5618,0.5421,0.5519,66,12,78,3077,596,
AGIL,4/16/2002,0.9589,1.1199,1.0394,5,2,7,2753,2329,
AGN,4/16/2002,0.3252,0.3390,0.3321,901,395,1296,15505,3389,
AGU,4/16/2002,0.2910,0.2632,0.2771,0,0,0,180,6819,
AGY,4/16/2002,0.3512,0.3222,0.3367,85,10,95,3066,797,
AH,4/16/2002,0.4958,0.4261,0.4610,98,50,148,3896,1109,
AHAA,4/16/2002,0.6791,0.8345,0.7568,364,113,477,3565,2524,
AHC,4/16/2002,0.2921,0.2806,0.2864,951,101,1052,11714,14561,
AHG,4/16/2002,0.3187,0.3581,0.3384,0,0,0,1231,697,
AHO,4/16/2002,0.3129,0.3013,0.3071,26,12,38,726,1317,
AHR,4/16/2002,0.3493,0.3503,0.3498,0,0,0,804,182,
AIB,4/16/2002,0.3430,0.3655,0.3542,0,0,0,490,170,
AIG,4/16/2002,0.2411,0.2575,0.2493,1028,506,1534,147139,85068,
AIR,4/16/2002,0.4479,0.4793,0.4636,0,0,0,605,153,
AJG,4/16/2002,0.2801,0.2491,0.2646,34,0,34,1148,742,
AKAM,4/16/2002,0.8838,0.8571,0.8704,0,24,24,26615,3067,
AKS,4/16/2002,0.4103,0.4512,0.4308,10,0,10,2833,449,
AKSY,4/16/2002,1.0074,1.0036,1.0055,250,55,305,4615,1472,
AKZOY,4/16/2002,0.2200,0.2025,0.2112,0,0,0,609,108,
AL,4/16/2002,0.2891,0.2857,0.2874,131,11,142,5552,987,
ALA,4/16/2002,0.4672,0.5754,0.5213,407,96,503,26543,23318,
ALAO,4/16/2002,0.7392,0.7441,0.7416,0,0,0,8,0,
ALD,4/16/2002,0.2208,0.2965,0.2586,25,0,25,1837,2964,
ALE,4/16/2002,0.1997,0.2181,0.2089,0,0,0,663,37,
ALEX,4/16/2002,0.3513,0.3512,0.3512,7,0,7,1317,424,
ALGX,4/16/2002,0.9695,0.9911,0.9803,39,0,39,5542,3602,
ALK,4/16/2002,0.3494,0.3334,0.3414,16,0,16,4644,1733,
ALKS,4/16/2002,0.5504,0.5738,0.5621,1010,10,1020,8360,1357,
ALL,4/16/2002,0.2005,0.2313,0.2159,892,894,1786,97882,25950,
ALN,4/16/2002,0.7525,1.0308,0.8916,0,0,0,394,427,
ALO,4/16/2002,0.5961,0.5588,0.5774,95,106,201,4459,2613,
ALOY,4/16/2002,0.7922,1.0079,0.9000,262,5,267,3601,1410,
ALSC,4/16/2002,0.5867,0.5260,0.5564,1,0,1,714,114,
ALTR,4/16/2002,0.6185,0.5769,0.5977,2811,1165,3976,47870,38259,
ALXN,4/16/2002,0.5800,0.5297,0.5548,85,0,85,2328,1598,
AM,4/16/2002,0.4855,0.4258,0.4556,30,550,580,5339,6693,
AMAT,4/16/2002,0.5286,0.5459,0.5372,18845,9769,28614,283325,236248,
AMCC,4/16/2002,0.9089,0.8563,0.8826,2220,597,2817,49863,21493,
AMD,4/16/2002,0.6133,0.6286,0.6210,10113,2074,12187,195787,129622,
AMEV,4/16/2002,0.8380,0.9435,0.8908,2,0,2,910,33,
AMFI,4/16/2002,0.1613,0.1612,0.1612,0,0,0,319,102,
AMG,4/16/2002,0.3009,0.3163,0.3086,50,0,50,343,590,
AMGN,4/16/2002,0.3330,0.3652,0.3491,7705,2719,10424,250855,153723,
AMKR,4/16/2002,0.5849,0.5681,0.5765,1183,45,1228,11830,8832,
AMLN,4/16/2002,0.6639,0.4782,0.5711,521,23,544,2118,710,
AMPL,4/16/2002,0.0000,0.0000,0.0000,0,0,0,365,125,
AMR,4/16/2002,0.4965,0.4616,0.4790,130,12,142,16020,15428,
AMRI,4/16/2002,0.5932,0.5508,0.5720,3,10,13,2454,1335,
AMSC,4/16/2002,0.7172,0.7605,0.7388,0,0,0,905,1130,
AMSG,4/16/2002,0.3885,0.3327,0.3606,0,0,0,1463,420,
AMSY,4/16/2002,0.4673,0.4809,0.4741,0,0,0,1334,26,
AMT,4/16/2002,1.2917,1.2292,1.2604,659,410,1069,30905,16104,
AMTD,4/16/2002,0.5507,0.5406,0.5456,20,130,150,11701,3905,
AMX,4/16/2002,0.4142,0.3567,0.3854,18,0,18,30253,24756,
AMZN,4/16/2002,0.7789,0.8014,0.7902,2809,3299,6108,195091,172264,
AN,4/16/2002,0.3694,0.3785,0.3740,33,8,41,47998,5007,
ANAD,4/16/2002,0.7425,0.7561,0.7493,74,33,107,5489,2299,
ANDW,4/16/2002,0.3888,0.3432,0.3660,12,220,232,5893,2536,
ANEN,4/16/2002,0.5914,0.7578,0.6746,8,0,8,911,1524,
ANF,4/16/2002,0.4428,0.4314,0.4371,378,223,601,20082,5897,
ANLY,4/16/2002,0.9400,0.9397,0.9398,40,0,40,576,36,
ANN,4/16/2002,0.3814,0.3867,0.3840,209,65,274,3818,4467,
ANSR,4/16/2002,0.5611,0.3689,0.4650,0,12,12,1690,165,
ANSS,4/16/2002,0.4756,0.4728,0.4742,1,0,1,409,142,
AOC,4/16/2002,0.2197,0.2168,0.2182,147,27,174,19051,2806,
AOL,4/16/2002,0.6007,0.5157,0.5582,26731,15345,42076,1448430,612950,
AOLA,4/16/2002,0.0000,0.0000,0.0000,0,0,0,499,10,
AOT,4/16/2002,0.3495,0.2898,0.3196,0,0,0,673,742,
APA,4/16/2002,0.3195,0.3448,0.3322,440,57,497,20425,23216,
APB,4/16/2002,0.1942,0.3113,0.2528,0,0,0,1119,222,
APC,4/16/2002,0.3530,0.3407,0.3468,578,176,754,34731,23399,
APCC,4/16/2002,0.4354,0.3882,0.4118,58,52,110,7673,3681,
APD,4/16/2002,0.2243,0.2538,0.2390,10,0,10,3855,969,
APH,4/16/2002,0.2946,0.3170,0.3058,76,41,117,3532,981,
APHT,4/16/2002,0.7763,0.7391,0.7577,0,0,0,543,497,
APN,4/16/2002,0.5339,0.5323,0.5331,30,0,30,744,269,
APOL,4/16/2002,0.3517,0.3445,0.3481,155,127,282,9470,5569,
APPB,4/16/2002,0.3925,0.3922,0.3923,160,49,209,6408,2741,
APWR,4/16/2002,0.4213,0.4080,0.4146,97,38,135,3521,2183,
ARBA,4/16/2002,1.1719,1.1091,1.1405,987,26,1013,74985,49107,
ARDM,4/16/2002,0.7344,0.7343,0.7344,0,0,0,2231,977,
ARG,4/16/2002,0.3349,0.3269,0.3309,7,0,7,956,496,
ARIA,4/16/2002,0.8749,0.8750,0.8750,57,0,57,2275,278,
ARM,4/16/2002,0.3988,0.3909,0.3949,54,5,59,2001,287,
