symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/1/2002,0.3929,0.3930,0.3930,762,1823,2585,37255,37261,
AA,4/1/2002,0.3202,0.3101,0.3152,513,617,1130,59011,48241,
AAI,4/1/2002,0.7909,0.7909,0.7909,2,0,2,5798,511,
AAPL,4/1/2002,0.5099,0.4162,0.4630,1268,419,1687,136788,86093,
ABC,4/1/2002,0.2683,0.2746,0.2714,53,95,148,8734,4643,
ABF,4/1/2002,0.5274,0.4966,0.5120,79,0,79,6777,12017,
ABGX,4/1/2002,0.7796,0.7755,0.7776,315,135,450,9668,7640,
ABI,4/1/2002,0.5042,0.4966,0.5004,59,0,59,4911,5413,
ABK,4/1/2002,0.3086,0.2997,0.3042,11,0,11,1081,2721,
ABMD,4/1/2002,0.7693,0.7174,0.7434,100,0,100,3673,1002,
ABN,4/1/2002,0.2644,0.2736,0.2690,0,0,0,760,2185,
ABS,4/1/2002,0.2257,0.2568,0.2412,78,43,121,8678,4938,
ABT,4/1/2002,0.3087,0.3144,0.3116,1088,769,1857,100299,57991,
ABV,4/1/2002,0.3322,0.3368,0.3345,0,0,0,2,4,
ABX,4/1/2002,0.4139,0.3896,0.4018,6232,331,6563,75126,33274,
ABY,4/1/2002,0.4860,0.4860,0.4860,0,0,0,581,406,
AC,4/1/2002,0.3390,0.2511,0.2951,58,30,88,6631,4822,
ACAI,4/1/2002,0.6929,0.6151,0.6540,20,88,108,300,337,
ACAM,4/1/2002,0.6375,0.6414,0.6394,5,112,117,155,57,
ACAS,4/1/2002,0.2438,0.2384,0.2411,15,4,19,2102,729,
ACDO,4/1/2002,0.4143,0.3791,0.3967,90,66,156,3125,1906,
ACE,4/1/2002,0.3093,0.3866,0.3480,120,71,191,5151,5216,
ACF,4/1/2002,0.5478,0.5709,0.5594,1874,1037,2911,37256,36624,
ACI,4/1/2002,0.3797,0.3735,0.3766,41,10,51,1456,685,
ACLA,4/1/2002,0.0000,0.0000,0.0000,0,0,0,370,113,
ACLS,4/1/2002,0.6417,0.5655,0.6036,19,11,30,3317,1932,
ACN,4/1/2002,0.4397,0.4320,0.4358,0,0,0,6738,8699,
ACPW,4/1/2002,0.7221,0.7847,0.7534,0,0,0,1936,2375,
ACRI,4/1/2002,0.6553,0.7470,0.7011,0,40,40,1545,499,
ACRT,4/1/2002,0.8858,0.8646,0.8752,5,11,16,3417,1014,
