symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/1/2002,0.5077,0.4508,0.4792,3272,1319,4591,40574,45301,
AA,5/1/2002,0.3806,0.3465,0.3636,1966,943,2909,68326,31791,
AAI,5/1/2002,0.7615,0.7615,0.7615,18,0,18,4922,318,
AAPL,5/1/2002,0.4438,0.4014,0.4226,2104,170,2274,110609,60865,
ABC,5/1/2002,0.2566,0.2586,0.2576,20,97,117,10519,5235,
ABF,5/1/2002,0.5874,0.5579,0.5726,80,42,122,7920,10567,
ABGX,5/1/2002,0.8821,0.8757,0.8789,81,42,123,9817,9687,
ABI,5/1/2002,0.5798,0.5801,0.5800,481,25,506,6903,5477,
ABK,5/1/2002,0.2610,0.2652,0.2631,1,0,1,1133,3244,
ABMD,5/1/2002,0.9429,0.8389,0.8909,6,0,6,5036,1523,
ABN,5/1/2002,0.3107,0.2266,0.2686,10,0,10,99,154,
ABS,5/1/2002,0.2336,0.2635,0.2486,47,583,630,8429,4588,
ABT,5/1/2002,0.2513,0.2677,0.2595,1987,731,2718,103141,56087,
ABV,5/1/2002,0.3220,0.3137,0.3178,0,0,0,3,4,
ABX,5/1/2002,0.4122,0.3859,0.3990,5682,2296,7978,73835,28703,
ABY,5/1/2002,0.3425,0.3438,0.3432,0,0,0,575,138,
AC,5/1/2002,0.1839,0.2761,0.2300,26,46,72,3020,1479,
ACAI,5/1/2002,0.6036,0.5739,0.5888,5,0,5,339,320,
ACAM,5/1/2002,0.3268,0.3268,0.3268,0,0,0,151,76,
ACAS,5/1/2002,0.2660,0.2806,0.2733,21,0,21,2148,976,
ACDO,5/1/2002,0.4321,0.4054,0.4188,95,9,104,2888,2755,
ACE,5/1/2002,0.4129,0.4055,0.4092,1005,1848,2853,8548,7531,
ACF,5/1/2002,0.5800,0.6114,0.5957,3459,3204,6663,40433,51029,
ACI,5/1/2002,0.4282,0.4279,0.4280,55,10,65,815,501,
ACLA,5/1/2002,0.0000,0.0000,0.0000,0,0,0,70,0,
ACLS,5/1/2002,0.6075,0.4787,0.5431,89,20,109,2396,1795,
ACN,5/1/2002,0.6265,0.6357,0.6311,531,1988,2519,4178,11921,
ACPW,5/1/2002,0.8452,0.8452,0.8452,0,3,3,938,1748,
ACRI,5/1/2002,0.7457,0.7333,0.7395,10,0,10,1686,518,
ACRT,5/1/2002,0.7863,0.9262,0.8562,115,193,308,3858,2053,
ACS,5/1/2002,0.3731,0.3667,0.3699,300,110,410,14915,25834,
ACTL,5/1/2002,0.4217,0.3974,0.4095,104,0,104,907,1440,
ACTU,5/1/2002,0.6890,0.6890,0.6890,0,0,0,535,757,
ACXM,5/1/2002,0.5559,0.4960,0.5259,2,0,2,1490,3349,
ADBE,5/1/2002,0.5367,0.5218,0.5292,2791,2195,4986,43266,27857,
ADCT,5/1/2002,1.1626,1.1626,1.1626,221,5,226,66459,15001,
ADEX,5/1/2002,0.5780,0.5657,0.5718,0,0,0,137,105,
ADI,5/1/2002,0.7157,0.6255,0.6706,1420,4866,6286,37992,23076,
ADIC,5/1/2002,0.7135,0.6744,0.6940,11,0,11,2895,1661,
ADLR,5/1/2002,0.7453,0.6991,0.7222,20,0,20,2966,662,
ADM,5/1/2002,0.2378,0.2494,0.2436,28,20,48,7004,2362,
ADP,5/1/2002,0.3143,0.3457,0.3300,211,58,269,17867,10362,
ADPT,5/1/2002,0.7360,0.6939,0.7150,584,25,609,11095,6304,
ADRX,5/1/2002,0.6950,0.6927,0.6938,5364,857,6221,88506,21859,
ADSK,5/1/2002,0.5922,0.6156,0.6039,109,79,188,6760,944,
ADTN,5/1/2002,0.4574,0.4356,0.4465,70,0,70,3024,253,
ADVNA,5/1/2002,0.3287,0.3408,0.3348,0,0,0,355,81,
ADVNB,5/1/2002,0.3382,0.4083,0.3732,0,0,0,994,310,
ADVP,5/1/2002,0.4417,0.3591,0.4004,550,209,759,10212,2570,
ADVS,5/1/2002,0.5667,0.5882,0.5774,20,69,89,3639,1639,
AEE,5/1/2002,0.1836,0.2023,0.1930,6,0,6,1384,693,
AEG,5/1/2002,0.2619,0.2621,0.2620,8,0,8,872,671,
AEIS,5/1/2002,0.5593,0.5375,0.5484,38,0,38,2234,2136,
AEM,5/1/2002,0.5177,0.5424,0.5300,547,41,588,13794,5186,
AEOS,5/1/2002,0.6345,0.5663,0.6004,78,988,1066,4457,4843,
AEP,5/1/2002,0.2464,0.2660,0.2562,40,10,50,3729,4612,
AES,5/1/2002,1.1054,0.9637,1.0345,3562,727,4289,122473,79040,
AET,5/1/2002,0.3386,0.3285,0.3336,689,259,948,50394,15982,
AETH,5/1/2002,1.2249,1.2249,1.2249,14,10,24,7120,3007,
AFC,5/1/2002,0.2651,0.2329,0.2490,260,109,369,728,266,
AFCI,5/1/2002,0.5270,0.4986,0.5128,79,40,119,6576,7181,
AFFX,5/1/2002,0.7227,0.7257,0.7242,1173,39,1212,14429,7338,
AFG,5/1/2002,0.3072,0.2542,0.2807,20,0,20,331,220,
AFL,5/1/2002,0.2877,0.3020,0.2948,865,29,894,13818,5140,
AG,5/1/2002,0.4259,0.4068,0.4164,11,0,11,2761,689,
AGE,5/1/2002,0.3575,0.3546,0.3560,216,46,262,12874,6008,
AGEN,5/1/2002,0.6020,0.5885,0.5953,21,7,28,1342,540,
AGIL,5/1/2002,1.4071,1.1508,1.2790,444,2311,2755,1508,1814,
AGN,5/1/2002,0.3490,0.3422,0.3456,349,633,982,5450,3589,
AGU,5/1/2002,0.2816,0.2520,0.2668,0,0,0,125,5407,
AGY,5/1/2002,0.3786,0.3789,0.3788,39,1,40,2869,2840,
AH,5/1/2002,0.4722,0.4503,0.4612,0,0,0,3579,1167,
AHAA,5/1/2002,0.9432,0.8431,0.8932,104,84,188,3194,1937,
AHC,5/1/2002,0.2731,0.2741,0.2736,135,369,504,10505,10602,
AHG,5/1/2002,0.3153,0.3195,0.3174,5,10,15,1438,1069,
AHO,5/1/2002,0.2878,0.2822,0.2850,0,0,0,689,1023,
AHR,5/1/2002,0.3557,0.3557,0.3557,5,0,5,912,235,
AIB,5/1/2002,0.2751,0.3004,0.2878,25,0,25,300,173,
AIG,5/1/2002,0.3037,0.2825,0.2931,3544,4035,7579,149662,105050,
AIR,5/1/2002,0.4775,0.4847,0.4811,0,0,0,346,180,
AJG,5/1/2002,0.2216,0.2181,0.2198,26,0,26,778,312,
AKAM,5/1/2002,1.5833,1.6674,1.6254,190,0,190,26718,2762,
AKS,5/1/2002,0.4169,0.3553,0.3861,10,0,10,2291,332,
AKSY,5/1/2002,1.2196,0.9019,1.0608,113,30,143,3063,1004,
AKZOY,5/1/2002,0.2096,0.2540,0.2318,0,0,0,85,105,
AL,5/1/2002,0.3249,0.3120,0.3184,196,80,276,4530,734,
ALA,5/1/2002,0.6285,0.5912,0.6098,324,161,485,17423,23255,
ALAO,5/1/2002,0.6345,0.6488,0.6417,0,0,0,12,1,
ALD,5/1/2002,0.2812,0.3147,0.2980,10,4,14,1857,3344,
ALE,5/1/2002,0.1498,0.2332,0.1915,0,0,0,468,18,
ALEX,5/1/2002,0.3241,0.3266,0.3254,4,11,15,1847,534,
ALGX,5/1/2002,0.0000,0.0000,0.0000,482,0,482,5658,3477,
ALK,5/1/2002,0.3335,0.3693,0.3514,13,0,13,2186,1161,
ALKS,5/1/2002,0.6735,0.6197,0.6466,20,26,46,4943,1524,
ALL,5/1/2002,0.2420,0.2171,0.2295,507,382,889,89211,26390,
ALN,5/1/2002,1.1051,1.0412,1.0732,0,0,0,382,356,
ALO,5/1/2002,0.5645,0.5683,0.5664,85,14,99,4053,2876,
ALOY,5/1/2002,1.0448,1.0049,1.0248,106,0,106,3172,709,
ALSC,5/1/2002,0.6217,0.7378,0.6798,0,0,0,373,127,
ALTR,5/1/2002,0.6329,0.5787,0.6058,537,338,875,41986,36660,
ALXN,5/1/2002,0.7574,0.6283,0.6928,30,20,50,1831,1340,
AM,5/1/2002,0.4271,0.4556,0.4414,18,30,48,2109,3290,
AMAT,5/1/2002,0.6834,0.6433,0.6634,12456,11889,24345,420458,302070,
AMCC,5/1/2002,0.8922,0.9098,0.9010,478,113,591,44313,20669,
AMD,5/1/2002,0.7060,0.7261,0.7160,1612,440,2052,174306,117516,
AMFI,5/1/2002,0.2067,0.2197,0.2132,0,0,0,326,102,
AMG,5/1/2002,0.3017,0.2839,0.2928,23,50,73,557,645,
AMGN,5/1/2002,0.4425,0.4008,0.4216,6227,4463,10690,201555,129571,
AMKR,5/1/2002,0.6159,0.5769,0.5964,382,355,737,9443,9504,
AMLN,5/1/2002,0.6920,0.6757,0.6838,5,0,5,1521,543,
AMR,5/1/2002,0.5646,0.5745,0.5696,194,135,329,14115,14275,
AMRI,5/1/2002,0.7076,0.5478,0.6277,4,30,34,2114,838,
AMSC,5/1/2002,0.6981,0.5519,0.6250,1,0,1,574,1134,
AMSG,5/1/2002,0.3458,0.3410,0.3434,10,0,10,1461,471,
AMSY,5/1/2002,0.4091,0.3732,0.3912,10,0,10,1077,66,
AMT,5/1/2002,1.4035,1.1835,1.2935,634,301,935,27535,13567,
AMTD,5/1/2002,0.5719,0.5719,0.5719,70,4,74,11342,3958,
AMX,5/1/2002,0.4157,0.4137,0.4147,53,5,58,18249,24528,
AMZN,5/1/2002,0.6393,0.5886,0.6140,3280,4066,7346,185639,126714,
AN,5/1/2002,0.3061,0.3522,0.3292,300,4116,4416,43623,7903,
ANAD,5/1/2002,0.9834,0.8828,0.9331,30,0,30,5411,1319,
ANDW,5/1/2002,0.4497,0.4580,0.4538,2,30,32,3704,1885,
ANEN,5/1/2002,0.9944,0.8143,0.9044,15,10,25,291,1841,
ANF,5/1/2002,0.4288,0.4121,0.4204,626,298,924,17894,5887,
ANLY,5/1/2002,0.9016,0.9405,0.9210,0,0,0,492,30,
ANN,5/1/2002,0.4009,0.3913,0.3961,438,235,673,3396,3877,
ANSR,5/1/2002,0.8806,0.8341,0.8574,0,0,0,1109,101,
ANSS,5/1/2002,0.4921,0.4399,0.4660,0,0,0,233,186,
AOC,5/1/2002,0.2717,0.2288,0.2502,1760,268,2028,14769,3860,
AOL,5/1/2002,0.6610,0.7630,0.7120,30673,13967,44640,1287735,524178,
AOLA,5/1/2002,0.0000,0.0000,0.0000,0,0,0,436,10,
AOT,5/1/2002,0.3522,0.3912,0.3717,20,40,60,271,413,
APA,5/1/2002,0.3025,0.3028,0.3026,237,107,344,12900,17671,
APB,5/1/2002,0.2621,0.2582,0.2602,0,0,0,1061,142,
APC,5/1/2002,0.3523,0.3366,0.3445,1080,190,1270,33737,26568,
APCC,5/1/2002,0.3888,0.5450,0.4669,66,106,172,6826,3944,
APD,5/1/2002,0.2830,0.2738,0.2784,41,119,160,2618,309,
APH,5/1/2002,0.3825,0.3758,0.3792,343,4,347,2290,1398,
APHT,5/1/2002,1.0389,0.6053,0.8221,10,0,10,593,427,
APN,5/1/2002,0.5870,0.5429,0.5650,8,0,8,984,330,
APOL,5/1/2002,0.5583,0.3761,0.4672,234,25,259,6326,4010,
APPB,5/1/2002,0.3816,0.3081,0.3448,25,0,25,5704,2289,
APWR,5/1/2002,0.5065,0.4526,0.4796,82,230,312,4796,1204,
