symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/25/2002,0.4015,0.4288,0.4152,1080,838,1918,36077,36017,
AA,3/25/2002,0.3357,0.3211,0.3284,804,957,1761,57086,47183,
AAI,3/25/2002,0.6554,0.6554,0.6554,20,0,20,5803,506,
AAPL,3/25/2002,0.5549,0.4236,0.4892,1656,396,2052,138020,86051,
ABC,3/25/2002,0.2968,0.2770,0.2869,33,21,54,8600,4350,
ABF,3/25/2002,0.4849,0.5177,0.5013,365,320,685,5107,11397,
ABGX,3/25/2002,0.7461,0.6846,0.7153,330,134,464,9475,7348,
ABI,3/25/2002,0.5278,0.4947,0.5112,57,199,256,4751,5015,
ABK,3/25/2002,0.3743,0.3377,0.3560,22,25,47,1061,2481,
ABMD,3/25/2002,0.8010,0.7457,0.7734,30,0,30,3676,1002,
ABN,3/25/2002,0.2518,0.2505,0.2512,7,0,7,764,2165,
ABS,3/25/2002,0.2439,0.2431,0.2435,102,18,120,8472,4923,
ABT,3/25/2002,0.3218,0.3063,0.3140,2613,770,3383,96356,54007,
ABX,3/25/2002,0.4390,0.4112,0.4251,8442,1425,9867,64637,32289,
ABY,3/25/2002,0.4084,0.4084,0.4084,20,0,20,550,381,
AC,3/25/2002,0.2862,0.2812,0.2837,14,37,51,6614,4812,
ACAI,3/25/2002,0.6513,0.6149,0.6331,12,10,22,298,297,
ACAM,3/25/2002,0.5558,0.5391,0.5474,0,0,0,155,57,
ACAS,3/25/2002,0.2384,0.2505,0.2444,6,0,6,2071,729,
ACDO,3/25/2002,0.4586,0.4295,0.4440,18,144,162,2350,1649,
ACE,3/25/2002,0.3072,0.3687,0.3379,1126,1037,2163,5455,5714,
ACF,3/25/2002,0.5864,0.5963,0.5914,4662,1918,6580,34998,35158,
ACI,3/25/2002,0.3977,0.3919,0.3948,1,8,9,1529,707,
ACLA,3/25/2002,0.8740,0.6916,0.7828,0,0,0,370,113,
ACLS,3/25/2002,0.6231,0.6068,0.6150,13,0,13,3180,2024,
ACN,3/25/2002,0.4606,0.4685,0.4646,293,484,777,6666,8391,
ACPW,3/25/2002,0.8914,0.8747,0.8830,3,0,3,1933,2243,
ACRI,3/25/2002,0.7152,0.6934,0.7043,100,0,100,1560,499,
ACRT,3/25/2002,0.9147,0.9541,0.9344,99,22,121,3173,1013,
ACS,3/25/2002,0.4379,0.3570,0.3974,478,1271,1749,19806,31005,
ACTL,3/25/2002,0.3787,0.3580,0.3683,0,4,4,413,1182,
ACTR,3/25/2002,0.0000,0.0000,0.0000,0,0,0,1239,225,
ACTU,3/25/2002,0.7039,0.7457,0.7248,0,0,0,712,803,
ACXM,3/25/2002,0.5313,0.4722,0.5018,0,0,0,1411,3328,
ADBE,3/25/2002,0.4305,0.4000,0.4152,478,446,924,44054,25274,
ADCT,3/25/2002,1.0112,0.9975,1.0044,329,38,367,78009,90457,
ADEX,3/25/2002,0.5656,0.5331,0.5494,0,0,0,117,105,
ADI,3/25/2002,0.4697,0.4569,0.4633,2275,1056,3331,40150,21275,
ADIC,3/25/2002,0.5753,0.5602,0.5678,61,51,112,2628,1213,
ADLAC,3/25/2002,0.7021,0.6274,0.6647,27,648,675,22923,26809,
ADLR,3/25/2002,0.9222,0.7534,0.8378,50,150,200,3303,414,
ADM,3/25/2002,0.2831,0.2436,0.2634,153,115,268,4856,1981,
ADP,3/25/2002,0.2647,0.2616,0.2632,161,91,252,20525,10038,
ADPT,3/25/2002,0.7691,0.7816,0.7754,71,103,174,11759,5922,
ADRX,3/25/2002,0.7150,0.7151,0.7150,506,277,783,46704,31932,
ADSK,3/25/2002,0.4155,0.3877,0.4016,151,36,187,4372,1084,
ADTN,3/25/2002,0.4401,0.4064,0.4232,7,5,12,2234,298,
ADVNA,3/25/2002,0.4399,0.3041,0.3720,0,0,0,465,79,
ADVNB,3/25/2002,0.3169,0.3080,0.3124,0,0,0,579,110,
ADVP,3/25/2002,0.4169,0.3812,0.3990,316,20,336,7099,5005,
ADVS,3/25/2002,0.4428,0.4309,0.4368,32,31,63,2852,1178,
AEE,3/25/2002,0.1622,0.1614,0.1618,3,0,3,793,268,
AEG,3/25/2002,0.3591,0.3444,0.3518,228,10,238,2088,781,
AEIS,3/25/2002,0.5755,0.5716,0.5736,53,0,53,2350,2466,
AEM,3/25/2002,0.4885,0.5131,0.5008,687,21,708,12252,4509,
AEOS,3/25/2002,0.4303,0.4518,0.4410,207,31,238,6044,4131,
AEP,3/25/2002,0.1833,0.1877,0.1855,114,7,121,3549,2420,
AES,3/25/2002,0.8604,0.8494,0.8549,1358,1605,2963,121431,67097,
AET,3/25/2002,0.4173,0.3833,0.4003,1534,467,2001,48543,16626,
AETH,3/25/2002,0.8904,0.8966,0.8935,70,20,90,7468,3123,
AFC,3/25/2002,0.2610,0.2739,0.2674,160,1,161,686,402,
