symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,6/12/2002,0.5397,0.5119,0.5258,408,718,1126,32601,37945,
AA,6/12/2002,0.3566,0.3904,0.3735,1012,1050,2062,53085,38049,
AAI,6/12/2002,0.9167,0.9167,0.9167,2000,0,2000,5134,967,
AAPL,6/12/2002,0.6538,0.5979,0.6258,1448,1816,3264,116360,73465,
ABC,6/12/2002,0.3018,0.2733,0.2875,74,395,469,13178,4788,
ABF,6/12/2002,0.4447,0.4403,0.4425,16,2241,2257,6285,8318,
ABGX,6/12/2002,1.2700,1.2655,1.2678,46,69,115,9261,10107,
ABI,6/12/2002,0.6109,0.5155,0.5632,255,102,357,8037,5703,
ABK,6/12/2002,0.2395,0.2435,0.2415,19,71,90,760,2421,
ABMD,6/12/2002,1.0243,0.9455,0.9849,3,15,18,5379,1279,
ABN,6/12/2002,0.2825,0.2561,0.2693,0,0,0,106,83,
ABS,6/12/2002,0.3816,0.3473,0.3644,1617,1928,3545,15248,11124,
ABT,6/12/2002,0.4403,0.4723,0.4563,9398,7408,16806,95074,64040,
ABV,6/12/2002,0.3260,0.3271,0.3266,0,0,0,27,4,
ABX,6/12/2002,0.5185,0.5051,0.5118,2046,947,2993,90149,37755,
ABY,6/12/2002,0.3647,0.3647,0.3647,7,0,7,640,127,
AC,6/12/2002,0.3619,0.3628,0.3624,372,145,517,5244,2421,
ACAI,6/12/2002,0.5529,0.5248,0.5389,0,0,0,250,99,
ACAM,6/12/2002,0.6695,0.7363,0.7029,0,12,12,151,54,
ACAS,6/12/2002,0.3335,0.3354,0.3345,55,153,208,1531,654,
ACDO,6/12/2002,0.5554,0.5258,0.5406,51,187,238,4204,2730,
ACE,6/12/2002,0.4488,0.4594,0.4541,5,672,677,8045,7046,
ACF,6/12/2002,0.9977,1.0020,0.9998,8341,6818,15159,42094,48833,
ACI,6/12/2002,0.4215,0.4374,0.4294,24,10,34,1147,1905,
ACLS,6/12/2002,0.7271,0.6819,0.7045,49,50,99,2229,1401,
ACN,6/12/2002,0.5327,0.5314,0.5320,419,164,583,35694,20610,
ACPW,6/12/2002,1.3957,1.2191,1.3074,0,0,0,1019,1219,
ACRI,6/12/2002,0.8390,0.8390,0.8390,10,0,10,723,360,
