symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,2/28/2002,0.4302,0.3700,0.4001,705,1116,1821,40293,24929,
AA,2/28/2002,0.3649,0.3297,0.3473,10910,338,11248,49688,34882,
AAI,2/28/2002,0.6421,0.6436,0.6428,17,0,17,5815,446,
AAPL,2/28/2002,0.5936,0.4926,0.5431,6799,9849,16648,129667,75810,
ABF,2/28/2002,0.4767,0.4903,0.4835,100,122,222,2265,1287,
ABGX,2/28/2002,0.8989,0.8332,0.8660,2796,1587,4383,5678,6742,
ABI,2/28/2002,0.6805,0.6223,0.6514,134,35,169,20161,5922,
ABK,2/28/2002,0.2642,0.2645,0.2643,0,106,106,757,1716,
ABMD,2/28/2002,0.9295,0.8437,0.8866,54,0,54,4164,1753,
ABN,2/28/2002,0.2518,0.2491,0.2504,0,0,0,714,2195,
ABS,2/28/2002,0.3274,0.3166,0.3220,384,602,986,8314,9933,
ABT,2/28/2002,0.2810,0.2498,0.2654,696,193,889,84484,40532,
ABX,2/28/2002,0.5068,0.4548,0.4808,1534,35,1569,64361,30985,
ABY,2/28/2002,0.5718,0.5718,0.5718,0,0,0,700,341,
AC,2/28/2002,0.2909,0.2747,0.2828,124,72,196,5945,5169,
ACAI,2/28/2002,0.5613,0.5228,0.5420,15,7,22,368,244,
ACAS,2/28/2002,0.3104,0.2908,0.3006,9,3,12,1942,739,
ACDO,2/28/2002,0.4625,0.4662,0.4644,102,35,137,2104,1243,
ACF,2/28/2002,0.8805,0.9076,0.8940,339,333,672,28002,29649,
ACI,2/28/2002,0.4539,0.4510,0.4524,1,0,1,1338,626,
ACLA,2/28/2002,0.8358,0.9681,0.9020,0,0,0,363,83,
ACLS,2/28/2002,0.6486,0.6402,0.6444,31,10,41,2187,1724,
ACPW,2/28/2002,0.0922,0.1384,0.1153,7,0,7,1738,2041,
ACRI,2/28/2002,1.1009,0.8153,0.9581,5,0,5,928,428,
ACS,2/28/2002,0.4261,0.3697,0.3979,557,6395,6952,19174,18038,
ACTL,2/28/2002,0.4729,0.5258,0.4994,15,0,15,603,1468,
ACTR,2/28/2002,0.0000,0.0000,0.0000,0,0,0,1239,328,
ACTU,2/28/2002,0.7366,0.7366,0.7366,0,0,0,474,927,
ACXM,2/28/2002,0.6210,0.6110,0.6160,8,10,18,1363,3186,
ADBE,2/28/2002,0.5913,0.5155,0.5534,457,351,808,40908,24666,
ADCT,2/28/2002,1.1705,1.1705,1.1705,350,29,379,73974,164997,
ADI,2/28/2002,0.7046,0.6704,0.6875,5216,732,5948,57634,31464,
ADIC,2/28/2002,0.7892,0.7954,0.7923,31,52,83,4933,1735,
ADLAC,2/28/2002,0.7468,0.7147,0.7308,323,1150,1473,24005,17343,
ADM,2/28/2002,0.3919,0.4030,0.3975,52,10,62,7120,3690,
ADP,2/28/2002,0.2805,0.3033,0.2919,340,16,356,17098,8052,
ADPT,2/28/2002,0.9026,0.7928,0.8477,2333,1179,3512,12946,3187,
ADRX,2/28/2002,0.7581,0.7697,0.7639,2035,2224,4259,58389,31249,
ADSK,2/28/2002,0.4207,0.4208,0.4208,32,19,51,3986,1216,
ADTK,2/28/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,2/28/2002,0.4847,0.4816,0.4832,532,6,538,1705,293,
ADVNA,2/28/2002,0.4176,0.3265,0.3720,0,0,0,397,63,
