symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/20/2002,0.4192,0.4145,0.4168,348,1306,1654,35498,35383,
AA,3/20/2002,0.3186,0.3070,0.3128,510,1725,2235,55650,37997,
AAI,3/20/2002,0.6584,0.6561,0.6572,6,30,36,5772,466,
AAPL,3/20/2002,0.3849,0.3807,0.3828,928,619,1547,131194,84271,
ABF,3/20/2002,0.4723,0.4684,0.4704,641,5929,6570,3086,4834,
ABGX,3/20/2002,0.7485,0.7229,0.7357,310,141,451,7830,7184,
ABI,3/20/2002,0.5070,0.5049,0.5060,74,128,202,4670,4800,
ABK,3/20/2002,0.3430,0.3247,0.3338,109,12,121,1335,2444,
ABMD,3/20/2002,0.8516,0.8357,0.8436,16,4,20,3577,968,
ABN,3/20/2002,0.2342,0.2729,0.2536,10,0,10,744,2105,
ABS,3/20/2002,0.2337,0.2409,0.2373,244,29,273,7670,4708,
ABT,3/20/2002,0.2461,0.3283,0.2872,5128,3827,8955,91392,51332,
ABX,3/20/2002,0.3738,0.3620,0.3679,671,185,856,61123,33510,
ABY,3/20/2002,0.3842,0.3834,0.3838,13,0,13,537,381,
AC,3/20/2002,0.2653,0.2342,0.2497,23,46,69,6576,4761,
ACAI,3/20/2002,0.6416,0.6343,0.6380,6,20,26,289,292,
ACAS,3/20/2002,0.2538,0.2168,0.2353,0,5,5,2069,724,
ACDO,3/20/2002,0.4538,0.4301,0.4419,129,26,155,2287,1494,
ACF,3/20/2002,0.5767,0.5888,0.5828,3614,4784,8398,32250,33159,
ACI,3/20/2002,0.3838,0.4015,0.3926,30,0,30,1537,697,
ACLA,3/20/2002,0.9243,0.6804,0.8024,0,0,0,370,113,
ACLS,3/20/2002,0.6373,0.5699,0.6036,84,16,100,3139,1928,
ACN,3/20/2002,0.4678,0.4810,0.4744,7255,123,7378,11323,9263,
ACPW,3/20/2002,0.8759,0.8842,0.8800,20,20,40,1948,2183,
ACRI,3/20/2002,0.6725,0.7906,0.7315,531,15,546,1143,449,
ACS,3/20/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ACTL,3/20/2002,0.4159,0.3314,0.3736,0,0,0,407,1172,
ACTR,3/20/2002,0.0000,0.0000,0.0000,0,0,0,1239,225,
ACTU,3/20/2002,0.7260,0.7423,0.7342,0,0,0,702,803,
ACXM,3/20/2002,0.5359,0.4831,0.5095,0,82,82,1450,3246,
ADBE,3/20/2002,0.5090,0.4444,0.4767,544,481,1025,42863,24964,
ADCT,3/20/2002,0.8121,0.9758,0.8940,320,95,415,77130,90199,
ADEX,3/20/2002,0.5975,0.5304,0.5639,0,0,0,117,105,
ADI,3/20/2002,0.5153,0.4746,0.4950,532,652,1184,39584,20751,
ADIC,3/20/2002,0.5973,0.5262,0.5618,94,0,94,2261,1196,
ADLAC,3/20/2002,0.6584,0.6675,0.6629,69,457,526,20008,24466,
ADM,3/20/2002,0.2901,0.2902,0.2902,120,12,132,4629,1971,
ADP,3/20/2002,0.2579,0.2500,0.2540,798,89,887,19949,9895,
ADPT,3/20/2002,0.6568,0.7595,0.7082,55,86,141,11635,5763,
ADRX,3/20/2002,0.7400,0.7381,0.7390,1838,1074,2912,46103,28678,
ADSK,3/20/2002,0.4101,0.4063,0.4082,588,73,661,3973,1108,
ADTN,3/20/2002,0.4355,0.4417,0.4386,42,165,207,2158,177,
ADVNA,3/20/2002,0.4187,0.2865,0.3526,5,0,5,465,79,
ADVNB,3/20/2002,0.3070,0.2470,0.2770,52,2,54,519,110,
ADVP,3/20/2002,0.3928,0.3843,0.3885,1542,480,2022,5672,4752,
ADVS,3/20/2002,0.4237,0.4247,0.4242,36,21,57,2590,1095,
AEE,3/20/2002,0.1226,0.1547,0.1386,0,2,2,787,270,
AEG,3/20/2002,0.2877,0.3395,0.3136,5,0,5,2088,781,
AEIS,3/20/2002,0.6079,0.6077,0.6078,6,1,7,2334,2474,
AEM,3/20/2002,0.5064,0.5058,0.5061,586,175,761,11946,4200,
AEOS,3/20/2002,0.4170,0.4268,0.4219,552,56,608,5891,4086,
AEP,3/20/2002,0.1819,0.1672,0.1745,231,32,263,3275,2239,
AES,3/20/2002,0.9336,0.9476,0.9406,2803,287,3090,117445,57676,
AET,3/20/2002,0.4008,0.3708,0.3858,3499,443,3942,45339,16059,
AETH,3/20/2002,1.0696,1.0777,1.0737,95,30,125,7414,3143,
AFC,3/20/2002,0.2451,0.2503,0.2477,5,10,15,637,351,
AFCI,3/20/2002,0.4713,0.4549,0.4631,227,50,277,12310,6630,
AFFX,3/20/2002,0.6793,0.6295,0.6544,494,263,757,11565,4635,
AFG,3/20/2002,0.3590,0.3104,0.3347,3,0,3,200,230,
AFL,3/20/2002,0.2888,0.2963,0.2925,650,1,651,12579,4527,
AG,3/20/2002,0.3875,0.4076,0.3976,34,0,34,1890,579,
AGE,3/20/2002,0.2773,0.2786,0.2780,63,250,313,12521,5293,
AGIL,3/20/2002,0.8837,1.0268,0.9552,30,4,34,2593,2237,
AGN,3/20/2002,0.3133,0.3243,0.3188,56,61,117,13282,2546,
AGU,3/20/2002,0.3008,0.3150,0.3079,10,0,10,50,6184,
AGY,3/20/2002,0.3702,0.3781,0.3742,117,5,122,2652,664,
AH,3/20/2002,0.4494,0.4070,0.4282,305,0,305,2714,985,
AHAA,3/20/2002,0.6990,0.8334,0.7662,161,42,203,1929,1210,
AHC,3/20/2002,0.2678,0.2646,0.2662,169,46,215,8414,9252,
AHG,3/20/2002,0.3647,0.3601,0.3624,33,0,33,981,525,
AHO,3/20/2002,0.3285,0.2988,0.3136,0,0,0,564,1204,
AHR,3/20/2002,0.3729,0.3762,0.3746,5,0,5,774,173,
AIG,3/20/2002,0.3137,0.3140,0.3138,2326,2137,4463,118389,74004,
