symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,6/3/2002,0.5457,0.5546,0.5501,566,400,966,30917,37076,
AA,6/3/2002,0.3088,0.3223,0.3156,1009,893,1902,50646,34707,
AAI,6/3/2002,0.8694,0.8694,0.8694,20,0,20,5142,767,
AAPL,6/3/2002,0.4567,0.4691,0.4629,1514,494,2008,113466,70528,
ABC,6/3/2002,0.2839,0.2737,0.2788,202,68,270,8601,4630,
ABF,6/3/2002,0.4214,0.4396,0.4305,10,48,58,5142,8290,
ABGX,6/3/2002,1.0075,0.9016,0.9546,308,20,328,9101,10252,
ABI,6/3/2002,0.5719,0.5818,0.5768,130,84,214,7853,5612,
ABK,6/3/2002,0.2378,0.2403,0.2390,41,510,551,740,1891,
ABMD,6/3/2002,0.9906,1.0461,1.0184,0,0,0,5384,1279,
ABN,6/3/2002,0.2419,0.2350,0.2384,0,10,10,106,93,
ABS,6/3/2002,0.3589,0.3669,0.3629,364,512,876,13364,10516,
ABT,6/3/2002,0.3552,0.3589,0.3570,5518,996,6514,87688,60224,
ABV,6/3/2002,0.3400,0.3426,0.3413,0,0,0,27,4,
ABX,6/3/2002,0.4041,0.4126,0.4084,1710,519,2229,86391,36581,
ABY,6/3/2002,0.3855,0.3855,0.3855,0,0,0,640,127,
AC,6/3/2002,0.3634,0.3649,0.3641,237,355,592,4977,2198,
ACAI,6/3/2002,0.5396,0.5350,0.5373,0,0,0,250,99,
ACAM,6/3/2002,0.7873,0.5509,0.6691,0,0,0,151,54,
ACAS,6/3/2002,0.2209,0.3025,0.2617,44,10,54,1343,622,
ACDO,6/3/2002,0.4487,0.4809,0.4648,220,17,237,3718,2109,
ACE,6/3/2002,0.4062,0.4163,0.4112,20,10,30,6959,6783,
ACF,6/3/2002,0.6453,0.6639,0.6546,868,1073,1941,37508,47801,
ACI,6/3/2002,0.3230,0.3726,0.3478,1,5,6,1127,1835,
ACLS,6/3/2002,0.5797,0.5801,0.5799,86,10,96,2120,1425,
