symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/31/2002,0.0000,0.0000,0.0000,0,0,0,388,0,
AA,5/31/2002,0.0000,0.0000,0.0000,0,0,0,52,0,
AAPL,5/31/2002,0.0000,0.0000,0.0000,2859,5778,8637,224985,231046,
ABC,5/31/2002,0.0000,0.0000,0.0000,0,0,0,25,0,
ABF,5/31/2002,0.0000,0.0000,0.0000,0,0,0,16,0,
ABI,5/31/2002,0.0000,0.0000,0.0000,0,0,0,272,0,
ABK,5/31/2002,0.0000,0.0000,0.0000,0,0,0,5,0,
ABMD,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ABS,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ABT,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ABX,5/31/2002,0.0000,0.0000,0.0000,0,0,0,195,0,
AC,5/31/2002,0.0000,0.0000,0.0000,0,0,0,2,0,
ACAS,5/31/2002,0.0000,0.0000,0.0000,0,0,0,7,0,
ACDO,5/31/2002,0.0000,0.0000,0.0000,0,0,0,117,0,
ACE,5/31/2002,0.0000,0.0000,0.0000,0,0,0,45,0,
ACN,5/31/2002,0.0000,0.0000,0.0000,0,0,0,708,0,
ACRT,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ACS,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ACXM,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ADBE,5/31/2002,0.0000,0.0000,0.0000,0,0,0,120,0,
ADCT,5/31/2002,0.0000,0.0000,0.0000,0,0,0,3,0,
ADI,5/31/2002,0.0000,0.0000,0.0000,0,0,0,40,0,
ADLR,5/31/2002,0.0000,0.0000,0.0000,0,0,0,75,0,
ADM,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ADP,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ADPT,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ADRX,5/31/2002,0.0000,0.0000,0.0000,0,0,0,50,0,
ADVP,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
AEM,5/31/2002,0.0000,0.0000,0.0000,0,0,0,143,0,
AEOS,5/31/2002,0.0000,0.0000,0.0000,0,0,0,315,0,
AEP,5/31/2002,0.0000,0.0000,0.0000,0,0,0,3,0,
AET,5/31/2002,0.0000,0.0000,0.0000,0,0,0,363,0,
AETH,5/31/2002,0.0000,0.0000,0.0000,0,0,0,472,0,
AFCI,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
AFFX,5/31/2002,0.0000,0.0000,0.0000,0,0,0,10,0,
AFL,5/31/2002,0.0000,0.0000,0.0000,0,0,0,59,0,
AG,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
AGE,5/31/2002,0.0000,0.0000,0.0000,0,0,0,25,0,
AGN,5/31/2002,0.0000,0.0000,0.0000,0,0,0,35,0,
AGU,5/31/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
AHC,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
AHG,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
AIG,5/31/2002,0.0000,0.0000,0.0000,0,0,0,487,0,
AKS,5/31/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
AL,5/31/2002,0.0000,0.0000,0.0000,0,0,0,15,0,
