symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/16/2002,0.5297,0.5105,0.5201,3312,1839,5151,44725,49326,
AA,5/16/2002,0.2608,0.2300,0.2454,3744,2423,6167,77102,35940,
AAI,5/16/2002,0.4687,0.4797,0.4742,30,20,50,5095,318,
AAPL,5/16/2002,0.3609,0.3497,0.3553,784,1954,2738,118810,72910,
ABC,5/16/2002,0.3146,0.3017,0.3082,435,214,649,12159,6715,
ABF,5/16/2002,0.3857,0.4005,0.3931,111,155,266,7036,11225,
ABGX,5/16/2002,0.9168,0.8806,0.8987,189,255,444,11272,10402,
ABI,5/16/2002,0.5729,0.5053,0.5391,99,520,619,7502,4311,
ABK,5/16/2002,0.2526,0.2549,0.2538,81,52,133,1135,3569,
ABMD,5/16/2002,0.7670,0.9501,0.8586,56,2,58,5251,1253,
ABN,5/16/2002,0.2534,0.2175,0.2354,0,0,0,104,183,
ABS,5/16/2002,0.3356,0.3504,0.3430,434,1434,1868,12098,13629,
ABT,5/16/2002,0.3394,0.3427,0.3410,8883,7741,16624,101659,67744,
ABV,5/16/2002,0.3382,0.3279,0.3330,0,0,0,27,4,
ABX,5/16/2002,0.3708,0.4164,0.3936,960,252,1212,86388,36856,
ABY,5/16/2002,0.3016,0.3035,0.3026,2,0,2,612,128,
AC,5/16/2002,0.2936,0.2884,0.2910,858,644,1502,3257,1711,
ACAI,5/16/2002,0.5296,0.5213,0.5254,0,0,0,497,375,
ACAM,5/16/2002,0.5382,0.7179,0.6280,0,0,0,151,71,
ACAS,5/16/2002,0.2894,0.3011,0.2952,268,77,345,2171,1068,
ACDO,5/16/2002,0.5104,0.5046,0.5075,604,144,748,4684,3626,
ACE,5/16/2002,0.4317,0.4474,0.4396,126,90,216,11565,11001,
ACF,5/16/2002,0.6825,0.6858,0.6842,1313,2540,3853,45568,58532,
ACI,5/16/2002,0.3448,0.3476,0.3462,271,20,291,828,766,
