symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/6/2002,0.4763,0.4444,0.4604,897,444,1341,47806,28361,
AA,3/6/2002,0.3431,0.3377,0.3404,11177,810,11987,60735,36684,
AAI,3/6/2002,0.5698,0.5544,0.5621,80,0,80,5837,456,
AAPL,3/6/2002,0.4981,0.4747,0.4864,1860,977,2837,136956,87262,
ABF,3/6/2002,0.4515,0.4785,0.4650,187,0,187,2584,1633,
ABGX,3/6/2002,0.7836,0.6979,0.7408,594,1464,2058,8193,8594,
ABI,3/6/2002,0.6488,0.6600,0.6544,338,190,528,20545,6067,
ABK,3/6/2002,0.2730,0.2937,0.2834,0,141,141,1060,1808,
ABMD,3/6/2002,0.8922,1.0277,0.9600,12,100,112,5288,1843,
ABN,3/6/2002,0.2477,0.2701,0.2589,10,0,10,724,2195,
ABS,3/6/2002,0.3071,0.3416,0.3244,1064,229,1293,10656,10522,
ABT,3/6/2002,0.2569,0.3019,0.2794,1116,432,1548,84791,41525,
ABX,3/6/2002,0.5439,0.4694,0.5066,1726,2053,3779,67091,32673,
ABY,3/6/2002,0.6901,0.7034,0.6968,0,20,20,744,351,
AC,3/6/2002,0.2170,0.2125,0.2148,274,8,282,6354,5185,
ACAI,3/6/2002,0.5297,0.5272,0.5284,12,15,27,431,249,
ACAS,3/6/2002,0.2450,0.2873,0.2662,84,0,84,2037,742,
ACDO,3/6/2002,0.4432,0.4584,0.4508,284,2,286,2252,1271,
ACF,3/6/2002,0.9470,0.9375,0.9422,1179,1333,2512,35264,32539,
ACI,3/6/2002,0.3706,0.3784,0.3745,21,0,21,1368,651,
ACLA,3/6/2002,0.8978,0.7926,0.8452,0,0,0,413,83,
ACLS,3/6/2002,0.7115,0.5898,0.6506,56,500,556,3393,1754,
ACPW,3/6/2002,0.5700,0.6099,0.5900,0,0,0,1737,2041,
ACRI,3/6/2002,0.9746,0.8259,0.9002,0,0,0,1046,429,
ACS,3/6/2002,0.4650,0.3957,0.4304,348,764,1112,19631,29993,
ACTL,3/6/2002,0.5024,0.4767,0.4896,54,2,56,628,1468,
ACTR,3/6/2002,0.0000,0.0000,0.0000,0,10,10,1239,225,
ACTU,3/6/2002,0.6798,0.6832,0.6815,12,0,12,469,943,
ACXM,3/6/2002,0.4960,0.5701,0.5330,114,0,114,1491,3186,
ADBE,3/6/2002,0.5778,0.5703,0.5740,2597,2392,4989,43305,27834,
ADCT,3/6/2002,1.3703,1.0422,1.2062,1005,12,1017,76069,90057,
ADEX,3/6/2002,0.6752,0.6470,0.6611,0,0,0,100,105,
ADI,3/6/2002,0.5868,0.5345,0.5606,1443,920,2363,64031,32437,
ADIC,3/6/2002,0.6741,0.7197,0.6969,103,29,132,4787,1706,
ADLAC,3/6/2002,0.6502,0.8177,0.7340,153,108,261,23425,19125,
ADM,3/6/2002,0.3583,0.3819,0.3701,355,30,385,7274,3731,
ADP,3/6/2002,0.2866,0.2945,0.2905,270,55,325,18706,8579,
ADPT,3/6/2002,0.7942,0.7513,0.7728,70,13,83,17258,5384,
ADRX,3/6/2002,0.8499,0.8395,0.8447,2941,3745,6686,59798,30168,
ADSK,3/6/2002,0.3750,0.3991,0.3870,268,127,395,4390,1283,
ADTN,3/6/2002,0.4661,0.4554,0.4608,130,2,132,2082,302,
ADVNA,3/6/2002,0.2987,0.2529,0.2758,10,0,10,397,63,
ADVNB,3/6/2002,0.3826,0.3586,0.3706,16,0,16,208,110,
ADVP,3/6/2002,0.4687,0.4845,0.4766,381,367,748,16559,7236,
ADVS,3/6/2002,0.4646,0.4723,0.4684,221,177,398,2451,1464,
AEE,3/6/2002,0.1732,0.1820,0.1776,1970,10,1980,1609,551,
AEG,3/6/2002,0.3391,0.3128,0.3260,7,0,7,1981,820,
AEIS,3/6/2002,0.6540,0.6383,0.6462,237,20,257,1643,2255,
AEM,3/6/2002,0.5379,0.4907,0.5143,675,70,745,13361,4548,
AEOS,3/6/2002,0.5833,0.5564,0.5698,308,103,411,4595,5470,
AEP,3/6/2002,0.1488,0.1839,0.1664,222,67,289,3189,2269,
AES,3/6/2002,1.3450,1.4698,1.4074,5881,1332,7213,54677,41936,
AET,3/6/2002,0.4627,0.4817,0.4722,49,47,96,43587,24624,
AETH,3/6/2002,0.8916,0.8916,0.8916,121,10,131,7229,4234,
AFC,3/6/2002,0.3319,0.3175,0.3247,0,0,0,649,451,
AFCI,3/6/2002,0.6184,0.5831,0.6007,213,111,324,18160,8036,
AFFX,3/6/2002,0.8014,0.8660,0.8337,338,113,451,12635,5039,
AFG,3/6/2002,0.2990,0.2961,0.2976,10,0,10,846,223,
AFL,3/6/2002,0.1851,0.1799,0.1825,300,147,447,9857,5087,
AG,3/6/2002,0.5207,0.4819,0.5013,19,38,57,1856,669,
AGE,3/6/2002,0.3599,0.3360,0.3480,475,145,620,12564,5359,
AGIL,3/6/2002,1.2324,1.1418,1.1871,96,2,98,2839,2152,
AGN,3/6/2002,0.3283,0.3326,0.3304,2731,424,3155,12502,3807,
AGU,3/6/2002,0.2132,0.2299,0.2216,0,550,550,25,3144,
AGY,3/6/2002,0.4023,0.4074,0.4048,7,10,17,3787,2811,
AH,3/6/2002,0.4764,0.4947,0.4856,3,0,3,2844,1122,
AHAA,3/6/2002,0.8599,0.8510,0.8554,230,51,281,2039,2771,
AHC,3/6/2002,0.3572,0.3422,0.3497,785,245,1030,14472,8709,
AHG,3/6/2002,0.4524,0.4458,0.4491,28,0,28,1712,4280,
AHO,3/6/2002,0.3342,0.3446,0.3394,6,0,6,621,2212,
AHP,3/6/2002,0.2673,0.2595,0.2634,951,255,1206,66603,37968,
AHR,3/6/2002,0.4345,0.4345,0.4345,186,0,186,589,200,
AIG,3/6/2002,0.2810,0.2888,0.2849,5995,1451,7446,117408,86102,
AIR,3/6/2002,0.6254,0.6384,0.6319,0,0,0,451,141,
AJG,3/6/2002,0.2879,0.2732,0.2805,8,0,8,1127,844,
AKAM,3/6/2002,0.9640,0.9640,0.9640,483,14,497,21521,2205,
AKS,3/6/2002,0.5897,0.6037,0.5967,45,0,45,3815,4727,
AKSY,3/6/2002,0.7975,0.8783,0.8379,0,0,0,1262,156,
AKZOY,3/6/2002,0.2025,0.2014,0.2020,1,0,1,628,78,
AL,3/6/2002,0.3497,0.3429,0.3463,132,3,135,6187,875,
ALA,3/6/2002,0.6987,0.5772,0.6380,175,37,212,26341,17337,
ALEX,3/6/2002,0.2848,0.3719,0.3284,10,0,10,627,621,
ALGX,3/6/2002,1.3526,1.4599,1.4062,99,25,124,6919,4430,
ALK,3/6/2002,0.3589,0.3445,0.3517,111,7,118,4370,1418,
ALKS,3/6/2002,0.5341,0.5081,0.5211,32,0,32,1938,412,
ALL,3/6/2002,0.2782,0.2259,0.2520,5840,238,6078,76874,18048,
ALN,3/6/2002,1.0881,1.0147,1.0514,0,0,0,152,111,
ALO,3/6/2002,0.8448,0.8353,0.8400,102,70,172,3790,3569,
ALOY,3/6/2002,0.9359,0.8669,0.9014,262,125,387,2404,1236,
ALSC,3/6/2002,0.5912,0.4914,0.5413,31,0,31,575,105,
ALTR,3/6/2002,0.6695,0.7590,0.7143,736,469,1205,42844,40630,
ALXN,3/6/2002,0.7123,0.6664,0.6894,110,85,195,1234,1009,
AM,3/6/2002,0.5392,0.4568,0.4980,0,0,0,2513,2140,
AMAT,3/6/2002,0.6015,0.5713,0.5864,8131,9101,17232,244344,202984,
AMCC,3/6/2002,1.0018,1.0945,1.0482,6865,1978,8843,46158,20916,
AMD,3/6/2002,0.7481,0.6760,0.7121,4460,1783,6243,185613,121574,
AMEV,3/6/2002,0.9270,0.8331,0.8800,0,0,0,917,33,
AMFI,3/6/2002,0.1931,0.1799,0.1865,0,0,0,261,102,
AMG,3/6/2002,0.3206,0.3175,0.3190,0,0,0,1541,838,
AMGN,3/6/2002,0.3102,0.3365,0.3234,8332,2294,10626,229501,129255,
AMKR,3/6/2002,0.6848,0.6175,0.6512,233,68,301,9025,7476,
AMLN,3/6/2002,0.6810,0.6314,0.6562,119,80,199,1642,681,
AMPL,3/6/2002,0.6092,0.6092,0.6092,0,0,0,609,140,
AMR,3/6/2002,0.5320,0.5549,0.5434,95,25,120,14989,18091,
AMRI,3/6/2002,0.5832,0.4708,0.5270,3,23,26,1920,395,
AMSC,3/6/2002,0.5102,0.5018,0.5060,160,0,160,519,1109,
AMSY,3/6/2002,0.3456,0.3449,0.3452,0,0,0,1083,74,
AMT,3/6/2002,1.0969,1.1619,1.1294,4044,207,4251,28661,15467,
AMTD,3/6/2002,0.8257,0.8148,0.8202,236,33,269,10494,3851,
AMX,3/6/2002,0.4455,0.3497,0.3976,4608,0,4608,26346,21760,
AMZN,3/6/2002,0.7293,0.8211,0.7752,6802,4453,11255,176350,165161,
AN,3/6/2002,0.5573,0.5638,0.5606,1099,898,1997,38292,3534,
ANAD,3/6/2002,0.7968,0.7695,0.7832,107,540,647,5548,1858,
ANDW,3/6/2002,0.5627,0.5473,0.5550,105,48,153,5678,2943,
ANEN,3/6/2002,1.0292,0.9090,0.9691,0,230,230,860,749,
ANF,3/6/2002,0.5476,0.5342,0.5409,139,218,357,18424,5040,
ANLY,3/6/2002,0.9881,0.9381,0.9631,0,0,0,546,31,
ANN,3/6/2002,0.3828,0.4536,0.4182,192,492,684,4214,9744,
ANSR,3/6/2002,0.8428,0.8428,0.8428,30,0,30,1710,197,
AOC,3/6/2002,0.2325,0.2104,0.2214,760,0,760,13947,2781,
AOL,3/6/2002,0.6434,0.5402,0.5918,25220,30876,56096,1140244,581281,
AOLA,3/6/2002,0.0000,0.0000,0.0000,0,0,0,491,10,
AOT,3/6/2002,0.3438,0.3517,0.3478,0,0,0,704,720,
APA,3/6/2002,0.3674,0.3725,0.3700,453,143,596,18460,16566,
APB,3/6/2002,0.3207,0.3338,0.3272,10,0,10,949,220,
APC,3/6/2002,0.4497,0.4072,0.4284,5284,1117,6401,31621,24275,
APCC,3/6/2002,0.6719,0.4627,0.5673,257,45,302,10350,4481,
APD,3/6/2002,0.2950,0.2700,0.2825,66,2,68,3460,949,
APH,3/6/2002,0.2959,0.3219,0.3089,31,0,31,3499,388,
APHT,3/6/2002,1.1948,1.1225,1.1587,0,0,0,1153,615,
APN,3/6/2002,0.9664,0.9737,0.9700,28,0,28,1229,90,
APOL,3/6/2002,0.3794,0.3879,0.3837,237,430,667,7274,2034,
APPB,3/6/2002,0.4165,0.4053,0.4109,35,55,90,6467,3187,
APWR,3/6/2002,0.6008,0.5769,0.5888,26,19,45,3373,3331,
ARBA,3/6/2002,0.9024,0.8174,0.8599,1030,339,1369,79368,16163,
ARDM,3/6/2002,0.6250,0.5938,0.6094,0,0,0,2106,647,
ARG,3/6/2002,0.3386,0.3432,0.3409,0,0,0,651,458,
ARIA,3/6/2002,0.9792,0.9792,0.9792,40,0,40,1011,249,
ARM,3/6/2002,0.3558,0.3536,0.3547,91,3,94,1786,295,
ARQL,3/6/2002,0.7341,0.7567,0.7454,269,30,299,4483,1225,
ARRO,3/6/2002,0.3916,0.3797,0.3856,0,0,0,184,36,
ARTC,3/6/2002,0.5490,0.5206,0.5348,0,0,0,725,991,
ARTG,3/6/2002,0.0000,0.0000,0.0000,50,0,50,999,262,
