symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,2/26/2002,0.4000,0.4143,0.4072,1370,73,1443,37977,24638,
AA,2/26/2002,0.2912,0.2829,0.2871,570,488,1058,48794,33643,
AAI,2/26/2002,0.6245,0.6245,0.6245,0,0,0,5802,446,
AAPL,2/26/2002,0.5788,0.5317,0.5552,1304,1160,2464,124561,67165,
ABF,2/26/2002,0.4048,0.4048,0.4048,40,2,42,2180,1265,
ABGX,2/26/2002,0.7785,0.8210,0.7998,158,12,170,5196,5734,
ABI,2/26/2002,0.6187,0.6090,0.6138,57,10,67,19903,5935,
ABK,2/26/2002,0.2846,0.2440,0.2643,10,51,61,650,1511,
ABMD,2/26/2002,0.9421,0.7204,0.8312,125,12,137,4588,1741,
ABN,2/26/2002,0.2690,0.2336,0.2513,0,0,0,714,2185,
ABS,2/26/2002,0.3045,0.3068,0.3056,316,180,496,7804,9689,
ABT,2/26/2002,0.1693,0.2374,0.2034,91,30,121,84470,40566,
ABX,2/26/2002,0.5816,0.3201,0.4508,202,27,229,63126,30912,
ABY,2/26/2002,0.3081,0.3081,0.3081,0,0,0,693,341,
AC,2/26/2002,0.3077,0.2706,0.2892,10,18,28,5883,5142,
ACAI,2/26/2002,0.4931,0.4943,0.4937,4,10,14,357,234,
ACAS,2/26/2002,0.2996,0.2204,0.2600,531,4,535,1411,735,
ACDO,2/26/2002,0.2867,0.1043,0.1955,127,10,137,1907,1229,
ACF,2/26/2002,0.9511,0.9283,0.9397,400,289,689,26986,29413,
ACI,2/26/2002,0.4631,0.4498,0.4564,28,0,28,1309,616,
ACLA,2/26/2002,0.6201,0.7513,0.6857,0,0,0,363,83,
ACLS,2/26/2002,0.6804,0.6831,0.6818,31,4,35,2038,1707,
ACPW,2/26/2002,0.7558,0.6630,0.7094,15,0,15,1699,2041,
ACRI,2/26/2002,0.7608,0.7760,0.7684,40,0,40,654,428,
ACS,2/26/2002,0.3796,0.3731,0.3763,14986,15719,30705,2151,2616,
ACTL,2/26/2002,0.5422,0.4245,0.4834,0,60,60,603,1408,
ACTR,2/26/2002,0.0000,0.0000,0.0000,0,0,0,1239,328,
ACTU,2/26/2002,0.5162,0.5162,0.5162,0,3,3,464,914,
ACXM,2/26/2002,0.6521,0.6002,0.6262,27,10,37,1323,3176,
ADBE,2/26/2002,0.5060,0.4968,0.5014,1278,2149,3427,38083,21222,
ADCT,2/26/2002,0.9983,0.6972,0.8478,871,278249,279120,72875,14467,
ADI,2/26/2002,0.6128,0.5974,0.6051,1187,157,1344,56553,32215,
ADIC,2/26/2002,0.7208,0.5609,0.6408,288,0,288,4642,1715,
ADLAC,2/26/2002,0.7596,0.7249,0.7423,18,3213,3231,22877,16022,
ADM,2/26/2002,0.2007,0.1953,0.1980,7,70,77,7081,3600,
ADP,2/26/2002,0.2684,0.2507,0.2596,65,26,91,17089,7955,
ADPT,2/26/2002,0.7376,0.7389,0.7383,25,10,35,10405,2938,
ADRX,2/26/2002,1.0851,0.9529,1.0190,195,0,195,58083,30693,
ADSK,2/26/2002,0.4572,0.4494,0.4533,580,509,1089,3080,717,
ADTK,2/26/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,2/26/2002,0.5230,0.4869,0.5050,6,0,6,1667,268,
ADVNA,2/26/2002,0.4774,0.5111,0.4942,0,0,0,397,63,
ADVNB,2/26/2002,0.5445,0.4635,0.5040,0,0,0,168,110,
ADVP,2/26/2002,0.4113,0.4113,0.4113,567,41,608,15257,5189,
ADVS,2/26/2002,0.5761,0.5387,0.5574,46,71,117,839,780,
AEE,2/26/2002,0.2569,0.2699,0.2634,126,1,127,1376,546,
AEG,2/26/2002,0.3231,0.3249,0.3240,0,0,0,1956,795,
AEIS,2/26/2002,0.7254,0.6890,0.7072,0,1,1,1275,2054,
AEM,2/26/2002,0.5167,0.4677,0.4922,90,44,134,12700,4399,
AEOS,2/26/2002,0.6033,0.5866,0.5950,247,20,267,3137,4822,
AEP,2/26/2002,0.1732,0.1910,0.1821,215,4,219,2428,2167,
AES,2/26/2002,1.5508,1.3727,1.4617,1592,337,1929,49051,36783,
AET,2/26/2002,0.3735,0.3313,0.3524,597,110,707,56075,32032,
AETH,2/26/2002,1.0541,1.0541,1.0541,171,20,191,6644,4162,
AFC,2/26/2002,0.3285,0.3150,0.3218,0,0,0,645,461,
AFCI,2/26/2002,0.4569,0.3844,0.4206,893,24,917,13042,7668,
AFFX,2/26/2002,0.8748,0.8382,0.8565,32,49,81,12387,4636,
AFG,2/26/2002,0.3053,0.3755,0.3404,0,0,0,826,223,
AFL,2/26/2002,0.3062,0.2860,0.2961,11,0,11,8815,5109,
AG,2/26/2002,0.5340,0.4910,0.5125,41,35,76,1715,597,
AGE,2/26/2002,0.3398,0.3512,0.3455,12,0,12,11554,5323,
AGIL,2/26/2002,0.8694,0.7286,0.7990,16,0,16,2461,2019,
AGN,2/26/2002,0.4166,0.4065,0.4116,647,0,647,10446,4022,
AGU,2/26/2002,0.2895,0.3084,0.2990,0,0,0,25,3154,
AGY,2/26/2002,0.4243,0.4345,0.4294,0,148,148,3742,2785,
AH,2/26/2002,0.5024,0.4807,0.4916,51,0,51,2773,1122,
AHAA,2/26/2002,0.9681,0.9201,0.9441,7,0,7,1549,2558,
AHC,2/26/2002,0.2571,0.2956,0.2764,131,155,286,12361,7538,
AHG,2/26/2002,0.5680,0.4750,0.5215,0,0,0,1777,4282,
AHO,2/26/2002,0.3329,0.3368,0.3348,0,170,170,502,2009,
AHP,2/26/2002,0.2238,0.2133,0.2186,151,49,200,64259,37357,
AHR,2/26/2002,0.4764,0.4764,0.4764,0,0,0,539,180,
AIG,2/26/2002,0.3506,0.3352,0.3429,403,376,779,111813,77989,
AIR,2/26/2002,0.6621,0.6048,0.6335,40,0,40,391,130,
AJG,2/26/2002,0.3502,0.2903,0.3203,22,76,98,1111,793,
AKAM,2/26/2002,0.8944,0.6708,0.7826,156,10,166,21192,2180,
AKS,2/26/2002,0.5930,0.5698,0.5814,65,0,65,3577,4715,
AKSY,2/26/2002,4.8442,4.8442,4.8442,45,0,45,1217,86,
AKZOY,2/26/2002,0.2582,0.2513,0.2548,0,0,0,578,78,
AL,2/26/2002,0.4233,0.3713,0.3973,0,40,40,6083,776,
ALA,2/26/2002,0.6275,0.5777,0.6026,106,4,110,28039,17074,
ALEX,2/26/2002,0.3786,0.3334,0.3560,0,4,4,611,611,
ALGX,2/26/2002,1.5366,1.3524,1.4445,43,16,59,6794,4414,
ALK,2/26/2002,0.3658,0.3739,0.3698,30,2,32,4313,1355,
ALKS,2/26/2002,0.6499,0.6924,0.6712,0,0,0,1886,412,
ALL,2/26/2002,0.2503,0.2580,0.2542,239,84,323,70522,13094,
ALN,2/26/2002,0.8799,0.7625,0.8212,15,0,15,135,61,
ALO,2/26/2002,0.6195,0.5686,0.5940,555,359,914,3079,2728,
ALOY,2/26/2002,0.7931,0.7856,0.7894,18,0,18,2137,935,
ALSC,2/26/2002,0.6413,0.5512,0.5962,8,50,58,525,55,
ALTR,2/26/2002,0.7661,0.7604,0.7632,1134,62,1196,39478,39922,
ALXN,2/26/2002,0.6709,0.6603,0.6656,15,0,15,1046,864,
AM,2/26/2002,0.5371,0.8554,0.6962,4,0,4,2360,2137,
AMAT,2/26/2002,0.6058,0.5860,0.5959,4136,355,4491,221542,166954,
AMCC,2/26/2002,0.8347,0.9263,0.8805,77,110,187,40983,20129,
AMD,2/26/2002,0.7678,0.7442,0.7560,423,1755,2178,173542,116163,
AMEV,2/26/2002,0.7931,0.7606,0.7768,0,0,0,912,30,
AMFI,2/26/2002,0.2739,0.2872,0.2805,0,0,0,261,102,
AMG,2/26/2002,0.3518,0.3430,0.3474,0,0,0,1440,836,
AMGN,2/26/2002,0.3226,0.3236,0.3231,352,118,470,216366,126459,
AMKR,2/26/2002,0.6980,0.6620,0.6800,33,1,34,6840,7400,
AMLN,2/26/2002,0.8079,0.7868,0.7974,1,0,1,1317,554,
AMPL,2/26/2002,0.7639,0.7639,0.7639,0,0,0,609,130,
AMR,2/26/2002,0.4431,0.4874,0.4652,137,1155,1292,13564,15901,
AMRI,2/26/2002,0.5129,0.5896,0.5512,41,3,44,1759,364,
AMSC,2/26/2002,0.7645,0.7425,0.7535,10,0,10,486,1104,
AMSY,2/26/2002,0.4361,0.4320,0.4340,50,0,50,963,64,
AMT,2/26/2002,1.4800,1.3795,1.4297,156,637,793,27162,14491,
AMTD,2/26/2002,0.5314,0.5314,0.5314,5,12,17,9964,3862,
AMX,2/26/2002,0.4053,0.3979,0.4016,6,0,6,21264,21750,
AMZN,2/26/2002,0.7540,0.7389,0.7465,3820,3610,7430,163497,149648,
AN,2/26/2002,0.4202,0.3855,0.4029,381,0,381,34870,3447,
ANAD,2/26/2002,0.7401,0.7505,0.7453,189,0,189,4942,1610,
ANDW,2/26/2002,0.5555,0.6405,0.5980,16,0,16,5258,2867,
ANEN,2/26/2002,0.9178,0.8019,0.8598,3,0,3,852,334,
ANF,2/26/2002,0.4128,0.3924,0.4026,261,86,347,16152,4058,
ANLY,2/26/2002,1.1887,0.8132,1.0010,12,0,12,524,31,
ANN,2/26/2002,0.3805,0.4537,0.4171,112,0,112,4003,9531,
ANSR,2/26/2002,0.7076,0.7076,0.7076,30,0,30,1622,197,
AOC,2/26/2002,0.2166,0.2081,0.2124,2216,0,2216,8056,2800,
AOL,2/26/2002,0.6360,0.6773,0.6566,3465,4799,8264,1073764,548426,
AOT,2/26/2002,0.3223,0.2976,0.3099,0,0,0,654,715,
APA,2/26/2002,0.3494,0.3446,0.3470,149,1235,1384,16737,14674,
APC,2/26/2002,0.3776,0.3634,0.3705,2640,1756,4396,26020,21176,
APCC,2/26/2002,0.4200,0.4200,0.4200,56,0,56,9869,4441,
APD,2/26/2002,0.2675,0.2786,0.2730,1,0,1,3108,883,
APH,2/26/2002,0.3106,0.3261,0.3184,7,0,7,3032,278,
APHT,2/26/2002,1.1667,0.8989,1.0328,0,0,0,1133,680,
APN,2/26/2002,0.3321,0.3321,0.3321,0,0,0,1229,80,
APOL,2/26/2002,0.3325,0.3332,0.3328,13,2,15,6490,1907,
APPB,2/26/2002,0.4272,0.3976,0.4124,420,20,440,6520,3035,
APWR,2/26/2002,0.6178,0.6071,0.6124,95,0,95,3197,3063,
ARBA,2/26/2002,1.2563,1.2563,1.2563,2612,110,2722,74630,15216,
ARDM,2/26/2002,0.9424,0.9330,0.9377,0,0,0,1996,647,
ARG,2/26/2002,0.3590,0.3556,0.3573,0,0,0,623,443,
ARIA,2/26/2002,0.9894,0.9861,0.9877,0,0,0,919,249,
ARM,2/26/2002,0.3953,0.3996,0.3974,31,0,31,1814,266,
ARQL,2/26/2002,0.4381,0.3922,0.4152,0,0,0,4345,1205,
ARRO,2/26/2002,0.3973,0.3902,0.3938,0,0,0,187,36,
ARTC,2/26/2002,0.5610,0.5068,0.5339,0,2,2,725,989,
ARTG,2/26/2002,0.0000,0.0000,0.0000,0,0,0,892,265,
ARW,2/26/2002,0.4526,0.4464,0.4495,0,0,0,3742,2716,
ARXX,2/26/2002,0.9140,0.8391,0.8766,45,0,45,2067,1692,
ASA,2/26/2002,0.4277,0.4093,0.4185,52,52,104,9519,4591,
ASBC,2/26/2002,0.2675,0.2693,0.2684,50,0,50,1389,272,
ASD,2/26/2002,0.3171,0.3200,0.3186,29,40,69,3936,1999,
ASF,2/26/2002,0.5723,0.5622,0.5672,0,0,0,1664,112,
ASFC,2/26/2002,0.2270,0.2089,0.2180,20,0,20,3869,1153,
ASH,2/26/2002,0.1981,0.1693,0.1837,0,0,0,1196,185,
ASIA,2/26/2002,0.7940,0.7509,0.7725,3,0,3,3787,668,
ASMI,2/26/2002,0.6687,0.6687,0.6687,0,0,0,2773,1666,
ASML,2/26/2002,0.5537,0.5840,0.5688,42,673,715,8184,4402,
ASO,2/26/2002,0.1839,0.2671,0.2255,16,0,16,3479,2012,
ASPT,2/26/2002,0.0000,0.0000,0.0000,0,0,0,2239,257,
ASTE,2/26/2002,0.5599,0.5322,0.5460,0,0,0,283,105,
ASTSF,2/26/2002,0.6167,0.5958,0.6062,0,0,0,205,707,
ASYT,2/26/2002,0.5843,0.4865,0.5354,10,0,10,2958,3848,
AT,2/26/2002,0.2298,0.2524,0.2411,91,4,95,6779,3840,
ATG,2/26/2002,0.2652,0.2414,0.2533,0,0,0,743,152,
