symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/17/2002,0.4507,0.4013,0.4260,701,906,1607,45361,52303,
AA,4/17/2002,0.3507,0.3457,0.3482,1187,983,2170,92258,52406,
AAI,4/17/2002,0.6882,0.5929,0.6405,53,10,63,5745,536,
AAPL,4/17/2002,0.3978,0.3866,0.3922,3955,5507,9462,141013,93176,
ABC,4/17/2002,0.3054,0.2992,0.3023,29,13,42,9379,5452,
ABF,4/17/2002,0.6754,0.5773,0.6264,9,290,299,7131,11708,
ABGX,4/17/2002,0.8221,0.8010,0.8116,113,324,437,11733,10937,
ABI,4/17/2002,0.5074,0.4917,0.4996,891,56,947,8842,5664,
ABK,4/17/2002,0.2838,0.2747,0.2792,12,431,443,1369,3120,
ABMD,4/17/2002,0.8423,0.7733,0.8078,115,6,121,4284,907,
ABN,4/17/2002,0.2687,0.2979,0.2833,0,0,0,736,2185,
ABS,4/17/2002,0.2320,0.2030,0.2175,47,37,84,9273,6136,
ABT,4/17/2002,0.2486,0.2457,0.2472,2551,596,3147,104295,65365,
ABV,4/17/2002,0.3205,0.3377,0.3291,0,0,0,2,4,
ABX,4/17/2002,0.3386,0.3437,0.3412,6315,674,6989,84101,35636,
ABY,4/17/2002,0.3359,0.3359,0.3359,6,0,6,641,409,
AC,4/17/2002,0.2506,0.2617,0.2562,114,17,131,6858,4872,
ACAI,4/17/2002,0.5579,0.5309,0.5444,19,0,19,305,353,
ACAM,4/17/2002,0.5615,0.5239,0.5427,0,12,12,160,109,
ACAS,4/17/2002,0.2789,0.2475,0.2632,5,5,10,2249,846,
ACDO,4/17/2002,0.4285,0.4312,0.4298,35,26,61,3512,2848,
ACE,4/17/2002,0.3588,0.3183,0.3386,4,0,4,8169,7742,
ACF,4/17/2002,0.5759,0.5803,0.5781,857,2404,3261,44899,51077,
ACI,4/17/2002,0.4086,0.3741,0.3913,7,0,7,1467,805,
ACLA,4/17/2002,0.7097,0.7097,0.7097,0,0,0,370,113,
ACLS,4/17/2002,0.5699,0.5720,0.5710,203,24,227,3391,3018,
ACN,4/17/2002,0.5428,0.4511,0.4970,122,22,144,8409,11824,
ACPW,4/17/2002,0.7652,0.7645,0.7648,10,50,60,2033,2450,
ACRI,4/17/2002,0.6913,0.6844,0.6879,0,0,0,1662,549,
ACRT,4/17/2002,0.9542,0.9042,0.9292,154,159,313,3716,1244,
ACS,4/17/2002,0.4096,0.3888,0.3992,367,1465,1832,23895,37297,
ACTL,4/17/2002,0.4291,0.3671,0.3981,0,0,0,454,1236,
ACTR,4/17/2002,0.0000,0.0000,0.0000,0,5,5,1239,71,
ACTU,4/17/2002,0.8198,0.6670,0.7434,3,0,3,719,777,
ACXM,4/17/2002,0.5194,0.4950,0.5072,6,0,6,1759,3374,
ADBE,4/17/2002,0.4990,0.5017,0.5004,1744,432,2176,47773,28479,
ADCT,4/17/2002,1.0234,0.7554,0.8894,1534,42,1576,68934,90411,
ADEX,4/17/2002,0.6543,0.5631,0.6087,0,0,0,127,105,
ADI,4/17/2002,0.4813,0.4547,0.4680,2621,446,3067,41373,23433,
ADIC,4/17/2002,0.6620,0.5666,0.6143,11,60,71,3447,1376,
ADLR,4/17/2002,0.7806,0.7135,0.7470,100,0,100,4181,650,
ADM,4/17/2002,0.3287,0.2998,0.3143,58,0,58,6681,2029,
ADP,4/17/2002,0.2991,0.2741,0.2866,831,1022,1853,20804,14280,
ADPT,4/17/2002,0.6016,0.6221,0.6118,1897,1408,3305,10329,5028,
ADRX,4/17/2002,0.7879,0.8015,0.7947,1039,180,1219,73797,36638,
