symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/22/2002,0.5177,0.5025,0.5101,722,940,1662,27617,32567,
AA,5/22/2002,0.2569,0.2631,0.2600,940,1203,2143,50429,32669,
AAI,5/22/2002,0.8076,0.7786,0.7931,12,0,12,5056,272,
AAPL,5/22/2002,0.4532,0.3480,0.4006,834,418,1252,111191,68591,
ABC,5/22/2002,0.2971,0.2791,0.2881,230,1,231,7802,4238,
ABF,5/22/2002,0.4149,0.3917,0.4033,45,22,67,4316,8242,
ABGX,5/22/2002,0.9537,0.9622,0.9580,212,290,502,9324,9967,
ABI,5/22/2002,0.5384,0.5611,0.5498,50,3,53,7133,4570,
ABK,5/22/2002,0.2456,0.2588,0.2522,6,4,10,709,1837,
ABMD,5/22/2002,0.8764,0.9950,0.9357,15,12,27,5062,1261,
ABN,5/22/2002,0.2578,0.2143,0.2360,2,10,12,94,83,
ABS,5/22/2002,0.3338,0.3449,0.3394,940,1604,2544,12287,9009,
ABT,5/22/2002,0.2898,0.3181,0.3040,2096,629,2725,79321,56477,
ABV,5/22/2002,0.3016,0.3057,0.3036,0,0,0,27,4,
ABX,5/22/2002,0.3737,0.4058,0.3898,5523,2443,7966,82117,30946,
ABY,5/22/2002,0.3116,0.3118,0.3117,0,0,0,620,125,
AC,5/22/2002,0.3261,0.3093,0.3177,267,150,417,3988,1344,
ACAI,5/22/2002,0.5171,0.5519,0.5345,10,10,20,220,109,
ACAM,5/22/2002,0.7475,0.5732,0.6604,0,0,0,151,51,
ACAS,5/22/2002,0.2429,0.2834,0.2632,45,81,126,1256,528,
ACDO,5/22/2002,0.5251,0.4587,0.4919,168,14,182,3650,2062,
ACE,5/22/2002,0.4594,0.4476,0.4535,62,20,82,5990,6148,
ACF,5/22/2002,0.6540,0.6613,0.6577,3377,4104,7481,29668,40236,
ACI,5/22/2002,0.3605,0.3623,0.3614,2,0,2,1014,1545,
ACLA,5/22/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/22/2002,0.5646,0.5194,0.5420,4,0,4,2200,1367,
ACN,5/22/2002,0.4595,0.4224,0.4410,4187,3680,7867,15317,16021,
ACPW,5/22/2002,0.7003,0.5969,0.6486,10,10,20,931,1211,
ACRI,5/22/2002,0.7844,0.7942,0.7893,10,0,10,574,360,
ACRT,5/22/2002,0.8841,0.6757,0.7799,80,45,125,3952,2424,
ACS,5/22/2002,0.3739,0.3587,0.3663,493,7591,8084,12794,25855,
ACTL,5/22/2002,0.4048,0.3879,0.3964,32,240,272,1439,1772,
ACTU,5/22/2002,0.6245,0.6433,0.6339,2,0,2,188,58,
ACXM,5/22/2002,0.5274,0.4979,0.5127,4,5,9,1032,2306,
ADBE,5/22/2002,0.5590,0.5560,0.5575,1542,1456,2998,44911,27514,
ADCT,5/22/2002,0.9261,0.7890,0.8576,452,4,456,52622,12960,
ADEX,5/22/2002,0.6002,0.6398,0.6200,0,0,0,140,105,
ADI,5/22/2002,0.5330,0.5265,0.5297,2419,1692,4111,41252,28031,
ADIC,5/22/2002,0.8186,0.9068,0.8627,50,42,92,2902,1611,
ADLR,5/22/2002,0.7562,0.7177,0.7370,20,0,20,2720,588,
ADM,5/22/2002,0.3433,0.3900,0.3667,56,0,56,5723,2423,
ADP,5/22/2002,0.2513,0.2543,0.2528,241,107,348,15433,7043,
ADPT,5/22/2002,0.6609,0.6732,0.6670,536,70,606,11144,8535,
ADRX,5/22/2002,0.7835,0.7888,0.7861,2007,738,2745,91763,21580,
ADSK,5/22/2002,0.5947,0.5959,0.5953,56,517,573,4656,1089,
ADTN,5/22/2002,0.4288,0.4319,0.4304,5,59,64,2320,171,
ADVNA,5/22/2002,0.3894,0.3825,0.3860,30,0,30,335,100,
ADVNB,5/22/2002,0.3333,0.3308,0.3320,20,0,20,964,319,
ADVP,5/22/2002,0.5769,0.5799,0.5784,617,122,739,10443,4270,
ADVS,5/22/2002,0.5195,0.5223,0.5209,69,115,184,2442,1047,
AEE,5/22/2002,0.1575,0.2409,0.1992,0,0,0,1540,697,
AEG,5/22/2002,0.2442,0.2808,0.2625,0,120,120,724,696,
AEIS,5/22/2002,0.5736,0.5461,0.5598,10,221,231,3780,2439,
AEM,5/22/2002,0.4373,0.4922,0.4648,1119,276,1395,12212,2961,
AEOS,5/22/2002,0.5126,0.4673,0.4900,72,101,173,2321,2247,
AEP,5/22/2002,0.2193,0.2549,0.2371,218,75,293,2851,4648,
AES,5/22/2002,0.8786,0.9395,0.9090,634,293,927,113926,71438,
AET,5/22/2002,0.3893,0.3821,0.3857,1248,519,1767,47321,16464,
AETH,5/22/2002,1.0882,1.2813,1.1848,43,0,43,5572,1375,
AFC,5/22/2002,0.2487,0.2518,0.2503,0,0,0,761,583,
AFCI,5/22/2002,0.5391,0.5355,0.5373,63,26,89,11024,8078,
AFFX,5/22/2002,0.7830,0.7180,0.7505,127,37,164,7781,6263,
AFG,5/22/2002,0.2713,0.3049,0.2881,0,0,0,288,220,
AFL,5/22/2002,0.2763,0.2620,0.2692,114,2,116,6583,3266,
AG,5/22/2002,0.4423,0.4396,0.4410,69,35,104,1744,394,
AGE,5/22/2002,0.2688,0.2765,0.2726,232,17,249,8686,4723,
AGEN,5/22/2002,0.6270,0.6197,0.6234,40,0,40,1375,531,
AGIL,5/22/2002,0.9397,0.6392,0.7894,0,14,14,1680,2460,
AGN,5/22/2002,0.4013,0.4001,0.4007,1416,100,1516,8143,6079,
AGU,5/22/2002,0.2653,0.2985,0.2819,1,0,1,1000,5721,
AGY,5/22/2002,0.3965,0.3875,0.3920,92,5,97,950,2551,
AH,5/22/2002,0.4376,0.4500,0.4438,5,35,40,2037,762,
AHAA,5/22/2002,0.7914,0.8461,0.8188,48,0,48,2188,1076,
AHC,5/22/2002,0.2386,0.2443,0.2414,136,165,301,10302,10272,
AHG,5/22/2002,0.3628,0.3482,0.3555,0,25,25,1005,834,
AHO,5/22/2002,0.2617,0.2766,0.2692,5,1,6,726,1137,
AHR,5/22/2002,0.2024,0.2119,0.2072,55,2,57,861,168,
AIB,5/22/2002,0.2421,0.3160,0.2790,0,0,0,328,173,
AIG,5/22/2002,0.2738,0.2740,0.2739,2021,5566,7587,133586,80249,
AIR,5/22/2002,0.4640,0.4459,0.4550,0,0,0,291,177,
AJG,5/22/2002,0.2271,0.2157,0.2214,32,0,32,692,317,
AKAM,5/22/2002,1.2670,1.3651,1.3160,20,5,25,23407,2101,
AKS,5/22/2002,0.3673,0.3759,0.3716,0,0,0,2318,450,
AKSY,5/22/2002,0.8774,0.9837,0.9306,98,5,103,1835,786,
AKZOY,5/22/2002,0.2214,0.2425,0.2320,21,0,21,115,135,
AL,5/22/2002,0.2854,0.2526,0.2690,0,40,40,4332,765,
ALA,5/22/2002,0.6321,0.5934,0.6128,14,166,180,16217,23824,
ALAO,5/22/2002,0.6130,0.6093,0.6112,0,0,0,17,1,
ALD,5/22/2002,0.4141,0.5428,0.4784,593,1622,2215,6971,14814,
ALE,5/22/2002,0.2001,0.1879,0.1940,0,0,0,419,30,
ALEX,5/22/2002,0.2925,0.2834,0.2880,0,0,0,2106,541,
ALGX,5/22/2002,0.0000,0.0000,0.0000,0,0,0,6113,3553,
ALK,5/22/2002,0.3939,0.3703,0.3821,10,0,10,2215,1746,
ALKS,5/22/2002,0.6175,0.6424,0.6300,405,4,409,2348,1193,
ALL,5/22/2002,0.2142,0.2641,0.2392,144,360,504,101353,29807,
ALN,5/22/2002,0.7277,0.7412,0.7345,200,10,210,238,35,
ALO,5/22/2002,0.5011,0.4967,0.4989,87,50,137,3951,2683,
ALOY,5/22/2002,0.6330,0.6428,0.6379,131,0,131,2709,352,
ALSC,5/22/2002,0.4963,0.5391,0.5177,0,60,60,448,129,
ALTR,5/22/2002,0.5685,0.6090,0.5888,1935,1456,3391,43782,47761,
ALXN,5/22/2002,0.6733,0.7504,0.7118,32,0,32,1556,1003,
AM,5/22/2002,0.4462,0.4202,0.4332,10,0,10,2264,2539,
AMAT,5/22/2002,0.5304,0.4983,0.5144,11763,11722,23485,269392,147194,
AMCC,5/22/2002,0.7796,0.7369,0.7582,246,388,634,23932,15107,
AMD,5/22/2002,0.7158,0.6726,0.6942,1042,1614,2656,172652,120115,
AMFI,5/22/2002,0.1888,0.1934,0.1911,0,0,0,173,95,
AMG,5/22/2002,0.2928,0.2824,0.2876,1,50,51,567,711,
AMGN,5/22/2002,0.3965,0.4133,0.4049,5446,3645,9091,151266,115405,
AMKR,5/22/2002,0.6474,0.6043,0.6258,349,98,447,8539,9210,
AMLN,5/22/2002,0.6436,0.6116,0.6276,12,10,22,1784,565,
AMR,5/22/2002,0.5163,0.5095,0.5129,123,63,186,13703,12786,
AMRI,5/22/2002,0.5695,0.5462,0.5578,83,21,104,1580,565,
AMSC,5/22/2002,0.6669,0.7114,0.6892,20,40,60,596,927,
AMSG,5/22/2002,0.3431,0.3367,0.3399,20,0,20,1488,571,
AMSY,5/22/2002,0.4242,0.3869,0.4056,21,0,21,1075,80,
AMT,5/22/2002,0.8578,1.0654,0.9616,260,2890,3150,27231,13527,
AMTD,5/22/2002,0.5964,0.5982,0.5973,354,15,369,9176,3362,
AMX,5/22/2002,0.3426,0.3392,0.3409,6,0,6,13796,10710,
AMZN,5/22/2002,0.6931,0.6619,0.6775,3592,1317,4909,207087,154414,
AN,5/22/2002,0.3571,0.3862,0.3716,241,392,633,67830,39127,
