symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/20/2002,0.4958,0.4712,0.4835,1234,890,2124,26084,30942,
AA,5/20/2002,0.2672,0.2635,0.2653,935,825,1760,46924,31561,
AAI,5/20/2002,0.6018,0.6146,0.6082,0,0,0,5056,278,
AAPL,5/20/2002,0.3650,0.3607,0.3628,1263,616,1879,110588,68227,
ABC,5/20/2002,0.3171,0.2961,0.3066,47,506,553,7518,3769,
ABF,5/20/2002,0.4173,0.4080,0.4126,159,66,225,4251,8130,
ABGX,5/20/2002,0.8437,0.8923,0.8680,478,684,1162,8675,9255,
ABI,5/20/2002,0.5570,0.5108,0.5339,59,24,83,6906,4500,
ABK,5/20/2002,0.2575,0.2645,0.2610,33,105,138,679,1718,
ABMD,5/20/2002,0.8577,0.9475,0.9026,2,0,2,5034,1253,
ABN,5/20/2002,0.2319,0.2397,0.2358,0,0,0,94,83,
ABS,5/20/2002,0.3577,0.3562,0.3570,89,1484,1573,12012,6699,
ABT,5/20/2002,0.3006,0.3223,0.3114,4931,1699,6630,75456,56121,
ABV,5/20/2002,0.3016,0.2981,0.2998,0,0,0,27,4,
ABX,5/20/2002,0.3735,0.4084,0.3910,7230,1782,9012,74506,29433,
ABY,5/20/2002,0.3355,0.3365,0.3360,0,0,0,600,125,
AC,5/20/2002,0.3306,0.3007,0.3156,206,165,371,3510,1226,
ACAI,5/20/2002,0.5114,0.5220,0.5167,8,20,28,207,89,
ACAM,5/20/2002,0.7094,0.5887,0.6490,0,0,0,151,51,
ACAS,5/20/2002,0.2139,0.3230,0.2684,90,34,124,1216,502,
ACDO,5/20/2002,0.5213,0.5107,0.5160,111,132,243,3577,1962,
ACE,5/20/2002,0.4572,0.4521,0.4546,46,159,205,5873,6078,
ACF,5/20/2002,0.6985,0.6832,0.6908,2696,1033,3729,27123,36877,
ACI,5/20/2002,0.3749,0.3673,0.3711,3,0,3,906,745,
ACLA,5/20/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/20/2002,0.5179,0.5834,0.5507,111,70,181,2125,1296,
ACN,5/20/2002,0.4623,0.4674,0.4648,6784,9065,15849,8183,10543,
ACPW,5/20/2002,0.5918,0.5529,0.5723,30,130,160,831,1263,
ACRI,5/20/2002,0.5650,0.6155,0.5902,35,0,35,542,360,
ACRT,5/20/2002,0.8051,0.7068,0.7560,189,156,345,3719,2246,
ACS,5/20/2002,0.3749,0.3610,0.3680,426,631,1057,12716,22312,
ACTL,5/20/2002,0.3910,0.4051,0.3980,18,5,23,1329,1579,
ACTU,5/20/2002,0.6305,0.6623,0.6464,0,0,0,188,58,
ACXM,5/20/2002,0.5620,0.5068,0.5344,54,30,84,964,2276,
ADBE,5/20/2002,0.5203,0.5116,0.5160,1465,1118,2583,44188,22564,
ADCT,5/20/2002,0.9200,0.9010,0.9105,1322,12,1334,52026,12930,
ADEX,5/20/2002,0.6234,0.6377,0.6305,0,10,10,140,105,
ADI,5/20/2002,0.4825,0.4664,0.4744,2926,1542,4468,36655,25992,
ADIC,5/20/2002,0.8396,0.7186,0.7791,85,123,208,2853,1629,
ADLR,5/20/2002,0.6744,0.7208,0.6976,20,0,20,2700,587,
ADM,5/20/2002,0.3570,0.3879,0.3724,100,51,151,5633,2372,
ADP,5/20/2002,0.2555,0.2442,0.2498,492,111,603,15006,6835,
ADPT,5/20/2002,0.6137,0.6410,0.6274,95,0,95,11432,8534,
ADRX,5/20/2002,0.8014,0.8155,0.8084,39431,742,40173,70539,21138,
ADSK,5/20/2002,0.5508,0.5667,0.5588,180,129,309,4643,827,
ADTN,5/20/2002,0.4553,0.4192,0.4372,179,3,182,2202,128,
ADVNA,5/20/2002,0.3918,0.4155,0.4036,85,0,85,370,100,
ADVNB,5/20/2002,0.3329,0.3302,0.3316,10,0,10,994,319,
ADVP,5/20/2002,0.5883,0.5770,0.5826,672,439,1111,9682,3891,
ADVS,5/20/2002,0.4895,0.5343,0.5119,114,185,299,2282,991,
AEE,5/20/2002,0.1935,0.2396,0.2166,17,0,17,1496,697,
AEG,5/20/2002,0.2640,0.2526,0.2583,0,0,0,724,676,
AEIS,5/20/2002,0.5618,0.5676,0.5647,48,11,59,3642,2418,
AEM,5/20/2002,0.5164,0.5166,0.5165,1456,281,1737,11579,2946,
AEOS,5/20/2002,0.4900,0.4672,0.4786,137,69,206,2179,2017,
AEP,5/20/2002,0.2457,0.2533,0.2495,368,1284,1652,2483,3472,
AES,5/20/2002,0.9707,0.8955,0.9331,2151,527,2678,112257,70875,
AET,5/20/2002,0.3976,0.3947,0.3962,374,311,685,46326,15665,
AETH,5/20/2002,1.1363,1.1486,1.1425,106,105,211,5450,1270,
AFC,5/20/2002,0.2617,0.2631,0.2624,14,0,14,744,393,
AFCI,5/20/2002,0.5612,0.5326,0.5469,2228,47,2275,8881,7958,
AFFX,5/20/2002,0.7211,0.7961,0.7586,536,172,708,6662,5488,
AFG,5/20/2002,0.2029,0.3068,0.2548,0,0,0,288,220,
AFL,5/20/2002,0.2796,0.2674,0.2735,179,23,202,6176,3261,
AG,5/20/2002,0.4558,0.4548,0.4553,275,20,295,1470,394,
AGE,5/20/2002,0.2822,0.2780,0.2801,162,30,192,8481,4634,
AGEN,5/20/2002,0.6844,0.5641,0.6242,6,0,6,1381,531,
AGIL,5/20/2002,0.9887,1.1093,1.0490,5,19,24,1675,2459,
AGN,5/20/2002,0.3742,0.3551,0.3647,273,221,494,7903,5119,
AGU,5/20/2002,0.2874,0.3138,0.3006,10,200,210,987,5521,
AGY,5/20/2002,0.4079,0.3894,0.3986,44,0,44,919,2556,
AH,5/20/2002,0.4710,0.4355,0.4532,48,12,60,2019,742,
AHAA,5/20/2002,0.8292,0.8913,0.8602,53,15,68,2056,1067,
AHC,5/20/2002,0.2506,0.2511,0.2508,283,59,342,10095,10230,
AHG,5/20/2002,0.3751,0.3450,0.3600,10,25,35,995,839,
AHO,5/20/2002,0.2687,0.2655,0.2671,11,10,21,710,1127,
AHR,5/20/2002,0.2661,0.2123,0.2392,4,24,28,814,144,
AIB,5/20/2002,0.2979,0.2942,0.2961,6,0,6,325,173,
AIG,5/20/2002,0.2688,0.2714,0.2701,4780,3445,8225,129255,74347,
AIR,5/20/2002,0.4555,0.4296,0.4426,0,0,0,291,177,
AJG,5/20/2002,0.2461,0.2354,0.2408,17,6,23,677,311,
AKAM,5/20/2002,1.8302,1.7592,1.7947,109,0,109,23279,2101,
AKS,5/20/2002,0.1868,0.1914,0.1891,0,20,20,2293,420,
AKSY,5/20/2002,0.9177,0.9462,0.9320,66,0,66,1835,786,
AKZOY,5/20/2002,0.2342,0.2431,0.2386,30,20,50,85,75,
AL,5/20/2002,0.2577,0.2665,0.2621,9,8,17,4318,762,
ALA,5/20/2002,0.6023,0.6516,0.6269,15,247,262,16206,23603,
ALAO,5/20/2002,0.7572,0.7369,0.7470,0,0,0,12,1,
ALD,5/20/2002,0.4378,0.6204,0.5291,2008,2977,4985,4781,12412,
ALE,5/20/2002,0.2153,0.1912,0.2032,0,0,0,419,30,
ALEX,5/20/2002,0.2929,0.2849,0.2889,3,0,3,2106,531,
ALGX,5/20/2002,0.0000,0.0000,0.0000,0,0,0,6113,3528,
ALK,5/20/2002,0.3554,0.3493,0.3524,8,30,38,2205,1171,
ALKS,5/20/2002,0.6666,0.5769,0.6218,24,19,43,2282,1193,
ALL,5/20/2002,0.2155,0.2558,0.2357,530,80,610,100788,29700,
ALN,5/20/2002,0.7379,0.7549,0.7464,0,0,0,238,35,
ALO,5/20/2002,0.5017,0.4990,0.5004,579,76,655,3609,2604,
ALOY,5/20/2002,0.6957,0.7115,0.7036,90,0,90,2690,352,
ALSC,5/20/2002,0.6133,0.6387,0.6260,7,7,14,441,125,
ALTR,5/20/2002,0.6164,0.5756,0.5960,735,807,1542,42548,47397,
ALXN,5/20/2002,0.7186,0.6846,0.7016,68,80,148,1472,1073,
AM,5/20/2002,0.4544,0.4392,0.4468,36,85,121,2182,2547,
AMAT,5/20/2002,0.4820,0.4609,0.4714,8655,5624,14279,262755,143117,
AMCC,5/20/2002,0.8104,0.7557,0.7830,837,119,956,23070,14761,
AMD,5/20/2002,0.6735,0.6699,0.6717,3787,433,4220,168592,119606,
AMFI,5/20/2002,0.1891,0.2034,0.1962,0,0,0,173,95,
AMG,5/20/2002,0.2903,0.2805,0.2854,0,0,0,567,711,
AMGN,5/20/2002,0.4027,0.3951,0.3989,8750,3729,12479,146270,110855,
AMKR,5/20/2002,0.6414,0.6002,0.6208,143,144,287,8482,8955,
AMLN,5/20/2002,0.5604,0.5787,0.5696,20,0,20,1730,565,
AMR,5/20/2002,0.5031,0.5110,0.5070,385,232,617,13505,12548,
AMRI,5/20/2002,0.5225,0.5634,0.5430,217,35,252,1329,477,
AMSC,5/20/2002,0.7395,0.6858,0.7126,0,0,0,596,867,
AMSG,5/20/2002,0.3558,0.3401,0.3480,10,0,10,1496,546,
AMSY,5/20/2002,0.4384,0.3909,0.4146,15,30,45,1060,20,
AMT,5/20/2002,0.9037,0.8806,0.8922,48,270,318,26898,13386,
AMTD,5/20/2002,0.5827,0.5997,0.5912,59,0,59,9115,3362,
AMX,5/20/2002,0.3330,0.3360,0.3345,0,0,0,13654,10710,
AMZN,5/20/2002,0.6648,0.6712,0.6680,11634,8342,19976,196669,150266,
AN,5/20/2002,0.3638,0.3780,0.3709,12077,16566,28643,53438,20365,
ANAD,5/20/2002,0.8280,0.8552,0.8416,88,41,129,4387,1438,
ANDW,5/20/2002,0.4929,0.4776,0.4852,230,0,230,3952,1741,
ANEN,5/20/2002,0.7292,0.7612,0.7452,24,15,39,529,2026,
ANF,5/20/2002,0.4335,0.4345,0.4340,292,296,588,16644,5055,
ANLY,5/20/2002,0.8548,0.8398,0.8473,20,0,20,522,30,
ANN,5/20/2002,0.4110,0.4200,0.4155,163,274,437,3197,4660,
ANSR,5/20/2002,0.6422,0.6356,0.6389,0,10,10,1142,101,
ANSS,5/20/2002,0.5154,0.5049,0.5102,44,84,128,207,201,
AOC,5/20/2002,0.2499,0.2770,0.2634,0,10,10,17288,3962,
