symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/6/2002,0.6066,0.5851,0.5958,601,356,957,41304,45625,
AA,5/6/2002,0.3610,0.3561,0.3586,579,1986,2565,70746,32483,
AAI,5/6/2002,0.8550,0.8550,0.8550,0,0,0,4973,318,
AAPL,5/6/2002,0.4914,0.4413,0.4664,2780,688,3468,111466,64744,
ABC,5/6/2002,0.2861,0.2771,0.2816,287,153,440,11514,5407,
ABF,5/6/2002,0.4764,0.6211,0.5488,16,20,36,7982,10583,
ABGX,5/6/2002,0.9700,0.8922,0.9311,75,159,234,10458,9581,
ABI,5/6/2002,0.6213,0.6024,0.6118,142,81,223,6895,4249,
ABK,5/6/2002,0.2559,0.2427,0.2493,73,105,178,1158,3144,
ABMD,5/6/2002,0.7665,0.6803,0.7234,1,0,1,5048,1523,
ABN,5/6/2002,0.2449,0.2048,0.2248,0,9,9,104,134,
ABS,5/6/2002,0.3016,0.2716,0.2866,309,355,664,10401,6400,
ABT,5/6/2002,0.3129,0.3158,0.3144,1667,1283,2950,103885,60668,
ABV,5/6/2002,0.3207,0.3251,0.3229,0,0,0,27,4,
ABX,5/6/2002,0.3558,0.4002,0.3780,4407,848,5255,74367,29929,
ABY,5/6/2002,0.6888,0.6947,0.6918,2,0,2,632,155,
AC,5/6/2002,0.3430,0.3973,0.3702,64,48,112,3086,1857,
ACAI,5/6/2002,0.5374,0.5181,0.5277,4,0,4,437,385,
ACAM,5/6/2002,0.6365,0.8108,0.7236,0,3,3,151,76,
ACAS,5/6/2002,0.2782,0.2533,0.2658,93,79,172,2128,995,
ACDO,5/6/2002,0.4320,0.5191,0.4756,242,445,687,3049,2725,
ACE,5/6/2002,0.4056,0.4550,0.4303,79,274,353,9706,10201,
ACF,5/6/2002,0.7510,0.7399,0.7454,2259,743,3002,43282,55782,
ACI,5/6/2002,0.4068,0.4041,0.4054,0,160,160,822,586,
ACLA,5/6/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/6/2002,0.5813,0.6003,0.5908,28,0,28,2448,1780,
ACN,5/6/2002,0.6927,0.6250,0.6588,526,20,546,4224,11991,
ACPW,5/6/2002,0.6058,0.6058,0.6058,0,0,0,938,1745,
ACRI,5/6/2002,0.7196,0.6659,0.6928,0,0,0,1685,518,
ACRT,5/6/2002,0.9958,0.8894,0.9426,14,41,55,3946,2236,
ACS,5/6/2002,0.4193,0.4196,0.4194,64,152,216,15205,25865,
ACTL,5/6/2002,0.4304,0.4116,0.4210,4,0,4,1014,1440,
ACTU,5/6/2002,0.5389,0.5389,0.5389,0,0,0,535,677,
ACXM,5/6/2002,0.5009,0.5762,0.5386,10,3,13,1506,3349,
ADBE,5/6/2002,0.5450,0.5681,0.5566,543,397,940,43252,27491,
ADCT,5/6/2002,1.1421,1.1421,1.1421,113,83,196,66633,14914,
ADEX,5/6/2002,0.5551,0.4485,0.5018,0,5,5,137,105,
ADI,5/6/2002,0.8026,0.7173,0.7600,651,458,1109,38374,31072,
ADIC,5/6/2002,0.6742,0.6565,0.6654,273,17,290,3239,1976,
ADLR,5/6/2002,0.7391,0.7455,0.7423,0,0,0,2986,662,
ADM,5/6/2002,0.2787,0.3283,0.3035,451,180,631,7066,2366,
ADP,5/6/2002,0.3472,0.3605,0.3538,125,109,234,18136,10343,
ADPT,5/6/2002,0.6509,0.7409,0.6959,3226,2870,6096,11604,6997,
ADRX,5/6/2002,0.8746,0.8555,0.8651,1186,884,2070,93954,23919,
ADSK,5/6/2002,0.6844,0.7240,0.7042,545,755,1300,6847,941,
ADTN,5/6/2002,0.4872,0.4806,0.4839,130,5,135,3205,253,
ADVNA,5/6/2002,0.3890,0.4227,0.4059,0,0,0,355,100,
ADVNB,5/6/2002,0.3161,0.3344,0.3252,0,0,0,994,310,
ADVP,5/6/2002,0.5877,0.5688,0.5782,530,249,779,11414,4745,
ADVS,5/6/2002,0.5507,0.5891,0.5699,71,42,113,3633,1635,
AEE,5/6/2002,0.1490,0.1490,0.1490,0,0,0,1384,693,
AEG,5/6/2002,0.2858,0.2951,0.2904,0,5,5,880,671,
AEIS,5/6/2002,0.6307,0.6252,0.6280,7,0,7,2406,2136,
AEM,5/6/2002,0.5343,0.5090,0.5216,1655,92,1747,14112,5211,
AEOS,5/6/2002,0.8110,0.5073,0.6592,164,627,791,4535,6079,
AEP,5/6/2002,0.2271,0.2855,0.2563,61,0,61,3702,4476,
AES,5/6/2002,1.1186,1.1074,1.1130,1851,859,2710,126722,79032,
AET,5/6/2002,0.3827,0.3600,0.3713,1098,354,1452,51559,18698,
AETH,5/6/2002,1.3712,1.3712,1.3712,310,3,313,7121,2986,
AFC,5/6/2002,0.2737,0.2444,0.2590,21,21,42,737,405,
AFCI,5/6/2002,0.5565,0.4988,0.5276,200,68,268,6636,7141,
AFFX,5/6/2002,0.8388,0.8394,0.8391,543,1646,2189,13655,6859,
AFG,5/6/2002,0.2468,0.2474,0.2471,0,0,0,311,220,
AFL,5/6/2002,0.3164,0.2982,0.3073,332,27,359,14180,5122,
AG,5/6/2002,0.4258,0.4691,0.4474,10,11,21,2570,689,
AGE,5/6/2002,0.3528,0.3710,0.3619,72,223,295,13008,6058,
AGEN,5/6/2002,0.6302,0.6487,0.6395,24,21,45,1397,551,
AGIL,5/6/2002,1.2381,0.9512,1.0947,0,0,0,1822,3430,
AGN,5/6/2002,0.3504,0.3608,0.3556,120,18,138,5897,4020,
AGU,5/6/2002,0.2433,0.2504,0.2468,0,0,0,135,5407,
AGY,5/6/2002,0.3750,0.4082,0.3916,95,30,125,2951,2882,
AH,5/6/2002,0.5254,0.4963,0.5108,9,25,34,3616,1249,
AHAA,5/6/2002,0.8453,0.8755,0.8604,52,49,101,3105,1881,
AHC,5/6/2002,0.2928,0.2982,0.2955,1596,927,2523,11344,11147,
AHG,5/6/2002,0.3540,0.3316,0.3428,1,0,1,1427,1079,
AHO,5/6/2002,0.2994,0.2399,0.2696,20,0,20,689,1064,
AHR,5/6/2002,0.3695,0.3238,0.3466,103,0,103,914,245,
AIB,5/6/2002,0.2917,0.2965,0.2941,0,0,0,333,173,
AIG,5/6/2002,0.3166,0.3176,0.3171,1103,1571,2674,152691,104811,
AIR,5/6/2002,0.5584,0.5050,0.5317,0,0,0,346,154,
AJG,5/6/2002,0.1954,0.2302,0.2128,94,0,94,810,312,
AKAM,5/6/2002,2.9368,2.9298,2.9333,0,15,15,26730,2599,
AKS,5/6/2002,0.3548,0.3568,0.3558,13,250,263,2311,338,
AKSY,5/6/2002,1.1384,1.0563,1.0974,9,5,14,3120,1005,
AKZOY,5/6/2002,0.2801,0.2545,0.2673,0,0,0,85,105,
AL,5/6/2002,0.3236,0.3222,0.3229,36,10,46,4428,796,
ALA,5/6/2002,0.7683,0.6782,0.7232,23,16,39,17199,23284,
ALAO,5/6/2002,0.7831,0.7848,0.7840,0,0,0,12,1,
ALD,5/6/2002,0.2613,0.3028,0.2821,0,22,22,1793,3358,
ALE,5/6/2002,0.1594,0.2525,0.2060,10,0,10,471,18,
ALEX,5/6/2002,0.3517,0.3074,0.3296,0,0,0,1850,531,
ALGX,5/6/2002,0.0000,0.0000,0.0000,10,0,10,6124,3478,
ALK,5/6/2002,0.3484,0.3523,0.3504,18,0,18,2184,1161,
ALKS,5/6/2002,0.7046,0.6938,0.6992,720,66,786,4826,1536,
ALL,5/6/2002,0.2468,0.2295,0.2382,3614,641,4255,89487,27525,
ALN,5/6/2002,1.1980,1.1669,1.1824,10,5,15,382,356,
ALO,5/6/2002,0.5684,0.5601,0.5642,7,10,17,4272,2807,
ALOY,5/6/2002,0.8285,1.0113,0.9199,53,0,53,3284,699,
ALSC,5/6/2002,0.7027,0.7249,0.7138,2,35,37,373,144,
ALTR,5/6/2002,0.7348,0.7913,0.7630,1361,3479,4840,43042,37346,
ALXN,5/6/2002,0.7015,0.7461,0.7238,10,100,110,2061,1318,
AM,5/6/2002,0.4962,0.4351,0.4656,3,45,48,2351,3318,
AMAT,5/6/2002,0.7670,0.7484,0.7577,12939,14999,27938,452879,316488,
AMCC,5/6/2002,0.8183,0.7903,0.8043,2641,1696,4337,44301,20664,
AMD,5/6/2002,0.7494,0.8046,0.7770,3666,841,4507,175999,118749,
AMFI,5/6/2002,0.1824,0.2132,0.1978,11,0,11,326,102,
AMG,5/6/2002,0.3078,0.2910,0.2994,0,21,21,580,695,
AMGN,5/6/2002,0.5240,0.5124,0.5182,19739,12695,32434,213161,134521,
AMKR,5/6/2002,0.7621,0.7239,0.7430,273,62,335,11052,10278,
AMLN,5/6/2002,0.7475,0.6644,0.7060,5,40,45,1566,553,
AMR,5/6/2002,0.5956,0.6292,0.6124,62,61,123,14342,14430,
AMRI,5/6/2002,0.6093,0.5737,0.5915,156,45,201,2174,837,
AMSC,5/6/2002,0.6827,0.5894,0.6360,4,0,4,574,1124,
AMSG,5/6/2002,0.3374,0.3318,0.3346,18,0,18,1473,471,
AMSY,5/6/2002,0.4161,0.3873,0.4017,9,4,13,1093,66,
AMT,5/6/2002,0.9970,1.2784,1.1377,83,185,268,28561,13976,
AMTD,5/6/2002,0.5915,0.5915,0.5915,486,73,559,11445,3995,
AMX,5/6/2002,0.4886,0.3993,0.4440,0,0,0,18216,24533,
AMZN,5/6/2002,0.6933,0.6972,0.6952,1852,552,2404,185811,130400,
AN,5/6/2002,0.3998,0.3469,0.3733,724,2639,3363,46015,14313,
ANAD,5/6/2002,0.8799,0.8814,0.8806,86,600,686,5909,1334,
ANDW,5/6/2002,0.4824,0.4875,0.4850,30,25,55,3720,1834,
ANEN,5/6/2002,1.4268,0.8571,1.1420,30,0,30,296,1848,
ANF,5/6/2002,0.4414,0.4526,0.4470,632,179,811,20341,6803,
ANLY,5/6/2002,0.7913,0.7913,0.7913,0,0,0,492,30,
ANN,5/6/2002,0.4292,0.4403,0.4348,111,158,269,3892,4676,
ANSR,5/6/2002,0.8507,0.8507,0.8507,0,0,0,1112,101,
ANSS,5/6/2002,0.4564,0.4327,0.4446,15,0,15,235,186,
AOC,5/6/2002,0.2928,0.2587,0.2758,50,0,50,16297,4106,
AOL,5/6/2002,0.8853,0.8254,0.8554,103588,18593,122181,1337177,523341,
AOLA,5/6/2002,0.0000,0.0000,0.0000,0,0,0,416,10,
AOT,5/6/2002,0.3464,0.3715,0.3590,5,60,65,356,483,
APA,5/6/2002,0.3502,0.3457,0.3480,617,2694,3311,13530,17865,
APB,5/6/2002,0.2778,0.2649,0.2714,0,0,0,1061,142,
APC,5/6/2002,0.3725,0.4043,0.3884,389,1229,1618,33683,26777,
APCC,5/6/2002,0.4604,0.5859,0.5232,29,478,507,6887,3970,
APD,5/6/2002,0.2912,0.2756,0.2834,50,58,108,2691,387,
APH,5/6/2002,0.3507,0.4401,0.3954,10,0,10,2586,1386,
APHT,5/6/2002,0.7842,0.7977,0.7910,0,0,0,603,427,
APN,5/6/2002,0.5913,0.5991,0.5952,2,0,2,992,330,
APOL,5/6/2002,0.5050,0.3827,0.4438,43,38,81,6439,4109,
APPB,5/6/2002,0.3751,0.3451,0.3601,58,520,578,5840,2315,
APWR,5/6/2002,0.5129,0.5327,0.5228,37,570,607,4932,1809,
ARBA,5/6/2002,1.2360,1.1963,1.2161,158,96,254,73828,32094,
ARDM,5/6/2002,0.6718,0.6718,0.6718,0,0,0,860,557,
ARG,5/6/2002,0.4113,0.4127,0.4120,0,0,0,800,276,
ARIA,5/6/2002,0.8625,0.8625,0.8625,0,20,20,1980,223,
ARM,5/6/2002,0.4282,0.3969,0.4126,0,0,0,2245,276,
ARMHY,5/6/2002,0.6957,0.6286,0.6622,5,0,5,876,589,
ARQL,5/6/2002,0.5829,0.5416,0.5622,11,0,11,3179,763,
ARRO,5/6/2002,0.3536,0.3421,0.3478,0,0,0,331,150,
ARRS,5/6/2002,0.9654,1.0042,0.9848,0,0,0,1837,848,
ARRY,5/6/2002,0.8011,0.7432,0.7722,10,6,16,119,38,
ARTC,5/6/2002,0.4929,0.6598,0.5764,0,255,255,556,1939,
ARTG,5/6/2002,0.0000,0.0000,0.0000,0,0,0,1413,253,
ARW,5/6/2002,0.4229,0.3823,0.4026,10,0,10,2147,1963,
ARXX,5/6/2002,0.6778,0.6856,0.6817,9,0,9,2296,1872,
ASA,5/6/2002,0.3925,0.4958,0.4442,1158,723,1881,12663,7828,
ASBC,5/6/2002,0.1897,0.2313,0.2105,1,0,1,801,41,
ASCA,5/6/2002,0.5484,0.5348,0.5416,21,0,21,497,305,
ASD,5/6/2002,0.2484,0.2370,0.2427,84,0,84,8134,2789,
ASF,5/6/2002,0.7533,0.7211,0.7372,0,0,0,1821,617,
ASFC,5/6/2002,0.2498,0.2815,0.2656,48,0,48,2183,1456,
ASGN,5/6/2002,0.4733,0.4803,0.4768,0,0,0,164,37,
ASH,5/6/2002,0.2524,0.2524,0.2524,0,0,0,511,228,
ASIA,5/6/2002,0.6467,0.6329,0.6398,8,0,8,2543,709,
ASMI,5/6/2002,0.5840,0.5853,0.5846,5,13,18,2908,1425,
ASML,5/6/2002,0.6881,0.5791,0.6336,498,50,548,4913,5104,
ASO,5/6/2002,0.2236,0.1724,0.1980,53,50,103,6656,610,
ASPT,5/6/2002,0.0000,0.0000,0.0000,0,0,0,691,0,
ASTE,5/6/2002,0.5195,0.4475,0.4835,1,0,1,222,8,
ASTSF,5/6/2002,0.6486,0.5527,0.6006,0,0,0,1009,3110,
ASYT,5/6/2002,0.6634,0.6250,0.6442,8,22,30,2977,2933,
AT,5/6/2002,0.3879,0.3846,0.3862,583,46,629,11626,7273,
ATG,5/6/2002,0.1313,0.1430,0.1372,0,0,0,702,62,
ATH,5/6/2002,0.3020,0.3177,0.3098,1606,293,1899,11613,5935,
ATK,5/6/2002,0.3657,0.3481,0.3569,74,162,236,6349,2915,
ATMI,5/6/2002,0.4871,0.4549,0.4710,32,20,52,1768,4510,
ATML,5/6/2002,0.9418,0.9843,0.9630,634,431,1065,41405,31943,
ATN,5/6/2002,0.5218,0.5251,0.5234,22,11,33,1679,1542,
ATR,5/6/2002,0.2494,0.2501,0.2498,0,0,0,56,0,
ATRX,5/6/2002,0.5052,0.4296,0.4674,76,20,96,1218,652,
ATSN,5/6/2002,1.0217,0.7211,0.8714,0,0,0,831,44,
ATTC,5/6/2002,0.3577,0.3438,0.3508,0,267,267,12479,8255,
ATVI,5/6/2002,0.5718,0.5182,0.5450,911,81,992,3839,2249,
ATW,5/6/2002,0.3257,0.3457,0.3357,0,25,25,234,110,
AU,5/6/2002,0.4952,0.4894,0.4923,224,33,257,7875,3629,
AUDC,5/6/2002,0.6539,0.6539,0.6539,0,0,0,297,444,
AV,5/6/2002,0.8521,0.9471,0.8996,0,5,5,13913,7769,
AVA,5/6/2002,0.0000,0.0000,0.0000,0,0,0,377,72,
AVCI,5/6/2002,0.0000,0.0000,0.0000,0,0,0,1060,89,
AVCT,5/6/2002,0.6287,0.6005,0.6146,162,0,162,4007,2802,
AVE,5/6/2002,0.2399,0.3099,0.2749,34,73,107,2988,8042,
AVGN,5/6/2002,0.9007,0.7434,0.8220,0,20,20,1745,497,
AVID,5/6/2002,0.6299,0.5911,0.6105,1,0,1,548,139,
AVII,5/6/2002,1.3722,1.0649,1.2186,712,20,732,7901,772,
AVL,5/6/2002,0.5285,0.5285,0.5285,0,0,0,1870,641,
AVNT,5/6/2002,0.4855,0.5060,0.4958,38,5,43,1609,554,
AVNX,5/6/2002,1.2515,1.2515,1.2515,1,0,1,3607,1270,
AVP,5/6/2002,0.1940,0.2374,0.2157,11,44,55,11557,5599,
AVT,5/6/2002,0.4980,0.4320,0.4650,12,0,12,4872,1371,
AVX,5/6/2002,0.4685,0.4304,0.4494,3,3,6,2909,1543,
AVY,5/6/2002,0.2156,0.2296,0.2226,55,0,55,904,968,
AW,5/6/2002,0.6270,0.5626,0.5948,0,10,10,14227,5736,
AWA,5/6/2002,0.0000,0.0000,0.0000,32,26,58,626,271,
AWE,5/6/2002,0.9032,0.9553,0.9292,183,220,403,73262,70018,
AWK,5/6/2002,0.0964,0.0964,0.0964,0,125,125,2348,1637,
AWRE,5/6/2002,1.0517,0.8953,0.9735,114,0,114,725,67,
AXA,5/6/2002,0.3236,0.4492,0.3864,0,20,20,815,602,
AXE,5/6/2002,0.2408,0.2390,0.2399,88,20,108,732,649,
AXL,5/6/2002,0.3792,0.3779,0.3786,121,80,201,1491,295,
AXP,5/6/2002,0.3256,0.3190,0.3223,1368,1065,2433,118271,67634,
AXTI,5/6/2002,0.6987,0.6023,0.6505,10,0,10,1073,344,
AYE,5/6/2002,0.3142,0.2581,0.2862,12,244,256,1315,1013,
AZN,5/6/2002,0.3660,0.3785,0.3722,39,1433,1472,7737,21050,
AZO,5/6/2002,0.3336,0.3368,0.3352,92,335,427,13078,10534,
AZPN,5/6/2002,0.7172,0.9165,0.8168,10,2,12,346,1230,
AZR,5/6/2002,0.2974,0.4523,0.3748,15,0,15,1317,1246,
BA,5/6/2002,0.3862,0.3725,0.3793,3660,1621,5281,141251,99126,
BAB,5/6/2002,0.4603,0.4367,0.4485,0,0,0,639,170,
BAC,5/6/2002,0.2660,0.2853,0.2756,14180,3106,17286,227418,187313,
BARZ,5/6/2002,0.4907,0.4579,0.4743,59,25,84,844,3418,
BAX,5/6/2002,0.3035,0.3043,0.3039,304,1973,2277,30904,26124,
BAY,5/6/2002,0.2523,0.2632,0.2578,10,0,10,341,358,
BBBY,5/6/2002,0.4308,0.3408,0.3858,306,458,764,30545,18626,
BBH,5/6/2002,0.4575,0.4590,0.4583,8887,1761,10648,46538,27469,
BBI,5/6/2002,0.4496,0.4547,0.4522,322,22,344,2455,1482,
BBOX,5/6/2002,0.4238,0.4870,0.4554,126,273,399,2899,1746,
BBT,5/6/2002,0.1787,0.1829,0.1808,38,15,53,8427,1678,
BBV,5/6/2002,0.2547,0.2547,0.2547,0,0,0,67,25,
BBX,5/6/2002,0.5537,0.5078,0.5308,11,11,22,1285,924,
BBY,5/6/2002,0.4500,0.4622,0.4561,11655,5409,17064,65802,55642,
BC,5/6/2002,0.3680,0.3029,0.3355,2,10,12,1874,2415,
BCC,5/6/2002,0.3520,0.3476,0.3498,192,0,192,1101,1492,
BCE,5/6/2002,0.5637,0.5336,0.5486,0,6,6,27165,16289,
BCF,5/6/2002,0.3710,0.3687,0.3698,0,0,0,986,324,
BCGI,5/6/2002,0.7327,0.5580,0.6454,0,0,0,912,579,
BCR,5/6/2002,0.2847,0.2684,0.2766,6,61,67,5951,1172,
BDAL,5/6/2002,1.0850,0.7825,0.9338,27,1,28,558,139,
BDH,5/6/2002,0.5883,0.6115,0.5999,14,50,64,1409,527,
BDK,5/6/2002,0.3271,0.3148,0.3210,30,16,46,2086,1164,
BDX,5/6/2002,0.2770,0.3487,0.3128,250,0,250,5159,2027,
BEAS,5/6/2002,1.1630,1.0324,1.0977,3764,2620,6384,87976,49184,
BEAV,5/6/2002,0.5268,0.5692,0.5480,0,0,0,1577,297,
BEC,5/6/2002,0.3359,0.3614,0.3486,35,52,87,1392,6502,
BELM,5/6/2002,0.6507,0.5577,0.6042,0,0,0,743,385,
BEN,5/6/2002,0.2714,0.2930,0.2822,20,31,51,2904,2015,
BER,5/6/2002,0.2206,0.2427,0.2316,12,0,12,549,202,
BEV,5/6/2002,0.6248,0.6898,0.6573,0,8,8,1421,375,
BFT,5/6/2002,0.5037,0.5030,0.5034,28,22,50,1616,886,
BG,5/6/2002,0.2633,0.2395,0.2514,0,20,20,940,197,
BGC,5/6/2002,0.3296,0.3067,0.3182,0,7,7,622,86,
BGEN,5/6/2002,0.6661,0.6374,0.6518,3681,9509,13190,83839,60901,
BGP,5/6/2002,0.3330,0.3169,0.3250,101,0,101,2712,1433,
BHE,5/6/2002,0.6179,0.6297,0.6238,0,1,1,450,482,
BHH,5/6/2002,0.0000,0.0000,0.0000,0,0,0,2085,429,
BHI,5/6/2002,0.3984,0.4145,0.4064,1111,3475,4586,38042,16881,
BID,5/6/2002,0.4057,0.3859,0.3958,0,0,0,1269,303,
BIOM,5/6/2002,0.0624,0.0624,0.0624,70,0,70,1516,89,
BJ,5/6/2002,0.3118,0.3125,0.3122,7,50,57,1151,1041,
BJS,5/6/2002,0.4547,0.4516,0.4532,93,665,758,38908,28702,
BK,5/6/2002,0.3242,0.4095,0.3668,919,841,1760,27452,13838,
BKE,5/6/2002,0.3802,0.3986,0.3894,0,0,0,68,181,
BKNG,5/6/2002,0.2954,0.3062,0.3008,10,0,10,469,526,
BKS,5/6/2002,0.3125,0.3250,0.3188,49,20,69,4082,3059,
BKX,5/6/2002,0.2290,0.2468,0.2379,118,70,188,1888,2654,
BLC,5/6/2002,0.3017,0.3470,0.3244,0,0,0,438,75,
BLDP,5/6/2002,0.8082,0.7481,0.7782,383,986,1369,17882,17630,
BLI,5/6/2002,0.4726,0.3175,0.3950,30,0,30,297,83,
BLL,5/6/2002,0.3172,0.3474,0.3323,72,246,318,8749,5792,
BLS,5/6/2002,0.4147,0.4043,0.4095,1463,556,2019,32397,17631,
BMC,5/6/2002,0.7187,0.6021,0.6604,2868,3384,6252,30231,20790,
BMET,5/6/2002,0.4420,0.4186,0.4303,142,8,150,5491,2941,
BMO,5/6/2002,0.1984,0.2309,0.2146,0,0,0,405,715,
BMRN,5/6/2002,1.0086,1.0086,1.0086,0,11,11,693,1637,
BMS,5/6/2002,0.1792,0.2215,0.2004,19,50,69,1085,490,
BMX,5/6/2002,0.3980,0.3883,0.3932,0,0,0,120,377,
BMY,5/6/2002,0.4786,0.5251,0.5018,8147,1390,9537,253012,138715,
BNE,5/6/2002,0.2940,0.3675,0.3308,20,0,20,201,36,
BNI,5/6/2002,0.3385,0.2762,0.3074,0,0,0,3018,860,
BOBJ,5/6/2002,0.5670,0.5767,0.5718,411,48,459,1804,591,
BOH,5/6/2002,0.2020,0.2492,0.2256,4,0,4,604,157,
BOL,5/6/2002,0.3827,0.4328,0.4078,31,0,31,3671,5748,
BORL,5/6/2002,0.6418,0.6183,0.6300,164,30,194,7765,1503,
BOW,5/6/2002,0.2847,0.2883,0.2865,48,0,48,1058,222,
BOX,5/6/2002,0.3195,0.2287,0.2741,0,0,0,171,32,
BP,5/6/2002,0.2550,0.2767,0.2659,284,243,527,44429,25003,
BPOP,5/6/2002,0.1892,0.2108,0.2000,0,0,0,567,507,
BPRX,5/6/2002,0.7276,0.7473,0.7374,69,5,74,4592,570,
BPUR,5/6/2002,0.9029,1.0204,0.9616,37,0,37,9084,3144,
BR,5/6/2002,0.3382,0.3347,0.3365,96,123,219,17649,17915,
BRCD,5/6/2002,1.0811,1.1766,1.1288,4683,6531,11214,136343,78387,
BRCM,5/6/2002,0.9464,1.0521,0.9992,6756,5807,12563,155454,84661,
BRIO,5/6/2002,0.0000,0.0000,0.0000,0,0,0,311,0,
BRKS,5/6/2002,0.7279,0.6313,0.6796,93,40,133,1306,2860,
BRKT,5/6/2002,0.6867,0.5687,0.6277,10,0,10,84,55,
BRL,5/6/2002,0.4119,0.3946,0.4032,637,83,720,6664,3529,
BRO,5/6/2002,0.2607,0.3505,0.3056,38,73,111,430,117,
BRW,5/6/2002,0.9489,0.9253,0.9371,20,355,375,7557,3839,
BSC,5/6/2002,0.3373,0.3412,0.3392,225,768,993,28317,18258,
BSG,5/6/2002,0.2313,0.2107,0.2210,65,0,65,4410,2240,
BSTE,5/6/2002,0.5486,0.5079,0.5282,15,50,65,1008,1384,
BSX,5/6/2002,0.4285,0.4036,0.4160,86,0,86,25508,12687,
BTGC,5/6/2002,0.6168,0.6168,0.6168,0,0,0,1940,1127,
BTH,5/6/2002,0.3356,0.3048,0.3202,0,20,20,685,117,
BTI,5/6/2002,0.2418,0.2312,0.2365,60,0,60,40,10,
BTK,5/6/2002,0.5276,0.5360,0.5318,418,374,792,6554,3654,
BTX,5/6/2002,1.2589,1.2589,1.2589,0,80,80,949,176,
BTY,5/6/2002,0.4053,0.4462,0.4258,10,0,10,241,472,
BUCA,5/6/2002,0.5653,0.5713,0.5683,2,0,2,139,104,
BUD,5/6/2002,0.2243,0.2361,0.2302,1257,155,1412,31401,18855,
BVC,5/6/2002,0.1913,0.1913,0.1913,0,0,0,6138,855,
BVF,5/6/2002,0.7094,0.7225,0.7160,663,388,1051,24372,15188,
BVSN,5/6/2002,0.0000,0.0000,0.0000,0,0,0,9379,439,
BWA,5/6/2002,0.2824,0.2893,0.2858,0,0,0,1854,1645,
BZH,5/6/2002,0.4534,0.4540,0.4537,487,297,784,1985,1795,
C,5/6/2002,0.3850,0.3500,0.3675,8744,24179,32923,528391,322641,
CA,5/6/2002,0.8686,0.9334,0.9010,1429,1038,2467,177142,77962,
CACI,5/6/2002,0.8751,0.6532,0.7642,169,245,414,5108,2255,
CAG,5/6/2002,0.2469,0.1820,0.2144,25,162,187,11496,9106,
CAH,5/6/2002,0.2664,0.2862,0.2763,199,744,943,21083,17151,
CAKE,5/6/2002,0.3045,0.3134,0.3090,1168,146,1314,6755,2879,
CAL,5/6/2002,0.6923,0.7068,0.6996,95,201,296,5195,6395,
CALP,5/6/2002,0.9106,0.7699,0.8402,21,10,31,641,479,
CAM,5/6/2002,0.4347,0.4320,0.4334,2,20,22,5147,5359,
CAMP,5/6/2002,0.8863,0.8850,0.8856,20,0,20,435,353,
CANI,5/6/2002,1.0057,0.8289,0.9173,53,0,53,2932,1603,
CAO,5/6/2002,0.5754,0.4312,0.5033,21,0,21,945,233,
