symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/28/2002,0.5265,0.5268,0.5267,1043,563,1606,28282,33434,
AA,5/28/2002,0.2597,0.2667,0.2632,500,596,1096,49714,33005,
AAI,5/28/2002,0.7397,0.7397,0.7397,0,0,0,5069,767,
AAPL,5/28/2002,0.3967,0.4070,0.4018,709,701,1410,112048,69638,
ABC,5/28/2002,0.2618,0.2540,0.2579,93,91,184,8390,4377,
ABF,5/28/2002,0.4213,0.4113,0.4163,1004,7,1011,4338,8276,
ABGX,5/28/2002,0.9795,0.8774,0.9284,143,10,153,10699,10175,
ABI,5/28/2002,0.5530,0.5626,0.5578,139,60,199,7495,4575,
ABK,5/28/2002,0.2616,0.2646,0.2631,5,4,9,709,1841,
ABMD,5/28/2002,0.8807,0.9616,0.9212,2,0,2,5348,1267,
ABN,5/28/2002,0.2518,0.1890,0.2204,0,0,0,96,93,
ABS,5/28/2002,0.3790,0.3336,0.3563,94,104,198,12683,8375,
ABT,5/28/2002,0.3143,0.3182,0.3163,2070,488,2558,80778,56125,
ABV,5/28/2002,0.3029,0.3046,0.3037,0,0,0,27,4,
ABX,5/28/2002,0.3828,0.4275,0.4052,3109,1649,4758,83939,33821,
ABY,5/28/2002,0.3657,0.3657,0.3657,15,0,15,625,125,
AC,5/28/2002,0.3173,0.3019,0.3096,249,13,262,4146,1429,
ACAI,5/28/2002,0.5189,0.5220,0.5205,9,0,9,234,99,
ACAM,5/28/2002,0.6540,0.6441,0.6490,0,0,0,151,51,
ACAS,5/28/2002,0.2383,0.2488,0.2436,38,0,38,1257,622,
ACDO,5/28/2002,0.5091,0.4355,0.4723,94,82,176,3658,2148,
ACE,5/28/2002,0.4219,0.4338,0.4278,2789,2710,5499,6676,6373,
ACF,5/28/2002,0.6487,0.6533,0.6510,1328,697,2025,33310,44695,
ACI,5/28/2002,0.3447,0.3457,0.3452,5,5,10,1016,1750,
ACLA,5/28/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/28/2002,0.5247,0.5709,0.5478,28,6,34,2201,1391,
ACN,5/28/2002,0.4704,0.4718,0.4711,314,75,389,18186,19674,
ACPW,5/28/2002,0.6296,0.6296,0.6296,2,0,2,941,1221,
ACRI,5/28/2002,0.7369,0.8260,0.7814,70,0,70,614,360,
ACRT,5/28/2002,1.0004,0.5970,0.7987,66,0,66,4015,2464,
ACS,5/28/2002,0.3626,0.3444,0.3535,84,51,135,13020,31868,
ACTL,5/28/2002,0.4026,0.3767,0.3896,20,210,230,1551,2118,
ACTU,5/28/2002,0.6629,0.6629,0.6629,0,0,0,190,58,
ACXM,5/28/2002,0.5627,0.5477,0.5552,3,3,6,1089,2311,
ADBE,5/28/2002,0.5866,0.5860,0.5863,1640,506,2146,45359,27818,
ADCT,5/28/2002,1.0840,1.0840,1.0840,751,33,784,52948,13129,
ADEX,5/28/2002,0.5468,0.6320,0.5894,0,0,0,140,105,
ADI,5/28/2002,0.6682,0.6002,0.6342,3414,621,4035,42591,28771,
ADIC,5/28/2002,0.8627,0.9638,0.9132,48,0,48,2908,1557,
ADLR,5/28/2002,0.7205,0.7269,0.7237,0,0,0,2858,591,
ADM,5/28/2002,0.3772,0.3918,0.3845,56,19,75,5673,2419,
ADP,5/28/2002,0.2435,0.2500,0.2468,380,24,404,16007,7199,
ADPT,5/28/2002,0.6891,0.6422,0.6657,67,12,79,11065,8545,
ADRX,5/28/2002,0.7701,0.8026,0.7864,932,502,1434,93214,24398,
ADSK,5/28/2002,0.6109,0.5579,0.5844,66,21,87,4696,1472,
ADTN,5/28/2002,0.4296,0.4514,0.4405,12,0,12,2345,200,
ADVNA,5/28/2002,0.4079,0.4096,0.4088,20,0,20,360,100,
ADVNB,5/28/2002,0.2201,0.3850,0.3026,0,0,0,984,319,
ADVP,5/28/2002,0.5516,0.5795,0.5656,803,354,1157,11069,4583,
ADVS,5/28/2002,0.5174,0.5201,0.5188,76,92,168,2534,1168,
AEE,5/28/2002,0.1919,0.2321,0.2120,11,20,31,1544,697,
AEG,5/28/2002,0.2613,0.3051,0.2832,0,0,0,724,816,
AEIS,5/28/2002,0.6212,0.6233,0.6222,79,62,141,3984,2692,
AEM,5/28/2002,0.5358,0.4498,0.4928,1176,166,1342,13183,3033,
AEOS,5/28/2002,0.4769,0.5344,0.5056,24,125,149,2461,2302,
AEP,5/28/2002,0.2432,0.2378,0.2405,22,80,102,3002,4940,
AES,5/28/2002,0.9934,0.9839,0.9886,981,75,1056,114605,71668,
AET,5/28/2002,0.3755,0.3697,0.3726,138,321,459,48293,17098,
AETH,5/28/2002,1.0410,1.0410,1.0410,13,0,13,5582,1429,
AFC,5/28/2002,0.2439,0.2322,0.2380,21,0,21,766,581,
AFCI,5/28/2002,0.5080,0.6072,0.5576,1424,0,1424,11553,8121,
AFFX,5/28/2002,0.7540,0.7048,0.7294,141,294,435,8414,6214,
AFG,5/28/2002,0.2676,0.2893,0.2784,0,0,0,288,220,
AFL,5/28/2002,0.2459,0.2905,0.2682,169,25,194,6846,3266,
AG,5/28/2002,0.4426,0.4383,0.4404,60,0,60,1814,414,
AGE,5/28/2002,0.2490,0.2862,0.2676,136,1258,1394,8768,4722,
AGEN,5/28/2002,0.6588,0.7241,0.6914,10,0,10,1414,531,
AGIL,5/28/2002,0.8983,0.9901,0.9442,0,0,0,1679,2699,
AGN,5/28/2002,0.3700,0.3758,0.3729,234,64,298,9452,6119,
AGU,5/28/2002,0.2714,0.3015,0.2864,0,30,30,1001,5721,
AGY,5/28/2002,0.4310,0.3914,0.4112,61,0,61,1017,2555,
AH,5/28/2002,0.4246,0.4575,0.4410,20,0,20,2047,855,
AHAA,5/28/2002,0.7788,0.8543,0.8166,1,40,41,8402,1086,
AHC,5/28/2002,0.2554,0.2549,0.2552,337,96,433,10313,10327,
AHG,5/28/2002,0.3609,0.3418,0.3514,0,0,0,1014,859,
AHO,5/28/2002,0.2694,0.2810,0.2752,0,0,0,746,1317,
AHR,5/28/2002,0.1831,0.2083,0.1957,0,0,0,906,166,
AIB,5/28/2002,0.2208,0.2250,0.2229,0,0,0,328,173,
AIG,5/28/2002,0.2819,0.2897,0.2858,967,587,1554,135550,89869,
AIR,5/28/2002,0.4316,0.4495,0.4406,0,0,0,291,185,
AJG,5/28/2002,0.2315,0.2357,0.2336,42,1,43,702,322,
AKAM,5/28/2002,0.2082,0.3846,0.2964,19,0,19,23407,2106,
AKS,5/28/2002,0.2928,0.4131,0.3530,1,0,1,2338,500,
AKSY,5/28/2002,1.0172,0.9280,0.9726,10,0,10,1816,782,
AKZOY,5/28/2002,0.0000,0.0000,0.0000,0,0,0,135,135,
AL,5/28/2002,0.3446,0.2481,0.2964,26,25,51,4634,765,
ALA,5/28/2002,0.7517,0.6833,0.7175,68,25,93,16095,23926,
ALAO,5/28/2002,0.9027,0.8908,0.8968,0,0,0,17,1,
ALD,5/28/2002,0.4658,0.5239,0.4948,2836,1728,4564,8538,16386,
ALE,5/28/2002,0.2040,0.1918,0.1979,0,0,0,429,30,
ALEX,5/28/2002,0.2759,0.2755,0.2757,0,0,0,2112,544,
ALGX,5/28/2002,0.0000,0.0000,0.0000,0,0,0,6113,3553,
ALK,5/28/2002,0.3780,0.3814,0.3797,30,0,30,2225,1746,
ALKS,5/28/2002,0.5891,0.5622,0.5756,5,63,68,2555,1195,
ALL,5/28/2002,0.2482,0.2678,0.2580,3188,2420,5608,101350,30107,
ALN,5/28/2002,0.7047,0.6930,0.6988,0,0,0,438,45,
ALO,5/28/2002,0.5979,0.5759,0.5869,75,0,75,4190,2693,
ALOY,5/28/2002,0.8498,0.4907,0.6702,2,0,2,2877,377,
ALSC,5/28/2002,0.6085,0.5045,0.5565,5,5,10,448,169,
ALTR,5/28/2002,0.6311,0.6478,0.6395,528,493,1021,45018,49177,
ALXN,5/28/2002,0.6850,0.7177,0.7014,30,0,30,1694,1003,
AM,5/28/2002,0.4583,0.4309,0.4446,8,107,115,2296,2539,
AMAT,5/28/2002,0.6288,0.5807,0.6048,9328,6341,15669,272697,150739,
AMCC,5/28/2002,0.8080,0.7885,0.7982,487,101,588,24651,15347,
AMD,5/28/2002,0.7459,0.6522,0.6990,2474,2580,5054,173806,121168,
AMFI,5/28/2002,0.2369,0.2369,0.2369,11,0,11,173,95,
AMG,5/28/2002,0.2895,0.2676,0.2785,0,1,1,669,778,
AMGN,5/28/2002,0.3747,0.4045,0.3896,3316,2395,5711,159544,117569,
AMKR,5/28/2002,0.6006,0.6447,0.6226,52,74,126,8747,9261,
