symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/7/2002,0.6128,0.5753,0.5940,594,242,836,41478,45901,
AA,5/7/2002,0.3499,0.3395,0.3447,714,446,1160,70862,34002,
AAI,5/7/2002,0.7573,0.7573,0.7573,23,0,23,4973,318,
AAPL,5/7/2002,0.4851,0.4850,0.4850,1221,1968,3189,112868,64791,
ABC,5/7/2002,0.3083,0.2948,0.3016,200,112,312,11697,5533,
ABF,5/7/2002,0.4369,0.6382,0.5376,39,0,39,7990,10583,
ABGX,5/7/2002,1.0537,0.8718,0.9628,55,720,775,10474,9654,
ABI,5/7/2002,0.5741,0.6225,0.5983,45,24,69,6936,3987,
ABK,5/7/2002,0.2616,0.2402,0.2509,63,30,93,1231,3149,
ABMD,5/7/2002,0.8059,0.5986,0.7022,8,1,9,5048,1523,
ABN,5/7/2002,0.3222,0.2080,0.2651,0,0,0,104,143,
ABS,5/7/2002,0.2876,0.2772,0.2824,10,35,45,10542,6289,
ABT,5/7/2002,0.2843,0.3344,0.3094,1646,793,2439,103908,61241,
ABV,5/7/2002,0.3215,0.3391,0.3303,0,0,0,27,4,
ABX,5/7/2002,0.4136,0.3990,0.4063,6248,1226,7474,76528,30335,
ABY,5/7/2002,0.3699,0.3382,0.3540,7,0,7,632,155,
AC,5/7/2002,0.3356,0.3830,0.3593,103,337,440,3110,1855,
ACAI,5/7/2002,0.5723,0.5691,0.5707,0,0,0,437,385,
ACAM,5/7/2002,0.8476,0.6208,0.7342,0,0,0,151,73,
ACAS,5/7/2002,0.2956,0.2602,0.2779,47,0,47,2086,1056,
ACDO,5/7/2002,0.4961,0.4588,0.4774,335,198,533,3178,2925,
ACE,5/7/2002,0.3866,0.4760,0.4313,238,71,309,9718,10110,
ACF,5/7/2002,0.6443,0.7418,0.6930,4828,1187,6015,45101,55710,
ACI,5/7/2002,0.4236,0.4151,0.4194,5,0,5,822,716,
ACLA,5/7/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/7/2002,0.5818,0.5365,0.5592,34,1,35,2456,1780,
ACN,5/7/2002,0.6957,0.6971,0.6964,0,1056,1056,4496,11498,
ACPW,5/7/2002,0.8518,0.8518,0.8518,0,0,0,938,1745,
ACRI,5/7/2002,0.7274,0.6590,0.6932,0,0,0,1685,518,
ACRT,5/7/2002,0.9609,0.8950,0.9280,69,162,231,3956,2244,
ACS,5/7/2002,0.4108,0.4306,0.4207,45,293,338,15247,26014,
ACTL,5/7/2002,0.4517,0.3714,0.4116,0,0,0,1018,1440,
ACTU,5/7/2002,0.4913,0.4913,0.4913,20,23,43,535,677,
ACXM,5/7/2002,0.5809,0.5756,0.5782,20,0,20,1496,3349,
ADBE,5/7/2002,0.5627,0.5913,0.5770,3042,630,3672,43299,27501,
ADCT,5/7/2002,1.1405,1.1405,1.1405,131,363,494,66708,14916,
ADEX,5/7/2002,0.5929,0.5037,0.5483,0,0,0,137,100,
ADI,5/7/2002,0.7051,0.7926,0.7488,1248,801,2049,38739,30316,
ADIC,5/7/2002,0.8002,0.7908,0.7955,88,79,167,3416,1962,
ADLR,5/7/2002,0.7808,0.6701,0.7254,182,0,182,2986,662,
ADM,5/7/2002,0.2541,0.3151,0.2846,101,432,533,7073,2464,
ADP,5/7/2002,0.3520,0.3619,0.3570,436,140,576,18165,10413,
ADPT,5/7/2002,0.7741,0.6687,0.7214,768,443,1211,12709,9867,
ADRX,5/7/2002,0.8800,0.8959,0.8880,1843,1353,3196,94700,24563,
ADSK,5/7/2002,0.5977,0.6454,0.6216,172,102,274,7041,1410,
ADTN,5/7/2002,0.5033,0.5082,0.5057,100,3,103,3274,258,
ADVNA,5/7/2002,0.3253,0.3253,0.3253,0,0,0,355,100,
ADVNB,5/7/2002,0.5274,0.5081,0.5177,0,0,0,994,310,
ADVP,5/7/2002,0.5577,0.5843,0.5710,198,161,359,11351,4734,
ADVS,5/7/2002,0.6045,0.5898,0.5972,46,706,752,3646,1650,
AEE,5/7/2002,0.1687,0.2284,0.1986,0,0,0,1384,693,
AEG,5/7/2002,0.2916,0.2952,0.2934,0,0,0,880,666,
AEIS,5/7/2002,0.6359,0.6493,0.6426,20,270,290,2413,2136,
AEM,5/7/2002,0.4848,0.4761,0.4804,1146,114,1260,14130,5183,
AEOS,5/7/2002,0.6831,0.5758,0.6295,210,375,585,4683,6106,
AEP,5/7/2002,0.2034,0.3296,0.2665,2775,10,2785,3673,4476,
AES,5/7/2002,0.9467,1.1720,1.0594,881,911,1792,128223,79692,
AET,5/7/2002,0.3657,0.4036,0.3847,1478,544,2022,52431,19016,
AETH,5/7/2002,1.3874,1.3646,1.3760,24,10,34,7385,2989,
AFC,5/7/2002,0.2401,0.2531,0.2466,149,103,252,745,394,
AFCI,5/7/2002,0.5611,0.5207,0.5409,706,47,753,6744,7193,
AFFX,5/7/2002,0.7692,0.9636,0.8664,938,482,1420,13702,8250,
AFG,5/7/2002,0.3744,0.2321,0.3032,0,0,0,311,220,
AFL,5/7/2002,0.3207,0.2774,0.2990,123,11,134,14183,5137,
AG,5/7/2002,0.4048,0.4538,0.4293,1,6,7,2560,681,
AGE,5/7/2002,0.3667,0.3357,0.3512,114,51,165,12970,6159,
AGEN,5/7/2002,0.6823,0.6709,0.6766,41,20,61,1399,552,
AGIL,5/7/2002,1.1910,1.0285,1.1098,24,5,29,1822,3340,
