symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/18/2002,0.4355,0.3916,0.4136,809,602,1411,33878,34521,
AA,3/18/2002,0.3164,0.3116,0.3140,1209,553,1762,53821,36219,
AAI,3/18/2002,0.4862,0.4352,0.4607,0,0,0,5772,466,
AAPL,3/18/2002,0.5095,0.4180,0.4638,2470,1144,3614,129865,83548,
ABF,3/18/2002,0.4602,0.4491,0.4546,145,40,185,3047,4852,
ABGX,3/18/2002,0.7464,0.7352,0.7408,465,106,571,6887,6436,
ABI,3/18/2002,0.5319,0.5213,0.5266,248,37,285,4492,4780,
ABK,3/18/2002,0.3330,0.3497,0.3414,0,20,20,1040,2134,
ABMD,3/18/2002,0.8547,0.7461,0.8004,68,14,82,3509,864,
ABN,3/18/2002,0.2443,0.2919,0.2681,11,0,11,734,2105,
ABS,3/18/2002,0.2592,0.2673,0.2632,649,201,850,6893,4474,
ABT,3/18/2002,0.2664,0.3005,0.2834,5764,2554,8318,85357,47752,
ABX,3/18/2002,0.3508,0.3740,0.3624,2821,2737,5558,58592,32036,
ABY,3/18/2002,0.3652,0.3659,0.3656,20,0,20,495,381,
AC,3/18/2002,0.2733,0.2767,0.2750,46,71,117,6551,4733,
ACAI,3/18/2002,0.6240,0.6137,0.6188,0,0,0,289,292,
ACAS,3/18/2002,0.2723,0.2109,0.2416,43,10,53,2012,721,
ACDO,3/18/2002,0.4811,0.4634,0.4722,239,140,379,1946,1325,
ACF,3/18/2002,0.6969,0.7379,0.7174,1181,1030,2211,31746,31492,
ACI,3/18/2002,0.4217,0.3492,0.3854,46,27,73,1451,649,
ACLA,3/18/2002,0.9850,0.8414,0.9132,0,3,3,370,103,
ACLS,3/18/2002,0.6071,0.6211,0.6141,190,8,198,2963,1926,
ACN,3/18/2002,0.5666,0.5577,0.5621,629,205,834,9487,7790,
ACPW,3/18/2002,0.9524,0.9652,0.9588,46,70,116,1819,2243,
ACRI,3/18/2002,0.7518,0.6412,0.6965,105,0,105,1035,449,
ACS,3/18/2002,0.0000,0.0000,0.0000,0,0,0,0,0,
ACTL,3/18/2002,0.3871,0.3784,0.3828,105,0,105,287,1172,
ACTR,3/18/2002,0.0000,0.0000,0.0000,0,0,0,1239,225,
ACTU,3/18/2002,0.8110,0.7776,0.7943,30,0,30,668,803,
ACXM,3/18/2002,0.5764,0.5362,0.5563,15,0,15,1325,3236,
ADBE,3/18/2002,0.4881,0.4739,0.4810,1580,999,2579,41582,24691,
ADCT,3/18/2002,0.8618,0.9356,0.8987,1534,129,1663,76138,90020,
ADEX,3/18/2002,0.4668,0.5956,0.5312,7,0,7,110,100,
ADI,3/18/2002,0.4740,0.4535,0.4638,2802,778,3580,38458,20186,
ADIC,3/18/2002,0.5787,0.5470,0.5629,63,15,78,2210,1179,
ADLAC,3/18/2002,0.6618,0.6942,0.6780,558,116,674,20032,26226,
ADM,3/18/2002,0.3184,0.3056,0.3120,409,305,714,4301,1673,
ADP,3/18/2002,0.2711,0.2614,0.2662,977,113,1090,19231,9812,
ADPT,3/18/2002,0.6588,0.6251,0.6420,133,70,203,8623,4627,
ADRX,3/18/2002,0.7644,0.7444,0.7544,6178,2518,8696,44412,29531,
ADSK,3/18/2002,0.4075,0.4111,0.4093,238,44,282,3727,1060,
ADTN,3/18/2002,0.4333,0.4128,0.4230,55,0,55,2091,152,
ADVNA,3/18/2002,0.3746,0.3823,0.3784,1,1,2,465,78,
ADVNB,3/18/2002,0.3330,0.3221,0.3276,40,0,40,419,110,
ADVP,3/18/2002,0.3869,0.4075,0.3972,1169,128,1297,4463,4398,
ADVS,3/18/2002,0.4092,0.4291,0.4192,96,7,103,2332,1019,
AEE,3/18/2002,0.1267,0.1748,0.1508,65,10,75,725,260,
AEG,3/18/2002,0.3240,0.3707,0.3474,8,43,51,2040,763,
AEIS,3/18/2002,0.6226,0.5747,0.5986,105,65,170,2137,2441,
AEM,3/18/2002,0.5588,0.4975,0.5282,613,147,760,11662,4118,
AEOS,3/18/2002,0.4861,0.4610,0.4736,1967,58,2025,4232,3928,
AEP,3/18/2002,0.1818,0.1330,0.1574,35,21,56,3221,2230,
AES,3/18/2002,0.9437,0.9765,0.9601,7666,5693,13359,106198,49921,
AET,3/18/2002,0.3842,0.3697,0.3770,494,183,677,45166,15888,
AETH,3/18/2002,0.9340,0.9217,0.9278,339,130,469,7452,3045,
AFC,3/18/2002,0.2700,0.2716,0.2708,74,110,184,597,141,
AFCI,3/18/2002,0.4915,0.4622,0.4768,394,60,454,12026,6632,
AFFX,3/18/2002,0.6680,0.6607,0.6644,584,222,806,10927,4491,
AFG,3/18/2002,0.3416,0.3450,0.3433,0,0,0,200,180,
AFL,3/18/2002,0.2994,0.3059,0.3026,415,78,493,12418,4501,
AG,3/18/2002,0.5110,0.3688,0.4399,71,16,87,1812,573,
AGE,3/18/2002,0.3124,0.3055,0.3090,345,62,407,11997,5031,
AGIL,3/18/2002,0.7634,1.0622,0.9128,41,2,43,2514,2237,
AGN,3/18/2002,0.3153,0.3170,0.3162,173,156,329,13021,2351,
AGU,3/18/2002,0.3108,0.2735,0.2922,0,0,0,50,6184,
AGY,3/18/2002,0.3702,0.3535,0.3618,108,31,139,2458,667,
AH,3/18/2002,0.4602,0.4325,0.4464,23,6,29,2665,972,
AHAA,3/18/2002,0.8425,0.8289,0.8357,131,30,161,1595,1112,
AHC,3/18/2002,0.2737,0.2634,0.2686,631,325,956,7612,8752,
AHG,3/18/2002,0.3747,0.3807,0.3777,23,60,83,948,465,
AHO,3/18/2002,0.3124,0.2961,0.3042,51,12,63,523,1199,
AHR,3/18/2002,0.2603,0.2668,0.2635,12,0,12,772,173,
AIG,3/18/2002,0.2611,0.2343,0.2477,5704,2225,7929,113201,71349,
AIR,3/18/2002,0.5979,0.6721,0.6350,40,0,40,450,135,
AJG,3/18/2002,0.3280,0.3109,0.3194,87,0,87,1036,725,
AKAM,3/18/2002,1.1171,1.1337,1.1254,288,23,311,21979,2227,
