symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/13/2002,0.5184,0.5100,0.5142,667,1253,1920,41770,46768,
AA,5/13/2002,0.3035,0.2927,0.2981,1427,298,1725,73776,35069,
AAI,5/13/2002,0.5700,0.5671,0.5686,30,0,30,4995,318,
AAPL,5/13/2002,0.4516,0.3838,0.4177,2403,327,2730,76228,50631,
ABC,5/13/2002,0.3000,0.2979,0.2990,97,0,97,12069,6528,
ABF,5/13/2002,0.4115,0.4454,0.4284,1438,576,2014,7551,10616,
ABGX,5/13/2002,0.8900,0.9029,0.8964,97,48,145,10492,10131,
ABI,5/13/2002,0.5968,0.6266,0.6117,318,57,375,7059,4271,
ABK,5/13/2002,0.2423,0.2464,0.2444,45,0,45,1245,3369,
ABMD,5/13/2002,0.8630,0.7962,0.8296,0,0,0,5216,1496,
ABN,5/13/2002,0.2328,0.1755,0.2042,0,0,0,104,183,
ABS,5/13/2002,0.3641,0.3619,0.3630,318,853,1171,11418,13627,
ABT,5/13/2002,0.2921,0.3077,0.2999,893,1252,2145,105131,62942,
ABV,5/13/2002,0.3414,0.3180,0.3297,0,0,0,27,4,
ABX,5/13/2002,0.3643,0.3621,0.3632,7816,498,8314,59422,23514,
ABY,5/13/2002,0.3276,0.3285,0.3280,86,0,86,608,128,
AC,5/13/2002,0.2728,0.2285,0.2506,619,57,676,3105,1691,
ACAI,5/13/2002,0.5264,0.5273,0.5268,70,0,70,427,375,
ACAM,5/13/2002,0.4964,0.7660,0.6312,0,0,0,151,73,
ACAS,5/13/2002,0.2498,0.2618,0.2558,34,4,38,2149,1069,
ACDO,5/13/2002,0.5484,0.5427,0.5456,1750,947,2697,3655,3243,
ACE,5/13/2002,0.4206,0.3861,0.4034,365,1137,1502,10519,10329,
ACF,5/13/2002,0.7113,0.7290,0.7202,999,1832,2831,44147,57823,
ACI,5/13/2002,0.3860,0.3948,0.3904,7,0,7,825,766,
ACLA,5/13/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/13/2002,0.5200,0.5455,0.5328,0,16,16,2557,1795,
ACN,5/13/2002,0.5734,0.5824,0.5779,43,10,53,4228,12235,
ACPW,5/13/2002,0.2529,0.2529,0.2529,0,0,0,938,1745,
ACRI,5/13/2002,0.6835,0.5348,0.6092,20,42,62,1688,518,
ACRT,5/13/2002,0.9237,0.8232,0.8734,63,30,93,4052,2384,
ACS,5/13/2002,0.4275,0.4172,0.4224,161,109,270,16170,26505,
ACTL,5/13/2002,0.4084,0.3497,0.3790,12,0,12,1018,1439,
ACTU,5/13/2002,0.7264,0.7291,0.7278,0,0,0,527,674,
ACXM,5/13/2002,0.5631,0.5796,0.5714,63,205,268,1615,3399,
ADBE,5/13/2002,0.5214,0.5347,0.5280,946,943,1889,34751,22167,
ADCT,5/13/2002,1.0098,1.0595,1.0346,345,356,701,67571,14713,
ADEX,5/13/2002,0.6087,0.6600,0.6344,0,10,10,127,100,
ADI,5/13/2002,0.5807,0.6861,0.6334,4678,1917,6595,44667,32658,
ADIC,5/13/2002,0.8714,0.8134,0.8424,18,83,101,3583,2194,
ADLR,5/13/2002,0.6895,0.7318,0.7106,0,0,0,2933,662,
ADM,5/13/2002,0.2984,0.4044,0.3514,20,80,100,7178,2504,
ADP,5/13/2002,0.2615,0.2751,0.2683,384,76,460,18830,10396,
ADPT,5/13/2002,0.6562,0.7082,0.6822,40,55,95,10257,7823,
ADRX,5/13/2002,0.8136,0.8493,0.8314,2508,982,3490,98226,27793,
ADSK,5/13/2002,0.5133,0.5474,0.5304,66,140,206,7191,1360,
