symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,2/25/2002,0.4027,0.4059,0.4043,2739,1779,4518,36155,23498,
AA,2/25/2002,0.3325,0.3155,0.3240,5683,998,6681,46217,32922,
AAI,2/25/2002,0.6985,0.7078,0.7031,0,0,0,5802,446,
AAPL,2/25/2002,0.5425,0.5191,0.5308,2746,1061,3807,123598,66619,
ABF,2/25/2002,0.3833,0.3816,0.3824,145,15,160,2126,1270,
ABGX,2/25/2002,0.8068,0.8368,0.8218,85,341,426,5160,5619,
ABI,2/25/2002,0.6052,0.6077,0.6064,115,35,150,19960,5902,
ABK,2/25/2002,0.2922,0.2472,0.2697,40,32,72,622,1484,
ABMD,2/25/2002,0.9047,0.7269,0.8158,1028,95,1123,3990,2614,
ABN,2/25/2002,0.2723,0.2341,0.2532,0,3,3,714,2182,
ABS,2/25/2002,0.3086,0.2843,0.2964,135,38,173,7683,9661,
ABT,2/25/2002,0.2071,0.2212,0.2142,1537,925,2462,84279,40186,
ABX,2/25/2002,0.3962,0.4122,0.4042,706,159,865,63145,30816,
ABY,2/25/2002,0.3326,0.3326,0.3326,1,10,11,702,331,
AC,2/25/2002,0.2909,0.2878,0.2894,81,3,84,5827,5149,
ACAI,2/25/2002,0.5059,0.5054,0.5056,0,0,0,357,234,
ACAS,2/25/2002,0.3060,0.2153,0.2606,52,3,55,1369,736,
ACDO,2/25/2002,0.4510,0.5045,0.4778,8,5,13,1903,1224,
ACF,2/25/2002,0.9104,0.9002,0.9053,2812,452,3264,24230,29428,
ACI,2/25/2002,0.4645,0.4591,0.4618,19,0,19,1312,616,
ACLA,2/25/2002,0.3648,0.3765,0.3707,1,0,1,364,83,
ACLS,2/25/2002,0.6715,0.6624,0.6669,49,10,59,1991,1707,
ACPW,2/25/2002,0.1688,0.2583,0.2136,12,10,22,1690,2056,
ACRI,2/25/2002,0.6884,0.6948,0.6916,0,0,0,654,428,
ACS,2/25/2002,0.3605,0.3519,0.3562,1423,2613,4036,1909,292,
ACTL,2/25/2002,0.5221,0.4241,0.4731,27,0,27,576,1408,
ACTR,2/25/2002,1.4749,1.4749,1.4749,6,0,6,1233,438,
ACTU,2/25/2002,0.7501,0.7501,0.7501,0,0,0,464,914,
ACXM,2/25/2002,0.5904,0.6735,0.6320,18,6,24,1307,3181,
ADBE,2/25/2002,0.5029,0.5090,0.5060,819,405,1224,38669,20803,
ADCT,2/25/2002,0.8122,0.8162,0.8142,547,14,561,72701,14479,
ADI,2/25/2002,0.5962,0.5792,0.5877,2066,698,2764,55317,31965,
ADIC,2/25/2002,0.6155,0.6587,0.6371,85,12,97,4680,1725,
ADLAC,2/25/2002,0.7812,0.7306,0.7559,133,363,496,22805,15697,
ADM,2/25/2002,0.1774,0.1735,0.1754,151,20,171,6994,3590,
ADP,2/25/2002,0.2346,0.2437,0.2392,543,35,578,16635,7947,
ADPT,2/25/2002,0.6695,0.6667,0.6681,21,18,39,10405,2921,
ADRX,2/25/2002,0.8297,0.8548,0.8422,1161,890,2051,57482,31548,
ADSK,2/25/2002,0.4519,0.4401,0.4460,501,91,592,2811,634,
ADTK,2/25/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,2/25/2002,0.4856,0.4843,0.4850,33,50,83,1657,237,
ADVNA,2/25/2002,0.4319,0.4288,0.4304,0,0,0,397,63,
ADVNB,2/25/2002,0.6071,0.6009,0.6040,0,0,0,168,110,
