symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/5/2002,0.4493,0.4216,0.4354,567,646,1213,39722,40411,
AA,4/5/2002,0.3675,0.3347,0.3511,3683,2036,5719,89921,51887,
AAI,4/5/2002,0.7695,0.7695,0.7695,22,0,22,5779,511,
AAPL,4/5/2002,0.4715,0.3952,0.4334,612,575,1187,138804,89439,
ABC,4/5/2002,0.2963,0.3042,0.3002,722,308,1030,8858,5356,
ABF,4/5/2002,0.5588,0.5305,0.5446,45,500,545,6921,12155,
ABGX,4/5/2002,0.8044,0.7689,0.7867,2022,1508,3530,9445,7776,
ABI,4/5/2002,0.5309,0.5213,0.5261,3578,82,3660,5231,5427,
ABK,4/5/2002,0.2935,0.2906,0.2921,6,13,19,1216,2741,
ABMD,4/5/2002,0.8300,0.7270,0.7785,30,0,30,3847,1017,
ABN,4/5/2002,0.2955,0.2982,0.2968,0,0,0,761,2185,
ABS,4/5/2002,0.2048,0.2417,0.2232,128,31,159,9079,4936,
ABT,4/5/2002,0.3385,0.3487,0.3436,1594,1969,3563,103844,60150,
ABV,4/5/2002,0.3723,0.3321,0.3522,0,0,0,2,4,
ABX,4/5/2002,0.4326,0.4139,0.4232,889,472,1361,82077,34444,
ABY,4/5/2002,0.4499,0.4499,0.4499,10,0,10,607,406,
AC,4/5/2002,0.2596,0.2817,0.2706,35,2,37,6799,4829,
ACAI,4/5/2002,0.5893,0.5730,0.5812,18,10,28,292,334,
ACAM,4/5/2002,0.5482,0.5395,0.5438,0,0,0,155,120,
ACAS,4/5/2002,0.2054,0.2079,0.2066,13,10,23,2115,726,
ACDO,4/5/2002,0.4014,0.3901,0.3958,6,52,58,3162,1959,
ACE,4/5/2002,0.3330,0.3206,0.3268,2766,0,2766,5265,5127,
ACF,4/5/2002,0.6454,0.6139,0.6296,1810,8663,10473,41925,39074,
ACI,4/5/2002,0.4863,0.4049,0.4456,24,1,25,1456,1343,
ACLA,4/5/2002,0.0000,0.0000,0.0000,0,0,0,370,113,
ACLS,4/5/2002,0.6070,0.6362,0.6216,2,0,2,3299,1939,
ACN,4/5/2002,0.5023,0.4444,0.4734,18,355,373,7256,8867,
ACPW,4/5/2002,0.6060,0.5904,0.5982,0,0,0,1923,2574,
ACRI,4/5/2002,0.5979,0.7656,0.6818,0,0,0,1562,549,
ACRT,4/5/2002,0.8542,0.9082,0.8812,54,10,64,3443,1057,
ACS,4/5/2002,0.3571,0.3290,0.3430,46,1292,1338,21873,32076,
ACTL,4/5/2002,0.4357,0.3990,0.4174,5,0,5,416,1236,
ACTR,4/5/2002,0.0000,0.0000,0.0000,0,0,0,1239,162,
ACTU,4/5/2002,0.8737,0.8391,0.8564,23,30,53,689,787,
ACXM,4/5/2002,0.6085,0.5268,0.5676,0,0,0,1363,3377,
ADBE,4/5/2002,0.5022,0.4610,0.4816,2609,319,2928,45552,25891,
ADCT,4/5/2002,1.2016,1.1676,1.1846,73,20,93,78961,90556,
ADEX,4/5/2002,0.7013,0.4710,0.5861,0,0,0,127,105,
ADI,4/5/2002,0.5126,0.5047,0.5087,537,26,563,39668,22904,
ADIC,4/5/2002,0.6082,0.5835,0.5958,88,0,88,2946,1284,
ADLAC,4/5/2002,1.5037,1.4806,1.4922,4966,12447,17413,79435,72738,
ADLR,4/5/2002,0.7328,0.7497,0.7412,15,0,15,3732,587,
ADM,4/5/2002,0.2727,0.2892,0.2810,13,5,18,5397,1978,
ADP,4/5/2002,0.2587,0.2581,0.2584,60,47,107,20736,11286,
ADPT,4/5/2002,0.6204,0.6014,0.6109,84,1,85,9568,4787,
ADRX,4/5/2002,0.7549,0.7295,0.7422,661,515,1176,57101,35812,
ADSK,4/5/2002,0.4413,0.4258,0.4336,258,0,258,4503,1086,
ADTK,4/5/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,4/5/2002,0.4516,0.4624,0.4570,0,0,0,3100,311,
ADVNA,4/5/2002,0.3427,0.3034,0.3230,0,10,10,465,79,
ADVNB,4/5/2002,0.3651,0.3568,0.3610,40,35,75,684,120,
ADVP,4/5/2002,0.5111,0.4153,0.4632,522,14,536,9013,4890,
ADVS,4/5/2002,0.5732,0.5897,0.5814,17,268,285,3549,2270,
AEE,4/5/2002,0.1843,0.1873,0.1858,0,1,1,790,313,
AEG,4/5/2002,0.2590,0.3888,0.3239,2,0,2,2318,792,
AEIS,4/5/2002,0.6301,0.5932,0.6116,0,0,0,2372,2551,
AEM,4/5/2002,0.4500,0.4875,0.4688,734,14,748,12477,5070,
AEOS,4/5/2002,0.5840,0.5680,0.5760,274,96,370,8635,5633,
AEP,4/5/2002,0.1848,0.1981,0.1914,55,43,98,3792,2643,
AES,4/5/2002,0.7591,0.7808,0.7700,1101,644,1745,125042,82660,
AET,4/5/2002,0.3205,0.3852,0.3528,170,1221,1391,50157,17025,
AETH,4/5/2002,0.5661,0.5958,0.5810,16,0,16,7920,2929,
AFC,4/5/2002,0.2582,0.2466,0.2524,10,10,20,685,404,
AFCI,4/5/2002,0.5472,0.4902,0.5187,45,73,118,17467,6690,
AFFX,4/5/2002,0.8321,0.8147,0.8234,2567,617,3184,13091,6115,
AFG,4/5/2002,0.3209,0.3209,0.3209,5,0,5,243,230,
AFL,4/5/2002,0.2656,0.2339,0.2498,32,17,49,13996,4841,
AG,4/5/2002,0.4551,0.4493,0.4522,21,70,91,1947,792,
AGE,4/5/2002,0.3040,0.2810,0.2925,188,10,198,13468,6049,
AGEN,4/5/2002,0.5490,0.5751,0.5620,27,0,27,2903,596,
AGIL,4/5/2002,1.1542,1.0897,1.1220,40,2,42,2646,2337,
AGN,4/5/2002,0.4010,0.3768,0.3889,1632,310,1942,13021,3180,
AGU,4/5/2002,0.2700,0.2660,0.2680,0,0,0,110,6184,
AGY,4/5/2002,0.3395,0.3455,0.3425,15,0,15,2991,684,
AH,4/5/2002,0.3847,0.4100,0.3974,35,0,35,2977,1063,
AHAA,4/5/2002,0.8053,0.7745,0.7899,34,45,79,3441,2541,
AHC,4/5/2002,0.2766,0.2701,0.2734,154,119,273,11292,12862,
AHG,4/5/2002,0.3246,0.3159,0.3203,30,0,30,1062,575,
AHO,4/5/2002,0.3124,0.2982,0.3053,114,2,116,611,1286,
AHR,4/5/2002,0.2087,0.2087,0.2087,0,0,0,801,172,
AIB,4/5/2002,0.3073,0.3084,0.3078,0,0,0,490,170,
AIG,4/5/2002,0.2706,0.2693,0.2700,8301,208,8509,122801,80139,
AIR,4/5/2002,0.5978,0.4635,0.5307,0,0,0,540,148,
AJG,4/5/2002,0.2812,0.3063,0.2938,75,12,87,1124,745,
AKAM,4/5/2002,1.0868,0.9960,1.0414,30,5,35,25114,2837,
AKS,4/5/2002,0.2535,0.2173,0.2354,100,100,200,2729,334,
AKSY,4/5/2002,1.0563,1.1209,1.0886,176,145,321,4071,1151,
AKZOY,4/5/2002,0.1760,0.2771,0.2266,0,0,0,609,108,
AL,4/5/2002,0.3051,0.2813,0.2932,0,23,23,4997,952,
ALA,4/5/2002,0.4871,0.5394,0.5132,20,4945,4965,26645,16666,
ALAO,4/5/2002,0.8215,0.8215,0.8215,0,0,0,7,0,
ALD,4/5/2002,0.3059,0.2823,0.2941,8,3,11,1745,2924,
ALE,4/5/2002,0.2072,0.2032,0.2052,0,0,0,673,27,
ALEX,4/5/2002,0.3429,0.3258,0.3344,0,0,0,1317,424,
ALGX,4/5/2002,1.2158,1.1588,1.1873,40,0,40,5368,3592,
ALK,4/5/2002,0.3905,0.3679,0.3792,0,0,0,4651,1747,
ALKS,4/5/2002,0.6650,0.5906,0.6278,2871,118,2989,6780,1299,
ALL,4/5/2002,0.2365,0.1961,0.2163,1113,260,1373,94462,24819,
ALN,4/5/2002,0.8404,0.7191,0.7797,10,0,10,396,427,
ALO,4/5/2002,0.5947,0.6520,0.6234,4,25,29,4254,2588,
ALOY,4/5/2002,0.8260,0.8474,0.8367,261,10,271,3048,1268,
ALSC,4/5/2002,0.4205,0.3528,0.3866,0,0,0,714,115,
ALTR,4/5/2002,0.6141,0.5682,0.5912,240,348,588,44954,34383,
ALXN,4/5/2002,0.5850,0.6260,0.6055,182,4,186,2284,1598,
AM,4/5/2002,0.5571,0.5175,0.5373,15,23,38,5308,6730,
AMAT,4/5/2002,0.5128,0.4671,0.4900,6849,5113,11962,262158,201795,
AMCC,4/5/2002,0.9705,0.8430,0.9068,1053,316,1369,46763,20748,
AMD,4/5/2002,0.7663,0.7051,0.7357,1598,931,2529,192906,124020,
AMEV,4/5/2002,1.1266,0.8444,0.9855,0,0,0,910,33,
AMFI,4/5/2002,0.1748,0.2135,0.1942,0,0,0,269,102,
AMG,4/5/2002,0.3138,0.3106,0.3122,0,0,0,373,500,
AMGN,4/5/2002,0.3876,0.3334,0.3605,7039,2685,9724,247787,149024,
AMKR,4/5/2002,0.5818,0.5505,0.5661,493,19,512,11134,7838,
AMLN,4/5/2002,0.6148,0.5870,0.6009,0,0,0,2053,725,
AMPL,4/5/2002,0.0000,0.0000,0.0000,0,0,0,365,100,
AMR,4/5/2002,0.4817,0.4506,0.4662,45,23,68,15856,15240,
AMRI,4/5/2002,0.6186,0.6074,0.6130,11,0,11,2405,1286,
AMSC,4/5/2002,0.8958,0.8458,0.8708,20,3,23,800,1240,
AMSG,4/5/2002,0.3491,0.4001,0.3746,0,0,0,1413,420,
AMSY,4/5/2002,0.4867,0.4869,0.4868,0,0,0,1311,26,
AMT,4/5/2002,1.3034,1.4345,1.3689,227,112,339,29333,17638,
