symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/3/2002,0.4172,0.4077,0.4124,777,1332,2109,39555,40070,
AA,4/3/2002,0.3525,0.3769,0.3647,11378,1975,13353,63885,48876,
AAI,4/3/2002,0.7008,0.7008,0.7008,97,0,97,5716,511,
AAPL,4/3/2002,0.5383,0.4432,0.4908,4432,3508,7940,137264,86618,
ABC,4/3/2002,0.2940,0.2857,0.2898,17,234,251,8806,4894,
ABF,4/3/2002,0.5633,0.5631,0.5632,21,1153,1174,6895,12535,
ABGX,4/3/2002,0.7709,0.7564,0.7636,29,143,172,9387,7610,
ABI,4/3/2002,0.5327,0.5188,0.5257,113,83,196,5152,5414,
ABK,4/3/2002,0.3232,0.3132,0.3182,1,13,14,1210,2738,
ABMD,4/3/2002,0.9013,0.7059,0.8036,70,10,80,3797,1007,
ABN,4/3/2002,0.3279,0.3307,0.3293,0,0,0,761,2185,
ABS,4/3/2002,0.2242,0.2398,0.2320,201,98,299,8968,4934,
ABT,4/3/2002,0.3215,0.3616,0.3416,4273,625,4898,101031,59520,
ABV,4/3/2002,0.3859,0.3268,0.3564,0,0,0,2,4,
ABX,4/3/2002,0.4501,0.4174,0.4338,1964,699,2663,80952,34644,
ABY,4/3/2002,0.4652,0.4652,0.4652,0,0,0,587,406,
AC,4/3/2002,0.2754,0.2822,0.2788,269,3,272,6693,4825,
ACAI,4/3/2002,0.6173,0.6000,0.6086,20,20,40,298,313,
ACAM,4/3/2002,0.5466,0.5365,0.5416,0,18,18,155,128,
ACAS,4/3/2002,0.2526,0.2316,0.2421,0,0,0,2110,731,
ACDO,4/3/2002,0.3936,0.3789,0.3862,100,30,130,3154,1958,
ACE,4/3/2002,0.3694,0.3277,0.3486,1,1,2,5111,5210,
ACF,4/3/2002,0.6080,0.5913,0.5996,947,369,1316,40787,38302,
ACI,4/3/2002,0.3838,0.4099,0.3968,120,551,671,1395,720,
ACLA,4/3/2002,0.0000,0.0000,0.0000,0,0,0,370,113,
ACLS,4/3/2002,0.6264,0.5686,0.5975,27,0,27,3316,1939,
ACN,4/3/2002,0.4137,0.4846,0.4492,190,251,441,6980,8684,
ACPW,4/3/2002,0.7555,0.7555,0.7555,32,300,332,1925,2378,
ACRI,4/3/2002,0.7465,0.5049,0.6257,0,0,0,1542,549,
ACRT,4/3/2002,0.9280,0.8701,0.8990,20,50,70,3435,1030,
ACS,4/3/2002,0.3739,0.3415,0.3577,491,828,1319,21458,31413,
ACTL,4/3/2002,0.4044,0.4019,0.4032,0,50,50,416,1186,
ACTR,4/3/2002,0.0000,0.0000,0.0000,0,0,0,1239,162,
ACTU,4/3/2002,0.7473,0.6971,0.7222,10,0,10,714,787,
ACXM,4/3/2002,0.5346,0.4945,0.5145,3,56,59,1425,3326,
ADBE,4/3/2002,0.4339,0.4794,0.4566,1180,502,1682,45416,25673,
ADCT,4/3/2002,0.9325,0.8883,0.9104,73,40,113,78458,90597,
ADEX,4/3/2002,0.6250,0.5406,0.5828,0,0,0,127,105,
ADI,4/3/2002,0.5173,0.4667,0.4920,837,367,1204,40844,22602,
ADIC,4/3/2002,0.6491,0.5374,0.5933,30,1,31,2944,1284,
ADLAC,4/3/2002,1.4825,1.3916,1.4370,19186,21727,40913,51780,58473,
ADLR,4/3/2002,0.8256,0.8185,0.8220,15,0,15,3684,594,
ADM,4/3/2002,0.3249,0.3387,0.3318,448,5,453,5048,1973,
ADP,4/3/2002,0.2647,0.2563,0.2605,621,464,1085,21127,10824,
ADPT,4/3/2002,0.7276,0.6962,0.7119,140,503,643,11976,5390,
ADRX,4/3/2002,0.7358,0.7370,0.7364,644,593,1237,49183,33536,
ADSK,4/3/2002,0.4320,0.4438,0.4379,119,67,186,4485,1039,
ADTK,4/3/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,4/3/2002,0.4843,0.4111,0.4477,750,0,750,2275,296,
ADVNA,4/3/2002,0.3426,0.3245,0.3336,0,0,0,465,79,
ADVNB,4/3/2002,0.3633,0.3155,0.3394,10,10,20,634,110,
ADVP,4/3/2002,0.4779,0.4159,0.4469,600,271,871,9208,4672,
ADVS,4/3/2002,0.5377,0.5216,0.5296,34,462,496,3537,2086,
AEE,4/3/2002,0.1823,0.1741,0.1782,10,1,11,800,312,
AEG,4/3/2002,0.2768,0.3662,0.3215,16,0,16,2330,792,
AEIS,4/3/2002,0.6109,0.5905,0.6007,32,44,76,2396,2515,
AEM,4/3/2002,0.5369,0.4977,0.5173,409,220,629,12381,4776,
AEOS,4/3/2002,0.6194,0.5958,0.6076,1164,479,1643,7766,5659,
AEP,4/3/2002,0.1392,0.2467,0.1930,9,0,9,3789,2633,
AES,4/3/2002,0.7032,0.8957,0.7994,1868,879,2747,124289,82098,
AET,4/3/2002,0.3887,0.3782,0.3834,398,396,794,50441,16756,
AETH,4/3/2002,0.5941,0.5941,0.5941,302,0,302,7677,2948,
AFC,4/3/2002,0.2696,0.2499,0.2598,0,0,0,685,404,
AFCI,4/3/2002,0.5262,0.4844,0.5053,287,41,328,17371,6680,
AFFX,4/3/2002,0.7160,0.6815,0.6988,426,137,563,12745,5581,
AFG,4/3/2002,0.2147,0.1984,0.2066,0,0,0,226,230,
AFL,4/3/2002,0.2528,0.2532,0.2530,222,9,231,13870,4841,
AG,4/3/2002,0.4306,0.4279,0.4292,46,21,67,1924,807,
AGE,4/3/2002,0.2902,0.2938,0.2920,256,81,337,13355,5911,
AGEN,4/3/2002,0.5740,0.5645,0.5692,20,10,30,2903,586,
AGIL,4/3/2002,1.1067,1.0941,1.1004,9,5,14,2672,2342,
AGN,4/3/2002,0.3385,0.3399,0.3392,162,82,244,12514,3048,
AGU,4/3/2002,0.2655,0.2895,0.2775,0,0,0,110,6184,
AGY,4/3/2002,0.4031,0.3755,0.3893,53,0,53,2976,679,
AH,4/3/2002,0.4156,0.4166,0.4161,13,10,23,2978,1053,
AHAA,4/3/2002,0.8134,0.7354,0.7744,608,3,611,2888,1944,
AHC,4/3/2002,0.2643,0.2469,0.2556,250,470,720,11279,9850,
AHG,4/3/2002,0.3605,0.3363,0.3484,10,0,10,1052,555,
AHO,4/3/2002,0.1941,0.1880,0.1910,14,0,14,596,1255,
AHR,4/3/2002,0.4463,0.4463,0.4463,0,0,0,801,172,
AIB,4/3/2002,0.3024,0.2936,0.2980,100,0,100,400,170,
AIG,4/3/2002,0.3061,0.3102,0.3082,7843,312,8155,116619,79843,
AIR,4/3/2002,0.5118,0.5359,0.5238,5,0,5,532,148,
AJG,4/3/2002,0.3365,0.2537,0.2951,17,0,17,1084,745,
AKAM,4/3/2002,0.8048,0.8219,0.8134,1553,2,1555,22686,2834,
AKS,4/3/2002,0.4691,0.4601,0.4646,0,50,50,2729,304,
AKSY,4/3/2002,1.0641,0.9419,1.0030,464,203,667,3681,1108,
AKZOY,4/3/2002,0.2197,0.2704,0.2450,0,0,0,609,108,
AL,4/3/2002,0.3067,0.3015,0.3041,2,100,102,4931,841,
ALA,4/3/2002,0.5779,0.4793,0.5286,82,0,82,26646,16666,
ALAO,4/3/2002,0.7720,0.7720,0.7720,0,0,0,7,0,
ALD,4/3/2002,0.2897,0.2936,0.2916,13,35,48,1731,2905,
ALE,4/3/2002,0.2153,0.2309,0.2231,4,0,4,669,27,
ALEX,4/3/2002,0.3446,0.3109,0.3278,0,0,0,1317,424,
ALGX,4/3/2002,0.0000,0.0000,0.0000,7,0,7,5360,3592,
ALK,4/3/2002,0.3650,0.3824,0.3737,50,16,66,4619,1731,
ALKS,4/3/2002,0.6060,0.5434,0.5747,1021,131,1152,5234,1233,
ALL,4/3/2002,0.2275,0.2147,0.2211,290,101,391,94272,24539,
ALN,4/3/2002,0.9475,0.9684,0.9580,10,10,20,346,417,
ALO,4/3/2002,0.5892,0.5395,0.5643,14,8,22,4244,2580,
ALOY,4/3/2002,0.8243,0.8328,0.8286,412,21,433,2398,1590,
ALSC,4/3/2002,0.5110,0.5488,0.5299,1,1,2,707,114,
ALTR,4/3/2002,0.6123,0.6023,0.6073,262,574,836,44928,33941,
ALXN,4/3/2002,0.4864,0.6303,0.5584,115,171,286,2208,1427,
AM,4/3/2002,0.4384,0.4882,0.4633,140,278,418,5355,6692,
AMAT,4/3/2002,0.4798,0.4694,0.4746,12402,13239,25641,253576,194086,
AMCC,4/3/2002,0.8230,0.8414,0.8322,2735,204,2939,45588,20566,
AMD,4/3/2002,0.7921,0.6971,0.7446,3005,1218,4223,192077,123543,
AMEV,4/3/2002,1.1336,0.8952,1.0144,0,0,0,911,33,
AMFI,4/3/2002,0.1587,0.2094,0.1840,0,0,0,269,102,
AMG,4/3/2002,0.3200,0.3010,0.3105,0,0,0,373,340,
AMGN,4/3/2002,0.3326,0.3055,0.3190,4409,3741,8150,243082,144126,
AMKR,4/3/2002,0.5236,0.5831,0.5534,1038,61,1099,11604,7506,
AMLN,4/3/2002,0.6595,0.6016,0.6305,47,90,137,2031,675,
AMPL,4/3/2002,0.0000,0.0000,0.0000,0,0,0,365,100,
AMR,4/3/2002,0.5089,0.4846,0.4968,675,111,786,15386,15226,
AMRI,4/3/2002,0.6876,0.6012,0.6444,1,2,3,2376,1275,
AMSC,4/3/2002,0.9758,0.7749,0.8754,6,35,41,794,1219,
AMSG,4/3/2002,0.3276,0.3866,0.3571,0,0,0,1413,420,
