symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/1/2002,0.4293,0.3849,0.4071,3259,601,3860,40537,25737,
AA,3/1/2002,0.3045,0.3236,0.3140,875,1179,2054,56473,35024,
AAI,3/1/2002,0.5886,0.5721,0.5804,10,0,10,5825,446,
AAPL,3/1/2002,0.5009,0.4913,0.4961,2843,1308,4151,135038,86612,
ABF,3/1/2002,0.3843,0.4856,0.4349,406,204,610,2355,1409,
ABGX,3/1/2002,0.8576,0.7773,0.8174,1587,577,2164,8078,8163,
ABI,3/1/2002,0.6958,0.6693,0.6826,228,184,412,20170,5922,
ABK,3/1/2002,0.2949,0.2630,0.2790,0,68,68,757,1722,
ABMD,3/1/2002,0.8991,0.9076,0.9034,67,85,152,4214,1753,
ABN,3/1/2002,0.2569,0.2367,0.2468,0,0,0,714,2195,
ABS,3/1/2002,0.3330,0.3208,0.3269,296,23,319,8593,10478,
ABT,3/1/2002,0.2539,0.2449,0.2494,2063,212,2275,84362,40653,
ABX,3/1/2002,0.4901,0.4490,0.4696,680,1126,1806,65211,30981,
ABY,3/1/2002,0.5318,0.5318,0.5318,39,10,49,700,341,
AC,3/1/2002,0.3003,0.2675,0.2839,131,105,236,6027,5194,
ACAI,3/1/2002,0.5506,0.5483,0.5494,0,0,0,383,244,
ACAS,3/1/2002,0.3087,0.2935,0.3011,24,0,24,1951,742,
ACDO,3/1/2002,0.4569,0.4527,0.4548,84,4,88,2188,1268,
ACF,3/1/2002,0.8614,0.9027,0.8820,915,655,1570,28119,29811,
ACI,3/1/2002,0.4454,0.4315,0.4384,17,0,17,1337,626,
ACLA,3/1/2002,1.2929,1.2510,1.2720,0,0,0,363,83,
ACLS,3/1/2002,0.6088,0.5754,0.5921,411,12,423,2218,1724,
ACPW,3/1/2002,0.5897,0.6191,0.6044,0,0,0,1737,2041,
ACRI,3/1/2002,0.9075,0.8417,0.8746,11,1,12,933,428,
ACS,3/1/2002,0.4471,0.3706,0.4088,765,6123,6888,19457,23051,
ACTL,3/1/2002,0.5212,0.5121,0.5167,5,0,5,588,1468,
ACTR,3/1/2002,0.0000,0.0000,0.0000,0,0,0,1239,220,
ACTU,3/1/2002,0.8093,0.8093,0.8093,20,0,20,474,927,
ACXM,3/1/2002,0.6411,0.6324,0.6367,15,0,15,1363,3196,
ADBE,3/1/2002,0.5182,0.5361,0.5272,1565,678,2243,40703,24633,
ADCT,3/1/2002,1.3183,1.0693,1.1938,427,20,447,74158,90022,
ADEX,3/1/2002,0.5454,0.7813,0.6634,20,0,20,110,105,
ADI,3/1/2002,0.6049,0.5015,0.5532,2091,1459,3550,61398,31694,
ADIC,3/1/2002,0.7216,0.6550,0.6883,68,87,155,4678,1711,
ADLAC,3/1/2002,0.7550,0.7227,0.7388,73,1357,1430,23574,18265,
ADM,3/1/2002,0.4240,0.3703,0.3972,253,44,297,7070,3695,
ADP,3/1/2002,0.2569,0.3162,0.2865,581,122,703,17383,8049,
ADPT,3/1/2002,0.8002,0.7258,0.7630,1211,124,1335,16076,5211,
ADRX,3/1/2002,0.8354,0.7809,0.8082,7521,5365,12886,58998,32125,
ADSK,3/1/2002,0.4118,0.4010,0.4064,384,49,433,3971,1223,
ADTN,3/1/2002,0.4894,0.4347,0.4620,0,0,0,1849,299,
ADVNA,3/1/2002,0.3617,0.4657,0.4137,0,0,0,397,63,
ADVNB,3/1/2002,0.5417,0.5261,0.5339,0,0,0,168,110,
ADVP,3/1/2002,0.4664,0.4780,0.4722,143,26,169,15996,5227,
ADVS,3/1/2002,0.5187,0.5110,0.5148,132,158,290,1117,1024,
AEE,3/1/2002,0.1395,0.2733,0.2064,63,0,63,1537,551,
AEG,3/1/2002,0.3564,0.3311,0.3438,5,0,5,1995,820,
AEIS,3/1/2002,0.6638,0.6435,0.6536,300,204,504,1430,2076,
AEM,3/1/2002,0.5339,0.5245,0.5292,365,210,575,12978,4511,
AEOS,3/1/2002,0.5868,0.5631,0.5750,113,160,273,3394,5469,
AEP,3/1/2002,0.1353,0.1755,0.1554,201,46,247,2983,2221,
AES,3/1/2002,1.3692,1.3703,1.3698,792,1671,2463,53068,37743,
AET,3/1/2002,0.4988,0.4175,0.4582,1429,2143,3572,57961,33367,
AETH,3/1/2002,0.7829,0.7771,0.7800,51,18,69,6969,4182,
AFC,3/1/2002,0.3453,0.3285,0.3369,2,10,12,647,461,
AFCI,3/1/2002,0.6562,0.5476,0.6019,478,115,593,14838,7765,
AFFX,3/1/2002,0.8278,0.9067,0.8672,1660,782,2442,10961,4725,
AFG,3/1/2002,0.3304,0.3547,0.3426,0,0,0,841,223,
AFL,3/1/2002,0.2506,0.3160,0.2833,9,23,32,8852,5102,
AG,3/1/2002,0.4740,0.4329,0.4534,37,31,68,1868,617,
AGE,3/1/2002,0.3685,0.3528,0.3607,165,7,172,11765,5359,
AGIL,3/1/2002,1.1957,1.0994,1.1475,23,0,23,2495,2029,
AGN,3/1/2002,0.3751,0.3697,0.3724,189,200,389,10869,3298,
AGU,3/1/2002,0.3008,0.2739,0.2874,0,0,0,25,3154,
AGY,3/1/2002,0.4199,0.4276,0.4238,15,10,25,3782,2795,
AH,3/1/2002,0.4745,0.4649,0.4697,4,0,4,2824,1122,
AHAA,3/1/2002,0.8840,0.9442,0.9141,251,52,303,1673,2661,
AHC,3/1/2002,0.3745,0.3439,0.3592,6258,309,6567,12178,7856,
AHG,3/1/2002,0.4323,0.4058,0.4190,112,0,112,1690,4282,
AHO,3/1/2002,0.3288,0.3162,0.3225,7,12,19,514,2190,
AHP,3/1/2002,0.2716,0.2639,0.2678,2374,544,2918,64860,37601,
AHR,3/1/2002,0.3667,0.3667,0.3667,0,0,0,539,180,
AIG,3/1/2002,0.3091,0.2971,0.3031,1673,4692,6365,115460,78063,
AIR,3/1/2002,0.6864,0.6213,0.6538,0,0,0,431,130,
AJG,3/1/2002,0.2635,0.2621,0.2628,110,0,110,1170,854,
AKAM,3/1/2002,0.8802,0.8717,0.8760,1463,0,1463,21507,2165,
AKS,3/1/2002,0.5945,0.5447,0.5696,114,3,117,3695,4724,
AKSY,3/1/2002,1.0119,0.9956,1.0038,0,0,0,1267,156,
AKZOY,3/1/2002,0.2092,0.2158,0.2125,0,0,0,628,78,
AL,3/1/2002,0.3491,0.3092,0.3292,0,0,0,6149,839,
ALA,3/1/2002,0.6654,0.5911,0.6282,265,182,447,28265,17012,
ALEX,3/1/2002,0.3364,0.3262,0.3313,2,0,2,615,621,
ALGX,3/1/2002,1.6452,1.3180,1.4816,18,0,18,6848,4430,
ALK,3/1/2002,0.3444,0.3487,0.3466,5,250,255,4377,1357,
ALKS,3/1/2002,0.5486,0.5424,0.5455,13,0,13,1888,412,
ALL,3/1/2002,0.2769,0.2309,0.2539,211,34,245,76418,17830,
ALN,3/1/2002,1.1345,1.0420,1.0882,0,0,0,150,61,
ALO,3/1/2002,0.7942,0.8482,0.8212,79,236,315,3661,3483,
ALOY,3/1/2002,0.7210,0.7315,0.7263,107,84,191,2280,930,
ALSC,3/1/2002,0.4666,0.5561,0.5114,0,0,0,559,105,
ALTR,3/1/2002,0.7642,0.7449,0.7546,2078,525,2603,40605,40690,
ALXN,3/1/2002,0.7373,0.6884,0.7128,48,37,85,1070,864,
AM,3/1/2002,0.5637,0.4835,0.5236,0,0,0,2414,2140,
AMAT,3/1/2002,0.5230,0.5303,0.5267,19105,17182,36287,231508,169079,
AMCC,3/1/2002,1.1320,0.9502,1.0411,1930,672,2602,41907,20526,
AMD,3/1/2002,0.7441,0.6719,0.7080,9407,1009,10416,178907,118478,
AMEV,3/1/2002,0.7809,0.7751,0.7780,0,3,3,912,30,
AMFI,3/1/2002,0.2246,0.2584,0.2415,0,0,0,261,102,
AMG,3/1/2002,0.3128,0.3229,0.3178,37,0,37,1441,838,
AMGN,3/1/2002,0.3325,0.3065,0.3195,5726,3034,8760,221691,127370,
AMKR,3/1/2002,0.6317,0.6287,0.6302,224,36,260,6855,7351,
AMLN,3/1/2002,0.6610,0.6881,0.6746,11,0,11,1318,554,
AMPL,3/1/2002,0.5873,0.5873,0.5873,0,0,0,609,130,
AMR,3/1/2002,0.5397,0.5179,0.5288,230,637,867,14556,17368,
AMRI,3/1/2002,0.5854,0.5351,0.5602,42,26,68,1831,367,
AMSC,3/1/2002,0.8030,0.8531,0.8280,0,11,11,499,1104,
AMSY,3/1/2002,0.4089,0.4050,0.4070,60,0,60,1013,74,
AMT,3/1/2002,1.5221,1.4408,1.4815,1739,153,1892,27736,15381,
AMTD,3/1/2002,0.9052,0.9052,0.9052,104,1,105,10039,3891,
AMX,3/1/2002,0.3486,0.3787,0.3637,20,0,20,21342,21760,
AMZN,3/1/2002,0.6851,0.7812,0.7332,9699,5828,15527,170017,158122,
AN,3/1/2002,0.4509,0.5747,0.5128,1212,0,1212,36506,3503,
ANAD,3/1/2002,0.8497,0.7891,0.8194,356,27,383,5144,1600,
ANDW,3/1/2002,0.5519,0.5260,0.5390,74,33,107,5357,2857,
ANEN,3/1/2002,1.0175,0.8706,0.9440,95,420,515,865,344,
ANF,3/1/2002,0.4939,0.4979,0.4959,301,125,426,17081,4308,
ANLY,3/1/2002,1.0856,0.9866,1.0361,30,0,30,546,31,
ANN,3/1/2002,0.4906,0.4172,0.4539,30,9,39,4136,9570,
ANSR,3/1/2002,0.6962,0.6962,0.6962,47,0,47,1672,197,
AOC,3/1/2002,0.2287,0.2108,0.2198,4025,35,4060,9885,2787,
AOL,3/1/2002,0.5892,0.5478,0.5685,49824,10444,60268,1094405,563797,
AOLA,3/1/2002,0.0000,0.0000,0.0000,0,0,0,471,10,
AOT,3/1/2002,0.3230,0.3276,0.3253,110,5,115,654,715,
APA,3/1/2002,0.3745,0.3555,0.3650,539,134,673,17677,16298,
APB,3/1/2002,0.3291,0.3270,0.3280,0,0,0,749,220,
APC,3/1/2002,0.4391,0.3906,0.4148,249,437,686,30857,23826,
APCC,3/1/2002,0.4941,0.6133,0.5537,143,12,155,10009,4491,
APD,3/1/2002,0.2610,0.2352,0.2481,38,32,70,3345,907,
APH,3/1/2002,0.3494,0.3317,0.3406,55,4,59,3244,278,
APHT,3/1/2002,1.2512,1.0735,1.1624,20,4,24,1133,642,
APN,3/1/2002,0.8464,0.8775,0.8620,0,30,30,1229,80,
APOL,3/1/2002,0.3389,0.3390,0.3389,70,55,125,6832,1998,
APPB,3/1/2002,0.3925,0.4140,0.4032,36,22,58,6418,3130,
APWR,3/1/2002,0.6053,0.5677,0.5865,23,5,28,3287,3369,
ARBA,3/1/2002,0.9741,0.9741,0.9741,875,107,982,79087,15643,
ARDM,3/1/2002,0.9531,0.9611,0.9571,5,0,5,2001,647,
ARG,3/1/2002,0.3366,0.3630,0.3498,28,35,63,631,443,
ARIA,3/1/2002,0.8318,0.8318,0.8318,77,0,77,919,249,
ARM,3/1/2002,0.4303,0.4214,0.4258,8,0,8,1735,283,
ARQL,3/1/2002,0.6720,0.6902,0.6811,151,20,171,4353,1205,
ARRO,3/1/2002,0.3801,0.3765,0.3783,0,0,0,184,36,
ARTC,3/1/2002,0.5379,0.5580,0.5480,0,0,0,725,991,
ARTG,3/1/2002,0.0000,0.0000,0.0000,3,0,3,892,265,
ARW,3/1/2002,0.3332,0.4674,0.4003,19,20,39,3747,2722,
ARXX,3/1/2002,0.8716,1.0421,0.9568,49,5,54,2198,1691,
ASA,3/1/2002,0.4288,0.3687,0.3988,351,78,429,9537,4676,
ASBC,3/1/2002,0.3019,0.2791,0.2905,26,0,26,1490,272,
ASD,3/1/2002,0.2657,0.2608,0.2632,20,3,23,4699,2336,
ASF,3/1/2002,0.5865,0.5450,0.5658,379,10,389,1664,122,
ASFC,3/1/2002,0.2184,0.1815,0.2000,0,150,150,3889,1163,
ASH,3/1/2002,0.1813,0.1629,0.1721,300,170,470,1234,685,
ASIA,3/1/2002,0.7260,0.6910,0.7085,5,0,5,3852,668,
ASMI,3/1/2002,0.5852,0.5256,0.5554,65,10,75,2806,1666,
ASML,3/1/2002,0.5105,0.4869,0.4987,336,403,739,8219,4860,
ASO,3/1/2002,0.3231,0.2844,0.3037,240,25,265,3535,2067,
ASPT,3/1/2002,0.0000,0.0000,0.0000,0,0,0,2238,257,
ASTE,3/1/2002,0.3659,0.4782,0.4220,14,0,14,324,105,
ASTSF,3/1/2002,0.5156,0.5676,0.5416,35,0,35,207,707,
