symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/14/2002,0.4327,0.4378,0.4352,696,7602,8298,48160,32639,
AA,3/14/2002,0.3348,0.3370,0.3359,951,326,1277,64449,39341,
AAI,3/14/2002,0.6581,0.5927,0.6254,26,0,26,5892,471,
AAPL,3/14/2002,0.4257,0.4162,0.4210,1151,500,1651,138715,89020,
ABF,3/14/2002,0.3915,0.3592,0.3754,30,35,65,3104,3573,
ABGX,3/14/2002,0.7344,0.7721,0.7532,188,414,602,10150,9052,
ABI,3/14/2002,0.5425,0.5199,0.5312,338,139,477,20613,6384,
ABK,3/14/2002,0.3119,0.3271,0.3195,5,0,5,1066,2177,
ABMD,3/14/2002,0.7526,0.7603,0.7565,20,22,42,5478,1957,
ABN,3/14/2002,0.2635,0.2661,0.2648,10,0,10,729,2205,
ABS,3/14/2002,0.2629,0.2607,0.2618,946,526,1472,12206,10869,
ABT,3/14/2002,0.2397,0.2372,0.2384,846,739,1585,89665,45746,
ABX,3/14/2002,0.3839,0.4328,0.4084,2006,484,2490,68754,34767,
ABY,3/14/2002,0.3648,0.3838,0.3743,0,0,0,495,391,
AC,3/14/2002,0.2789,0.2659,0.2724,150,73,223,7154,5136,
ACAI,3/14/2002,0.6578,0.6529,0.6554,0,160,160,444,177,
ACAS,3/14/2002,0.2698,0.2045,0.2371,25,5,30,2021,824,
ACDO,3/14/2002,0.5310,0.4743,0.5026,70,77,147,2613,1534,
ACF,3/14/2002,0.7687,0.8593,0.8140,2801,2713,5514,45742,47837,
ACI,3/14/2002,0.3936,0.3657,0.3797,8,20,28,1528,669,
ACLA,3/14/2002,0.2398,0.2430,0.2414,0,0,0,391,83,
ACLS,3/14/2002,0.6797,0.5898,0.6347,85,61,146,3320,2192,
ACPW,3/14/2002,0.7006,0.7253,0.7130,15,0,15,1777,2244,
ACRI,3/14/2002,0.8806,0.7130,0.7968,100,0,100,1055,450,
ACS,3/14/2002,0.3694,0.3434,0.3564,547,885,1432,23798,34281,
ACTL,3/14/2002,0.4494,0.4309,0.4402,5,505,510,577,1532,
ACTR,3/14/2002,0.0000,0.0000,0.0000,0,0,0,1239,225,
ACTU,3/14/2002,0.6454,0.8104,0.7279,0,0,0,718,1053,
ACXM,3/14/2002,0.5845,0.6030,0.5938,25,0,25,1501,3326,
ADBE,3/14/2002,0.5415,0.5678,0.5546,4403,3376,7779,47914,30908,
ADCT,3/14/2002,0.9610,0.8669,0.9140,570,40,610,79546,90300,
ADEX,3/14/2002,0.6735,0.5436,0.6085,0,0,0,110,105,
ADI,3/14/2002,0.5367,0.5318,0.5342,6574,287,6861,65225,34511,
ADIC,3/14/2002,0.6156,0.5717,0.5936,21,0,21,5177,1748,
ADLAC,3/14/2002,0.6811,0.6925,0.6868,190,1696,1886,22769,24297,
ADM,3/14/2002,0.2633,0.2706,0.2670,44,48,92,7484,4148,
ADP,3/14/2002,0.2984,0.2930,0.2957,587,1037,1624,19648,12706,
ADPT,3/14/2002,0.6625,0.6304,0.6464,52,91,143,13122,4782,
ADRX,3/14/2002,0.8753,0.8655,0.8704,1263,2215,3478,59023,32389,
ADSK,3/14/2002,0.3521,0.3930,0.3726,56,2,58,4637,1489,
ADTN,3/14/2002,0.4364,0.4663,0.4514,3,0,3,2186,304,
