symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,3/15/2002,0.3971,0.4045,0.4008,3035,828,3863,47975,39786,
AA,3/15/2002,0.3253,0.3087,0.3170,5562,274,5836,64873,39473,
AAI,3/15/2002,0.6646,0.5846,0.6246,34,0,34,5892,471,
AAPL,3/15/2002,0.3976,0.4014,0.3995,1790,470,2260,138580,88671,
ABF,3/15/2002,0.3836,0.3843,0.3840,451,1604,2055,3114,3578,
ABGX,3/15/2002,0.7504,0.8040,0.7772,199,200,399,10241,9203,
ABI,3/15/2002,0.5352,0.5328,0.5340,340,65,405,20490,6475,
ABK,3/15/2002,0.3191,0.3175,0.3183,18,0,18,1070,2177,
ABMD,3/15/2002,0.8710,0.6845,0.7777,74,70,144,5488,1964,
ABN,3/15/2002,0.2421,0.2440,0.2430,0,0,0,739,2205,
ABS,3/15/2002,0.2544,0.2381,0.2463,605,694,1299,11846,10995,
ABT,3/15/2002,0.2705,0.2780,0.2742,4732,12991,17723,90108,46087,
ABX,3/15/2002,0.3894,0.4371,0.4132,4301,649,4950,69252,34997,
ABY,3/15/2002,0.3742,0.3735,0.3738,0,0,0,495,391,
AC,3/15/2002,0.2918,0.2446,0.2682,109,49,158,7135,5066,
ACAI,3/15/2002,0.5520,0.6330,0.5925,50,20,70,444,312,
ACAS,3/15/2002,0.2649,0.2003,0.2326,63,15,78,2046,809,
ACDO,3/15/2002,0.4513,0.4605,0.4559,65,12,77,2649,1561,
ACF,3/15/2002,0.7899,0.8247,0.8073,2116,794,2910,46665,49048,
ACI,3/15/2002,0.3459,0.3666,0.3562,0,0,0,1531,669,
ACLA,3/15/2002,0.8032,0.7245,0.7638,20,20,40,391,83,
ACLS,3/15/2002,0.6250,0.6268,0.6259,61,0,61,3335,2231,
ACPW,3/15/2002,0.7450,0.7434,0.7442,45,1,46,1792,2244,
ACRI,3/15/2002,0.9359,0.8274,0.8816,0,0,0,1155,450,
ACS,3/15/2002,0.3700,0.3474,0.3587,398,1189,1587,23776,35069,
ACTL,3/15/2002,0.4117,0.4015,0.4066,8,70,78,577,2032,
ACTR,3/15/2002,0.0000,0.0000,0.0000,0,0,0,1239,225,
ACTU,3/15/2002,0.6569,0.6372,0.6470,0,10,10,718,1053,
ACXM,3/15/2002,0.6571,0.5660,0.6116,208,0,208,1516,3326,
ADBE,3/15/2002,0.4925,0.4738,0.4832,3048,1737,4785,48299,31667,
ADCT,3/15/2002,0.9462,0.8559,0.9010,743,80,823,79635,90307,
ADEX,3/15/2002,0.5512,0.5350,0.5431,0,0,0,110,105,
ADI,3/15/2002,0.5007,0.4941,0.4974,3035,1608,4643,66861,34551,
ADIC,3/15/2002,0.5821,0.5611,0.5716,53,133,186,5265,1830,
ADLAC,3/15/2002,0.6526,0.7051,0.6788,3499,3550,7049,22828,25174,
ADM,3/15/2002,0.2983,0.2349,0.2666,381,109,490,7506,4150,
ADP,3/15/2002,0.2860,0.2605,0.2732,1335,1434,2769,19969,12931,
ADPT,3/15/2002,0.6743,0.6995,0.6869,227,68,295,13133,4815,
ADRX,3/15/2002,0.8422,0.8260,0.8341,4477,3305,7782,59492,33471,
ADSK,3/15/2002,0.4243,0.4059,0.4151,544,50,594,4657,1491,
ADTN,3/15/2002,0.4177,0.4293,0.4235,293,51,344,2184,304,
ADVNA,3/15/2002,0.3824,0.3753,0.3788,0,0,0,465,78,
ADVNB,3/15/2002,0.3870,0.2962,0.3416,0,0,0,419,110,
