symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,5/17/2002,0.4468,0.4668,0.4568,4422,3488,7910,46403,48529,
AA,5/17/2002,0.2599,0.2752,0.2676,1550,1430,2980,79378,37464,
AAI,5/17/2002,0.6959,0.7313,0.7136,6,10,16,5125,338,
AAPL,5/17/2002,0.3463,0.3409,0.3436,2925,2032,4957,118614,74295,
ABC,5/17/2002,0.2919,0.3067,0.2993,753,130,883,11625,6919,
ABF,5/17/2002,0.3776,0.3808,0.3792,95,29,124,7070,11380,
ABGX,5/17/2002,0.8925,0.8694,0.8809,99,689,788,11271,10353,
ABI,5/17/2002,0.5408,0.5727,0.5568,240,5,245,7516,4792,
ABK,5/17/2002,0.2526,0.2642,0.2584,47,0,47,1149,3621,
ABMD,5/17/2002,0.8881,0.8200,0.8540,42,0,42,5245,1253,
ABN,5/17/2002,0.2509,0.2529,0.2519,0,0,0,104,183,
ABS,5/17/2002,0.3613,0.3231,0.3422,2032,1127,3159,12020,13761,
ABT,5/17/2002,0.3039,0.3121,0.3080,10131,4950,15081,105294,70455,
ABV,5/17/2002,0.1751,0.1495,0.1623,0,0,0,27,4,
ABX,5/17/2002,0.3509,0.4237,0.3873,5073,2395,7468,85770,36833,
ABY,5/17/2002,0.4141,0.3811,0.3976,0,0,0,614,128,
AC,5/17/2002,0.2747,0.3044,0.2895,156,178,334,3735,1863,
ACAI,5/17/2002,0.5279,0.5125,0.5202,14,0,14,497,375,
ACAM,5/17/2002,0.7885,0.5607,0.6746,0,20,20,151,71,
ACAS,5/17/2002,0.2654,0.2981,0.2818,97,3,100,2330,1129,
ACDO,5/17/2002,0.5103,0.4872,0.4988,1231,391,1622,5106,3632,
ACE,5/17/2002,0.4595,0.4630,0.4613,190,371,561,11095,11033,
ACF,5/17/2002,0.7205,0.7108,0.7156,1483,1643,3126,45956,59529,
ACI,5/17/2002,0.3623,0.3441,0.3532,2,0,2,1074,766,
ACLA,5/17/2002,0.0000,0.0000,0.0000,0,0,0,60,0,
ACLS,5/17/2002,0.5154,0.6035,0.5594,161,72,233,2602,1786,
